,task_id,actv_code_type_id,actv_code_id,proj_id
0,82259,7262,12801,773
1,82259,7263,12826,773
2,82259,7265,12837,773
3,82259,7266,12841,773
4,82259,7267,12846,773
5,82260,7262,12801,773
6,82260,7263,12827,773
7,82260,7265,12837,773
8,82260,7266,12841,773
9,82260,7267,12846,773
10,82261,7262,12801,773
11,82261,7263,12828,773
12,82261,7265,12837,773
13,82261,7266,12841,773
14,82261,7267,12846,773
15,82262,7262,12801,773
16,82262,7263,12830,773
17,82262,7265,12837,773
18,82262,7266,12840,773
19,82263,7262,12801,773
20,82263,7263,12830,773
21,82263,7265,12837,773
22,82263,7266,12840,773
23,82263,7267,12846,773
24,82264,7262,12801,773
25,82264,7263,12819,773
26,82264,7265,12837,773
27,82264,7266,12841,773
28,82264,7267,12846,773
29,82265,7262,12801,773
30,82265,7263,12820,773
31,82265,7265,12837,773
32,82265,7266,12841,773
33,82265,7267,12846,773
34,82266,7262,12801,773
35,82266,7263,12822,773
36,82266,7265,12837,773
37,82266,7266,12841,773
38,82266,7267,12846,773
39,82267,7262,12801,773
40,82267,7263,12823,773
41,82267,7265,12837,773
42,82267,7266,12841,773
43,82267,7267,12846,773
44,82268,7262,12801,773
45,82268,7263,12825,773
46,82268,7265,12837,773
47,82268,7266,12841,773
48,82268,7267,12846,773
49,82269,7265,12837,773
50,82269,7266,12841,773
51,82269,7267,12846,773
52,82270,7265,12837,773
53,82270,7266,12841,773
54,82270,7267,12846,773
55,82271,7262,12792,773
56,82271,7263,12826,773
57,82271,7265,12837,773
58,82271,7266,12841,773
59,82271,7267,12846,773
60,82272,7262,12792,773
61,82272,7263,12827,773
62,82272,7265,12837,773
63,82272,7266,12841,773
64,82272,7267,12846,773
65,82273,7262,12792,773
66,82273,7263,12828,773
67,82273,7265,12837,773
68,82273,7266,12841,773
69,82273,7267,12846,773
70,82274,7262,12792,773
71,82274,7263,12830,773
72,82274,7265,12834,773
73,82274,7266,12840,773
74,82274,7267,12846,773
75,82275,7262,12792,773
76,82275,7265,12837,773
77,82275,7266,12840,773
78,82275,7267,12846,773
79,82276,7262,12792,773
80,82276,7263,12819,773
81,82276,7265,12837,773
82,82276,7266,12841,773
83,82276,7267,12846,773
84,82277,7262,12792,773
85,82277,7263,12820,773
86,82277,7265,12837,773
87,82277,7266,12841,773
88,82277,7267,12846,773
89,82278,7262,12792,773
90,82278,7263,12822,773
91,82278,7265,12837,773
92,82278,7266,12841,773
93,82278,7267,12846,773
94,82279,7262,12792,773
95,82279,7263,12823,773
96,82279,7265,12837,773
97,82279,7266,12841,773
98,82279,7267,12846,773
99,82280,7262,12792,773
100,82280,7263,12825,773
101,82280,7265,12837,773
102,82280,7266,12841,773
103,82280,7267,12846,773
104,82281,7265,12837,773
105,82281,7266,12841,773
106,82281,7267,12846,773
