,wbs_id,proj_id,obs_id,seq_num,est_wt,proj_node_flag,sum_data_flag,status_code,wbs_short_name,wbs_name,phase_id,parent_wbs_id,ev_user_pct,ev_etc_user_value,orig_cost,indep_remain_total_cost,ann_dscnt_rate_pct,dscnt_period_type,indep_remain_work_qty,anticip_start_date,anticip_end_date,ev_compute_type,ev_etc_compute_type,guid,tmpl_guid,plan_open_state
0,10939,1296,565,10,1,Y,N,WS_Open,BEW3,EXPRESS WAY - PACKAGE - A,,10938,6,0.88,0.00,0.00,,Month,,,,EC_Cmp_pct,EE_Rem_hr,h4KwsR20Y0GQI8wGMAcjYQ,,
1,10940,1296,565,124,1,N,N,WS_Open,06,Road Works,,10939,6,0.88,0.00,0.00,,Month,,,,EC_Cmp_pct,EE_Rem_hr,xsq5rrGZAEeHmIoNxMDEaA,,
2,10941,1296,565,116,1,N,N,WS_Open,02,Mobilization,,10939,6,0.88,0.00,0.00,,Month,,,,EC_Cmp_pct,EE_Rem_hr,V8N+HAZSY0q7lgkVGMxxxg,,
3,10942,1296,565,120,1,N,N,WS_Open,04,Design  and Support works,,10939,6,0.88,0.00,0.00,,Month,,,,EC_Cmp_pct,EE_Rem_hr,10LILzvFtUu2YQtbPV/p2Q,,
4,10943,1296,565,118,1,N,N,WS_Open,03,Priliminaries,,10939,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,Me8AU6ZEO0m7Oj3Vxr+lDA,,
5,10944,1296,565,10,1,N,N,WS_Open,01,Milestones,,10939,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,qB4kuGirc0SUV69iwBLwqA,,
6,10945,1296,565,126,1,N,N,WS_Open,08,Incidental Works,,10939,6,0.88,0.00,0.00,,Month,,,,EC_Cmp_pct,EE_Rem_hr,XknRjjzDBEeG5Cns0vbfdw,,
7,10946,1296,565,125,1,N,N,WS_Open,07,Structural Works,,10939,6,0.88,0.00,0.00,,Month,,,,EC_Cmp_pct,EE_Rem_hr,oD8iAKRlCU6F274kRgai3g,,
8,10947,1296,565,127,1,N,N,WS_Open,09,Electrical Works,,10939,6,0.88,0.00,0.00,,Month,,,,EC_Cmp_pct,EE_Rem_hr,XWoiRNh2zEG1hoIkH28FSQ,,
9,10948,1296,565,129,1,N,N,WS_Open,11,Clearing off and Handing over,,10939,6,0.88,0.00,0.00,,Month,,,,EC_Cmp_pct,EE_Rem_hr,3/AAHjRrfEuKf1WUsStGyQ,,
10,10949,1296,565,128,1,N,N,WS_Open,10,Utility Works,,10939,6,0.88,0.00,0.00,,Month,,,,EC_Cmp_pct,EE_Rem_hr,KCU5PvGUr0unthK9A5jqGA,,
11,10950,1296,565,123,1,N,N,WS_Open,05,Utilities,,10939,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,Igipphzo0UyNkkT9k6oCbA,,
12,10951,1296,565,1,1,N,N,WS_Open,3,Statutory Submissions,,10941,6,0.88,0.00,0.00,,Month,,,,EC_Cmp_pct,EE_Rem_hr,sOS9FVmXeU+qamL1yQpR6w,,
13,10952,1296,565,101,1,N,N,WS_Open,8,Approval of Material/ Supplier/Applicator,,10942,6,0.88,0.00,0.00,,Month,,,,EC_Cmp_pct,EE_Rem_hr,P+N/xohUXkWa+8n8ypoiiA,,
14,10953,1296,565,0,1,N,N,WS_Open,1,Piling,,10946,6,0.88,0.00,0.00,,Month,,,,EC_Cmp_pct,EE_Rem_hr,FgfGt1ekIEee38pW1xYLYw,,
15,10954,1296,565,20,1,N,N,WS_Open,3,Interchanges,,10946,6,0.88,0.00,0.00,,Month,,,,EC_Cmp_pct,EE_Rem_hr,+vs7iZSfqE6JJAohwdxiLw,,
16,10956,1296,565,1,1,N,N,WS_Open,1,Diversion of Existing Traffic & Utilities,,10940,6,0.88,0.00,0.00,,Month,,,,EC_Cmp_pct,EE_Rem_hr,tOJrUCs+60+M54YV+BW8TA,,
17,10957,1296,565,10,1,N,N,WS_Open,2,MSE Walls,,10946,6,0.88,0.00,0.00,,Month,,,,EC_Cmp_pct,EE_Rem_hr,E6rdhTGUZEGTIuaeFHW1RQ,,
18,10958,1296,565,101,1,N,N,WS_Open,4,No Objection Certificates (NOC),,10941,6,0.88,0.00,0.00,,Month,,,,EC_Cmp_pct,EE_Rem_hr,+KFJRwIekUGEHn6TgfwUTA,,
19,10959,1296,565,1,1,N,N,WS_Open,9,Approval of Methodology,,10942,6,0.88,0.00,0.00,,Month,,,,EC_Cmp_pct,EE_Rem_hr,2NKJ3mqEiEOd6oUluycGQQ,,
20,10961,1296,565,121,1,N,N,WS_Open,10,Approval of Drawings/Barbending Schedules,,10942,6,0.88,0.00,0.00,,Month,,,,EC_Cmp_pct,EE_Rem_hr,p9Alb94Eu0mNy7NtPp5/4A,,
21,10962,1296,565,0,1,N,N,WS_Open,7,Design Support Activities,,10943,6,0.88,0.00,0.00,,Month,,,,EC_Cmp_pct,EE_Rem_hr,nav6QJ2sd0WgqdW9vjzKLg,,
22,10963,1296,565,202,1,N,N,WS_Open,2,Initial Submissions and approvals,,10941,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,hyTxrfNdJEK6l5/YjXcr2w,,
23,10964,1296,565,101,1,N,N,WS_Open,2,Rock Blasting,,10940,6,0.88,0.00,0.00,,Month,,,,EC_Cmp_pct,EE_Rem_hr,5QpBtJlBMUyLAjMkS5iboA,,
24,10965,1296,565,301,1,N,N,WS_Open,4,Earthwork,,10940,6,0.88,0.00,0.00,,Month,,,,EC_Cmp_pct,EE_Rem_hr,RiZi1Z+Iv0W82/4dxEK1Ow,,
25,10967,1296,565,119,1,N,N,WS_Open,1,Mobilization & Demobilization,,10943,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,DoNdjXZZEUe7NjRmzDQKZg,,
26,10968,1296,565,119,1,N,N,WS_Open,2,Engineers Fecilities,,10943,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,furys9ZCiE2yJTqaUoYlow,,
27,10969,1296,565,30,1,N,N,WS_Open,4,New Instalation,,10949,6,0.88,0.00,0.00,,Month,,,,EC_Cmp_pct,EE_Rem_hr,LZxyyU4L8UeQnFjzTyO0SA,,
28,10970,1296,565,0,1,N,N,WS_Open,1,Installation of 25 M Lighting High Masts with fittings - Location 1,,10947,6,0.88,0.00,0.00,,Month,,,,EC_Cmp_pct,EE_Rem_hr,Oavrg6mRW0enaIeeioKPxA,,
29,10971,1296,565,30,1,N,N,WS_Open,4,Overpasses,,10946,6,0.88,0.00,0.00,,Month,,,,EC_Cmp_pct,EE_Rem_hr,KFkbUmhY5EuyKexGgHKEXg,,
30,10972,1296,565,102,1,N,N,WS_Open,1,Mobilization of Engineers and Contractors Facilities,,10941,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,0jqJSmdBgkSsQXjD40g7kg,,
31,10973,1296,565,0,1,N,N,WS_Open,1,MEP Location - 1,,10949,6,0.88,0.00,0.00,,Month,,,,EC_Cmp_pct,EE_Rem_hr,pv7Yfg+AIkqlvAXd9Bs5zA,,
32,10974,1296,565,119,1,N,N,WS_Open,3,As Built Drawings,,10943,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,zIPpX/ktVUGvNGlh7ThEAw,,
33,10975,1296,565,302,1,N,N,WS_Open,5,"ABC, Bitumen Works",,10940,6,0.88,0.00,0.00,,Month,,,,EC_Cmp_pct,EE_Rem_hr,dL3Qyb2vPUO5NDp9U7CGaQ,,
34,10976,1296,565,201,1,N,N,WS_Open,3,Raw material Production & Stock Pile Preparation,,10940,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,7Kp7r+FQlkaIYI8h5mQkWQ,,
35,10977,1296,565,40,1,N,N,WS_Open,5,Wadi Bridges,,10946,6,0.88,0.00,0.00,,Month,,,,EC_Cmp_pct,EE_Rem_hr,3iEd0glmQEOhCtRWSKjc1Q,,
36,10978,1296,565,20,1,N,N,WS_Open,3,Protection,,10949,6,0.88,0.00,0.00,,Month,,,,EC_Cmp_pct,EE_Rem_hr,iXb3iDyQ3kKnzAllXgYo7w,,
37,10979,1296,565,0,1,N,N,WS_Open,1,Survey Works,,10942,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,eKMduXkWwEONQj0HV8ch+Q,,
38,10980,1296,565,10,1,N,N,WS_Open,2,Installation of 14 M Lighting Poles with fittings Location 1,,10947,6,0.88,0.00,0.00,,Month,,,,EC_Cmp_pct,EE_Rem_hr,eRXiepHkekyWRtNiMaUGmQ,,
39,10981,1296,565,1,1,N,N,WS_Open,8,"Rock Bolts, Anchors and Sprayed Concrete",,10945,6,0.88,0.00,0.00,,Month,,,,EC_Cmp_pct,EE_Rem_hr,zJf9DoD5o0qreM2+K+38Ag,EV+20spXp0+sG5NLctMn/w,
40,10982,1296,565,2,1,N,N,WS_Open,10,Shotcrete,,10945,6,0.88,0.00,0.00,,Month,,,,EC_Cmp_pct,EE_Rem_hr,eGKg2pgOcEyCybIoY+9tNA,J2bq++NaQkK2qpQIrBtk6A,
41,10983,1296,565,102,1,N,N,WS_Open,2,Road Side Barriers,,10945,6,0.88,0.00,0.00,,Month,,,,EC_Cmp_pct,EE_Rem_hr,yKuEhwz7BUSdmJy+NY8PdA,QWu7d4W8XkqxthtGKUY9/A,
42,10984,1296,565,302,1,N,N,WS_Open,1,Finlization Works,,10945,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,79DEAAm45UaUcP4dbNF6hg,,
43,10985,1296,565,0,1,N,N,WS_Open,7,Gabbions,,10945,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,P2sMFhHYC0aKHoXnjCxLFg,2XEe5IrYq0K5LFjtDhDpPQ,
44,10986,1296,565,4,1,N,N,WS_Open,6,Riprap Works -,,10945,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,/JwDuPYMVkupSCTdc42hRQ,4QSY6wpga0yypcdZLhaOHg,
45,10987,1296,565,119,1,N,N,WS_Open,4,Closing,,10943,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,LBsrigmvjEyb/Nh5rgD7vQ,,
46,10988,1296,565,202,1,N,N,WS_Open,4,Traffic Signs and Road Marking,,10945,6,0.88,0.00,0.00,,Month,,,,EC_Cmp_pct,EE_Rem_hr,A03BYZF4+k2uUD/WzBnhVw,rkBIe6ddhEm9Ga586lLLgA,
47,10989,1296,565,125,1,N,N,WS_Open,3,Fences and Markers,,10945,6,0.88,0.00,0.00,,Month,,,,EC_Cmp_pct,EE_Rem_hr,BveftoNAPkOfI7RTwrAgnw,C0mAascVUEiU40BjOtKBvg,
48,10991,1296,565,0,1,N,N,WS_Open,1,11 kV OHL,,10973,6,0.88,0.00,0.00,,Month,,,,EC_Cmp_pct,EE_Rem_hr,XSja5c3bBk+82O7gFJXrXg,,
49,10994,1296,565,10,1,N,N,WS_Open,2,Working Piles,,10953,6,0.88,0.00,0.00,,Month,,,,EC_Cmp_pct,EE_Rem_hr,Pev1q5uDr0yDwYRnxRT6ZA,,
50,10995,1296,565,20,1,N,N,WS_Open,3,Pile Testing (Load Test and Integrity),,10953,6,0.88,0.00,0.00,,Month,,,,EC_Cmp_pct,EE_Rem_hr,hwT60l/JW0SdvwgLzcFIqA,,
51,10996,1296,565,0,1,N,N,WS_Open,1,Interchange IC,,10954,6,0.88,0.00,0.00,,Month,,,,EC_Cmp_pct,EE_Rem_hr,OZ7H4xQuFUWZLKiN2/5yLw,,
52,10998,1296,565,0,1,N,N,WS_Open,1,Location 1,,10989,6,0.88,0.00,0.00,,Month,,,,EC_Cmp_pct,EE_Rem_hr,g1iUA4P5ZUefPG917x3yiA,EK0b8ma+JE2b24RGzDgMZA,
