,task_pred_id,task_id,pred_task_id,proj_id,pred_proj_id,pred_type,lag_hr_cnt,float_path,aref,arls
0,71378,82880,82879,1296,1296,PR_FS,0,,2013-11-03 07:30,2016-06-09 07:00
1,71380,82554,82553,1296,1296,PR_FS,0,,2013-11-10 15:30,2015-11-23 07:00
2,71413,82885,82882,1296,1296,PR_FS,0,,2014-02-13 15:30,2015-03-24 07:00
3,71415,82916,82915,1296,1296,PR_SS,45,,2014-06-18 07:30,2014-02-06 08:00
4,71422,82969,82965,1296,1296,PR_FS,0,,2014-03-30 17:00,2016-08-10 07:00
5,71423,82465,82435,1296,1296,PR_FS,0,,2013-07-16 08:00,2014-05-12 16:00
6,71424,82456,82443,1296,1296,PR_FS,0,,2013-08-10 17:00,2013-09-25 07:00
7,71425,82454,82445,1296,1296,PR_FS,0,,2013-08-10 17:00,2013-11-17 16:00
8,71426,82474,82449,1296,1296,PR_FS,0,,2013-08-05 17:00,2015-03-22 09:00
9,71427,82472,82452,1296,1296,PR_FS,0,,2013-10-03 16:30,2014-03-04 16:00
10,71428,82463,82456,1296,1296,PR_FS,0,,2013-12-18 16:30,2014-02-20 16:00
11,71429,82474,82462,1296,1296,PR_FS,0,,2013-10-06 07:30,2015-03-22 09:00
12,71431,82489,82477,1296,1296,PR_SS,360,,2014-06-05 15:30,2015-09-02 07:00
13,71432,82494,82482,1296,1296,PR_SS,270,,2014-06-19 15:30,2016-03-15 07:00
14,71433,82503,82502,1296,1296,PR_FS,0,,2014-04-21 09:30,2015-10-29 07:00
15,71434,82510,82505,1296,1296,PR_FS,0,,2014-07-06 08:30,2016-02-28 07:00
16,71435,82507,82506,1296,1296,PR_FS,0,,2014-07-20 08:30,2015-12-30 07:00
17,71436,82509,82508,1296,1296,PR_FS,0,,2014-09-03 08:30,2016-02-08 07:00
18,71437,82515,82514,1296,1296,PR_FS,0,,2014-11-24 09:30,2016-04-25 07:00
19,71438,82518,82517,1296,1296,PR_FS,0,,2014-05-19 13:30,2016-02-04 07:00
20,71439,82522,82521,1296,1296,PR_FS,0,,2014-08-03 13:30,2016-04-25 07:00
21,71440,82523,82522,1296,1296,PR_FS,0,,2014-10-12 08:30,2016-05-10 07:00
22,71441,82526,82523,1296,1296,PR_FS,0,,2014-11-09 08:30,2016-06-07 07:00
23,71442,82525,82524,1296,1296,PR_FS,0,,2015-01-07 14:30,2016-05-24 07:00
24,71469,82844,82843,1296,1296,PR_FS,0,,2013-09-01 08:00,2016-03-13 07:00
25,71470,82969,82890,1296,1296,PR_FS,0,,2015-10-06 16:30,2016-08-10 07:00
26,71471,82892,82891,1296,1296,PR_SS,45,,2014-06-24 15:30,2014-01-21 16:00
27,71472,82893,82892,1296,1296,PR_SS,45,,2014-07-01 15:30,2014-01-28 16:00
28,71474,82923,82922,1296,1296,PR_SS,45,,2014-06-18 07:30,2014-06-11 08:00
29,71475,82924,82923,1296,1296,PR_SS,45,,2014-06-25 07:30,2014-07-16 08:00
30,71476,82928,82927,1296,1296,PR_SS,0,,2013-10-03 16:30,2016-04-03 07:00
31,71481,82461,82459,1296,1296,PR_FS,0,,2013-11-04 15:30,2014-02-04 16:59
32,71482,82449,82435,1296,1296,PR_FS,0,,2013-07-16 08:00,2015-03-01 09:00
33,71483,82455,82435,1296,1296,PR_FS,0,,2013-07-16 08:00,2013-12-22 16:59
34,71484,82469,82439,1296,1296,PR_FS,0,,2013-07-29 17:00,2015-03-02 09:00
35,71485,82474,82441,1296,1296,PR_FS,0,,2013-08-24 17:00,2015-03-22 09:00
36,71486,82885,82453,1296,1296,PR_FS,1530,,2014-06-09 15:30,2014-07-15 16:00
37,71487,82477,82455,1296,1296,PR_FS,0,,2013-12-25 15:30,2016-02-22 07:00
