,taskrsrc_id,task_id,proj_id,cost_qty_link_flag,role_id,acct_id,rsrc_id,pobs_id,skill_level,pend_complete_pct,remain_qty,pend_remain_qty,target_qty,remain_qty_per_hr,target_lag_drtn_hr_cnt,target_qty_per_hr,act_ot_qty,act_reg_qty,relag_drtn_hr_cnt,ot_factor,cost_per_qty,target_cost,act_reg_cost,act_ot_cost,remain_cost,act_start_date,act_end_date,restart_date,reend_date,target_start_date,target_end_date,rem_late_start_date,rem_late_end_date,rollup_dates_flag,target_crv,remain_crv,actual_crv,ts_pend_act_end_flag,guid,rate_type,act_this_per_cost,act_this_per_qty,curv_id,rsrc_type,cost_per_qty_source_type,create_user,create_date,has_rsrchours,taskrsrc_sum_id
0,56274,82454,1296,Y,,,2511,,,,124.999999,,72,0.11111111,0,0.064,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2013-08-30 07:00,2014-01-01 17:00,2013-08-30 07:00,2014-01-01 17:00,2013-11-17 16:00,2014-03-22 16:00,Y,,,,N,rUdUyC8NwUGP1u0IDgL+UQ,COST_PER_QTY,0.00,0,,RT_Labor,ST_Rsrc,admin,2013-10-09 11:38,,
1,56275,82455,1296,Y,,,2511,,,,79.999999,,72,0.11111111,0,0.1,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2013-09-01 07:00,2013-12-25 15:30,2013-09-01 07:00,2013-12-25 15:30,2013-12-22 16:59,2014-04-15 16:59,Y,,,,N,Ih0+J+ozP0qkTcHn/aFTSw,COST_PER_QTY,0.00,0,,RT_Labor,ST_Rsrc,admin,2013-10-09 11:38,,
2,56276,82456,1296,Y,,,2511,,,,89.999999,,72,0.11111111,0,0.0888888888888889,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2013-08-11 08:00,2013-12-18 16:30,2013-08-11 08:00,2013-12-18 16:30,2013-09-25 07:00,2014-02-05 16:00,Y,,,,N,RmUe2N4jU02vf/PGim7V5A,COST_PER_QTY,0.00,0,,RT_Labor,ST_Rsrc,admin,2013-10-09 11:38,,
3,56278,82531,1296,Y,,,2527,,,,77.999999,,9,0.11111111,0,0.0128205128205128,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2013-11-06 15:30,2014-02-27 15:30,2013-11-06 15:30,2014-02-27 15:30,2015-03-26 07:00,2015-07-20 17:00,Y,,,,N,v/2uh7PLOEi0ghsuuysKDQ,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2013-10-09 11:38,,
4,56279,82532,1296,Y,,,2527,,,,149.999999,,9,0.11111111,0,0.00666666666666667,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2014-02-27 15:30,2014-10-07 15:30,2014-02-27 15:30,2014-10-07 15:30,2015-07-21 07:00,2016-02-21 17:00,Y,,,,N,uKm0QJ2rz06vc4DlwRhNMg,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2013-10-09 11:38,,
5,56280,82533,1296,Y,,,2527,,,,221.999998,,9,0.11111111,0,0.0045045045045045,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2013-11-06 15:30,2014-09-25 15:30,2013-11-06 15:30,2014-09-25 15:30,2014-12-23 07:00,2015-11-09 17:00,Y,,,,N,W+TEc/JbRkyDOrfz5sClig,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2013-10-09 11:38,,
6,56281,82534,1296,Y,,,2527,,,,45,,9,0.11111111,0,0.0222222222222222,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2015-03-01 16:30,2015-05-03 16:30,2015-03-01 16:30,2015-05-03 16:30,2015-07-30 07:00,2015-09-30 17:00,Y,,,,N,U+9rGeW4H0W4sQSxufMjVw,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2013-10-09 11:38,,
7,56282,82535,1296,Y,,,2527,,,,83.999999,,9,0.11111111,0,0.0119047619047619,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2014-10-30 16:30,2015-03-01 16:30,2014-10-30 16:30,2015-03-01 16:30,2015-03-26 07:00,2015-07-29 17:00,Y,,,,N,0tw5o+18bk2qUpx1UqA8ug,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2013-10-09 11:38,,
8,56283,82536,1296,Y,,,2527,,,,244.999998,,9,0.11111111,0,0.00408163265306122,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2013-11-06 15:30,2014-10-30 16:30,2013-11-06 15:30,2014-10-30 16:30,2014-04-02 16:00,2015-03-25 17:00,Y,,,,N,klZRwvcvuUqvYaZcAir9rg,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2013-10-09 11:38,,
9,56284,82537,1296,Y,,,2527,,,,374.999996,,9,0.11111111,0,0.00266666666666667,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2013-11-06 15:30,2015-05-04 16:30,2013-11-06 15:30,2015-05-04 16:30,2014-07-16 16:00,2016-01-18 17:00,Y,,,,N,5jGDrMpKwEWj0lDbvyS0Kw,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2013-10-09 11:38,,
10,56285,82531,1296,Y,,,2515,,,,77.999999,,180,0.11111111,0,0.256410256410256,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2013-11-06 15:30,2014-02-27 15:30,2013-11-06 15:30,2014-02-27 15:30,2015-03-26 07:00,2015-07-20 17:00,Y,,,,N,zv/EEr2QMkqrtLw0pVEOIQ,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2013-10-09 11:38,,
11,56286,82531,1296,Y,,,2541,,,,77.999999,,36,0.11111111,0,0.0512820512820513,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2013-11-06 15:30,2014-02-27 15:30,2013-11-06 15:30,2014-02-27 15:30,2015-03-26 07:00,2015-07-20 17:00,Y,,,,N,cUAERBZtxEyer5NFHXWCkA,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2013-10-09 11:38,,
12,56287,82532,1296,Y,,,2515,,,,149.999999,,180,0.11111111,0,0.133333333333333,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2014-02-27 15:30,2014-10-07 15:30,2014-02-27 15:30,2014-10-07 15:30,2015-07-21 07:00,2016-02-21 17:00,Y,,,,N,TUfPcoiTw0WHH/hsbd20mw,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2013-10-09 11:38,,
13,56288,82532,1296,Y,,,2541,,,,149.999999,,18,0.11111111,0,0.0133333333333333,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2014-02-27 15:30,2014-10-07 15:30,2014-02-27 15:30,2014-10-07 15:30,2015-07-21 07:00,2016-02-21 17:00,Y,,,,N,OzEW2PvTU0qT1j/A9g+yjA,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2013-10-09 11:38,,
14,56289,82533,1296,Y,,,2515,,,,221.999998,,180,0.11111111,0,0.0900900900900901,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2013-11-06 15:30,2014-09-25 15:30,2013-11-06 15:30,2014-09-25 15:30,2014-12-23 07:00,2015-11-09 17:00,Y,,,,N,AoFlul4YgEq2THDbUB98WA,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2013-10-09 11:38,,
15,56290,82533,1296,Y,,,2541,,,,221.999998,,18,0.11111111,0,0.00900900900900901,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2013-11-06 15:30,2014-09-25 15:30,2013-11-06 15:30,2014-09-25 15:30,2014-12-23 07:00,2015-11-09 17:00,Y,,,,N,sHPOBrVX9U6ePWhl2vKCqg,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2013-10-09 11:38,,
16,56291,82534,1296,Y,,,2515,,,,45,,360,0.11111111,0,0.888888888888889,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2015-03-01 16:30,2015-05-03 16:30,2015-03-01 16:30,2015-05-03 16:30,2015-07-30 07:00,2015-09-30 17:00,Y,,,,N,PP5II46yqU63q03/a6lQ1w,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2013-10-09 11:38,,
17,56292,82534,1296,Y,,,2541,,,,45,,36,0.11111111,0,0.0888888888888889,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2015-03-01 16:30,2015-05-03 16:30,2015-03-01 16:30,2015-05-03 16:30,2015-07-30 07:00,2015-09-30 17:00,Y,,,,N,B5L/KuPzs06sd6ucRM77zQ,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2013-10-09 11:38,,
18,56293,82535,1296,Y,,,2515,,,,83.999999,,180,0.11111111,0,0.238095238095238,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2014-10-30 16:30,2015-03-01 16:30,2014-10-30 16:30,2015-03-01 16:30,2015-03-26 07:00,2015-07-29 17:00,Y,,,,N,Q2mKyr7jDEmh25/x874sJw,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2013-10-09 11:38,,
19,56294,82535,1296,Y,,,2541,,,,83.999999,,18,0.11111111,0,0.0238095238095238,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2014-10-30 16:30,2015-03-01 16:30,2014-10-30 16:30,2015-03-01 16:30,2015-03-26 07:00,2015-07-29 17:00,Y,,,,N,WPIYndl77kSrmOAHREQ7EA,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2013-10-09 11:38,,
20,56295,82536,1296,Y,,,2515,,,,244.999998,,180,0.11111111,0,0.0816326530612245,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2013-11-06 15:30,2014-10-30 16:30,2013-11-06 15:30,2014-10-30 16:30,2014-04-02 16:00,2015-03-25 17:00,Y,,,,N,Rylopd70Wk61LyDnKAGcHw,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2013-10-09 11:38,,
21,56296,82536,1296,Y,,,2541,,,,244.999998,,18,0.11111111,0,0.00816326530612245,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2013-11-06 15:30,2014-10-30 16:30,2013-11-06 15:30,2014-10-30 16:30,2014-04-02 16:00,2015-03-25 17:00,Y,,,,N,D2hSRXDdmkKAwDSMt4ERRg,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2013-10-09 11:38,,
22,56297,82537,1296,Y,,,2515,,,,374.999996,,180,0.11111111,0,0.0533333333333333,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2013-11-06 15:30,2015-05-04 16:30,2013-11-06 15:30,2015-05-04 16:30,2014-07-16 16:00,2016-01-18 17:00,Y,,,,N,O5la+LG2Q0GaM2T/71GAAg,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2013-10-09 11:38,,
23,56298,82537,1296,Y,,,2541,,,,374.999996,,18,0.11111111,0,0.00533333333333333,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2013-11-06 15:30,2015-05-04 16:30,2013-11-06 15:30,2015-05-04 16:30,2014-07-16 16:00,2016-01-18 17:00,Y,,,,N,O5iXGmrwWUOKnhSoGC+1kA,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2013-10-09 11:38,,
24,56299,82550,1296,Y,,,2541,,,,2,,2,0.11111111,0,0.111111111111111,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2013-11-06 15:30,2013-11-10 15:30,2013-11-06 15:30,2013-11-10 15:30,2015-11-19 07:00,2015-11-22 17:00,Y,,,,N,ZYdlgxDDTkGO+oF957TY4A,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2013-10-09 11:38,,
25,56300,82554,1296,Y,,,2541,,,,2,,2,0.11111111,0,0.111111111111111,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2013-11-10 15:30,2013-11-12 15:30,2013-11-10 15:30,2013-11-12 15:30,2015-11-23 07:00,2015-11-24 17:00,Y,,,,N,CSZClpUU5UKtBJKna73CFg,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2013-10-09 11:38,,
26,56301,82555,1296,Y,,,2541,,,,15,,36,0.04504505,0,0.108108108108108,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2013-11-12 15:30,2014-01-06 15:30,2013-11-12 15:30,2014-01-06 15:30,2015-11-25 07:00,2016-01-17 17:00,Y,,,,N,xJ4lH4ag5USvRNQXFyEueQ,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2013-10-09 11:38,,
27,56302,82555,1296,Y,,,2536,,,,15,,27,0.04504505,0,0.0810810810810811,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2013-11-12 15:30,2014-01-06 15:30,2013-11-12 15:30,2014-01-06 15:30,2015-11-25 07:00,2016-01-17 17:00,Y,,,,N,D00I6kfeKkChDHxixMHspA,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2013-10-09 11:38,,
28,56303,82555,1296,Y,,,2515,,,,15,,45,0.04504505,0,0.135135135135135,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2013-11-12 15:30,2014-01-06 15:30,2013-11-12 15:30,2014-01-06 15:30,2015-11-25 07:00,2016-01-17 17:00,Y,,,,N,uYT4niiLjkiQTJeJoPdCKA,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2013-10-09 11:38,,
29,56304,82556,1296,Y,,,2538,,,,39,,10,0.11403509,0,0.0292397660818713,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2013-12-22 15:30,2014-02-16 15:30,2013-12-22 15:30,2014-02-16 15:30,2016-01-04 07:00,2016-02-24 17:00,Y,,,,N,PU2gutkq3EGCeeWIQTseag,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2013-10-09 11:38,,
30,56305,82556,1296,Y,,,2537,,,,39,,9,0.11403509,0,0.0263157894736842,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2013-12-22 15:30,2014-02-16 15:30,2013-12-22 15:30,2014-02-16 15:30,2016-01-04 07:00,2016-02-24 17:00,Y,,,,N,lVFZKrGR602m6uzKImYuhw,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2013-10-09 11:38,,
31,56306,82556,1296,Y,,,2540,,,,39,,27,0.11403509,0,0.0789473684210526,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2013-12-22 15:30,2014-02-16 15:30,2013-12-22 15:30,2014-02-16 15:30,2016-01-04 07:00,2016-02-24 17:00,Y,,,,N,Fcm8wLasIEiEcz3hC5yetg,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2013-10-09 11:38,,
32,56307,82556,1296,Y,,,2515,,,,39,,180,0.11403509,0,0.526315789473684,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2013-12-22 15:30,2014-02-16 15:30,2013-12-22 15:30,2014-02-16 15:30,2016-01-04 07:00,2016-02-24 17:00,Y,,,,N,0xd2HlRrsUe/uXErn+XlLQ,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2013-10-09 11:38,,
33,56308,82557,1296,Y,,,2540,,,,7,,21,0.11111111,0,0.333333333333333,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2014-08-11 15:30,2014-08-20 15:30,2014-08-11 15:30,2014-08-20 15:30,2016-08-18 07:00,2016-08-28 17:00,Y,,,,N,WZZO3fIfekKw0EIdaLaG8Q,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2013-10-09 11:38,,
34,56309,82557,1296,Y,,,2539,,,,7,,18,0.11111111,0,0.285714285714286,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2014-08-11 15:30,2014-08-20 15:30,2014-08-11 15:30,2014-08-20 15:30,2016-08-18 07:00,2016-08-28 17:00,Y,,,,N,QxvcT/jggk6jrfU4/N4qew,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2013-10-09 11:38,,
35,56310,82557,1296,Y,,,2538,,,,7,,10,0.11111111,0,0.158730158730159,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2014-08-11 15:30,2014-08-20 15:30,2014-08-11 15:30,2014-08-20 15:30,2016-08-18 07:00,2016-08-28 17:00,Y,,,,N,kbebmqYhWUSelOS5oF71nQ,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2013-10-09 11:38,,
36,56311,82557,1296,Y,,,2537,,,,7,,9,0.11111111,0,0.142857142857143,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2014-08-11 15:30,2014-08-20 15:30,2014-08-11 15:30,2014-08-20 15:30,2016-08-18 07:00,2016-08-28 17:00,Y,,,,N,F5O7Ned4W0iZY2A/ojezXA,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2013-10-09 11:38,,
37,56312,82557,1296,Y,,,2515,,,,7,,140,0.11111111,0,2.22222222222222,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2014-08-11 15:30,2014-08-20 15:30,2014-08-11 15:30,2014-08-20 15:30,2016-08-18 07:00,2016-08-28 17:00,Y,,,,N,flOcQO2zgUmPB4BYLKWExg,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2013-10-09 11:38,,
38,56439,82556,1296,Y,,,2539,,,,39,,18,0.11403509,0,0.0526315789473684,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2013-12-22 15:30,2014-02-16 15:30,2013-12-22 15:30,2014-02-16 15:30,2016-01-04 07:00,2016-02-24 17:00,Y,,,,N,QBRbR+4UAk2SufKHMvPC1Q,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2013-10-09 11:38,,
39,56524,82971,1296,Y,,,2529,,,,499.999995,,26.674,0.11111111,0,0.00592755555555556,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2013-12-18 16:30,2015-12-17 07:30,2013-12-18 16:30,2015-12-17 07:30,2014-09-02 16:00,2016-08-28 17:00,Y,9:81.5;17.674:4418.5,500:4500,,N,voXotM3c4E+bK5h15AKvxw,COST_PER_QTY,0.00,0,9,RT_Equip,ST_Rsrc,admin,2013-10-09 11:38,,
40,56525,82971,1296,Y,,,2536,,,,499.999995,,18,0.11111111,0,0.004,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2013-12-18 16:30,2015-12-17 07:30,2013-12-18 16:30,2015-12-17 07:30,2014-09-02 16:00,2016-08-28 17:00,Y,,,,N,G0/r99UA90yScR9otM5Tww,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2013-10-09 11:38,,
41,56526,82971,1296,Y,,,2512,,,,499.999995,,18,0.11111111,0,0.004,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2013-12-18 16:30,2015-12-17 07:30,2013-12-18 16:30,2015-12-17 07:30,2014-09-02 16:00,2016-08-28 17:00,Y,,,,N,XJgcv0j8/E24PV3Qi7OKfg,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2013-10-09 11:38,,
42,56527,82971,1296,Y,,,2537,,,,499.999995,,27,0.11111111,0,0.006,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2013-12-18 16:30,2015-12-17 07:30,2013-12-18 16:30,2015-12-17 07:30,2014-09-02 16:00,2016-08-28 17:00,Y,,,,N,BZYHAvbRjUelGKX94elkyw,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2013-10-09 11:38,,
43,56528,82971,1296,Y,,,2515,,,,499.999995,,180,0.11111111,0,0.04,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2013-12-18 16:30,2015-12-17 07:30,2013-12-18 16:30,2015-12-17 07:30,2014-09-02 16:00,2016-08-28 17:00,Y,,,,N,c9ONKAr+dE6zmxWxO5zf+Q,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2013-10-09 11:38,,
44,56529,82972,1296,Y,,,2549,,,,4.444444,,18,0.00091112,0,0.00369685767097967,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2014-04-27 16:30,2016-06-22 07:30,2014-04-27 16:30,2016-06-21 07:30,2014-06-29 16:00,2016-08-28 17:00,Y,,,,N,YE8LaeFbs0+QM2ZAAmrfNA,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2013-10-09 11:38,,
45,56530,82972,1296,Y,,,2526,,,,4.444444,,18,0.00091112,0,0.00369684501661869,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2014-04-27 16:30,2016-06-22 07:30,2014-04-27 16:30,2016-06-21 07:31,2014-06-29 16:00,2016-08-28 17:00,Y,,,,N,81CE36YcCkO0LWkNGyIFJg,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2013-10-09 11:38,,
46,56531,82972,1296,Y,,,2536,,,,4.444444,,18,0.00091112,0,0.00369685767097967,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2014-04-27 16:30,2016-06-22 07:30,2014-04-27 16:30,2016-06-21 07:30,2014-06-29 16:00,2016-08-28 17:00,Y,,,,N,wx69EcqEFEKiM57yj36dMw,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2013-10-09 11:38,,
47,56532,82973,1296,Y,,,2552,,,,4.444444,,9,0.00085012,0,0.00172413793103448,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2014-01-19 15:30,2016-05-09 15:31,2014-01-19 15:30,2016-05-08 16:30,2014-04-15 16:59,2016-08-09 17:00,Y,,,,N,uAeTWHw86UeOA94hKvNymA,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2013-10-09 11:38,,
48,56533,82973,1296,Y,,,2524,,,,4.444444,,9,0.00085012,0,0.00172414343596244,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2014-01-19 15:30,2016-05-09 15:31,2014-01-19 15:30,2016-05-08 16:29,2014-04-15 16:59,2016-08-09 17:00,Y,,,,N,o83mvM1+EEeeLVVz5dDd3A,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2013-10-09 11:38,,
49,56534,82973,1296,Y,,,2542,,,,4.444444,,9,0.00085012,0,0.00172414343596244,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2014-01-19 15:30,2016-05-09 15:31,2014-01-19 15:30,2016-05-08 16:29,2014-04-15 16:59,2016-08-09 17:00,Y,,,,N,FxZvcMEnQUuEg7nLvxpOnA,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2013-10-09 11:38,,
50,56535,82973,1296,Y,,,2521,,,,4.444444,,9,0.00085012,0,0.00172414343596244,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2014-01-19 15:30,2016-05-09 15:31,2014-01-19 15:30,2016-05-08 16:29,2014-04-15 16:59,2016-08-09 17:00,Y,,,,N,5KLxfMK1+EOc/mToQuMblQ,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2013-10-09 11:38,,
