,udf_type_id,fk_id,proj_id,udf_date,udf_number,udf_text,udf_code_id
0,75,82501,1296,,,G1,
1,75,82502,1296,,,G1,
2,75,82503,1296,,,G1,
3,75,83045,1296,,,G1,
4,75,83046,1296,,,G1,
5,75,83047,1296,,,G1,
6,75,83049,1296,,,G1,
7,75,83050,1296,,,G1,
8,75,83051,1296,,,G1,
9,75,83053,1296,,,G1,
10,75,83054,1296,,,G1,
11,75,83055,1296,,,G1,
12,75,83070,1296,,,G1,
13,75,83071,1296,,,G1,
14,75,83072,1296,,,G1,
15,75,83074,1296,,,G1,
16,75,83075,1296,,,G1,
17,75,83076,1296,,,G1,
18,75,83438,1296,,,G1,
19,75,83439,1296,,,G1,
20,75,83440,1296,,,G1,
21,75,83465,1296,,,G1,
22,75,83466,1296,,,G1,
23,75,83467,1296,,,G1,
24,75,83469,1296,,,G1,
25,75,83470,1296,,,G1,
26,75,83471,1296,,,G1,
27,75,84266,1296,,,G1,
28,75,84267,1296,,,G1,
29,75,84268,1296,,,G1,
30,75,84270,1296,,,G1,
31,75,84271,1296,,,G1,
32,75,84272,1296,,,G1,
33,75,84274,1296,,,G1,
34,75,84275,1296,,,G1,
35,75,84276,1296,,,G1,
36,75,84278,1296,,,G1,
37,75,84279,1296,,,G1,
38,75,84280,1296,,,G1,
39,75,84282,1296,,,G1,
40,75,84283,1296,,,G1,
41,75,84284,1296,,,G1,
42,75,84286,1296,,,G1,
43,75,84287,1296,,,G1,
44,75,84288,1296,,,G1,
45,75,84290,1296,,,G1,
46,75,84291,1296,,,G1,
47,75,84292,1296,,,G1,
48,75,84294,1296,,,G1,
49,75,84295,1296,,,G1,
50,75,84296,1296,,,G1,
51,75,84298,1296,,,G1,
52,75,84299,1296,,,G1,
53,75,84300,1296,,,G1,
54,75,84332,1296,,,G1,
55,75,84333,1296,,,G1,
56,75,84334,1296,,,G1,
57,75,84336,1296,,,G1,
58,75,84337,1296,,,G1,
59,75,84338,1296,,,G1,
60,75,84340,1296,,,G1,
61,75,84341,1296,,,G1,
62,75,84342,1296,,,G1,
63,75,84344,1296,,,G1,
64,75,84345,1296,,,G1,
65,75,84346,1296,,,G1,
66,75,84348,1296,,,G1,
67,75,84349,1296,,,G1,
68,75,84350,1296,,,G1,
69,75,84352,1296,,,G1,
70,75,84353,1296,,,G1,
71,75,84354,1296,,,G1,
72,75,84356,1296,,,G1,
73,75,84357,1296,,,G1,
74,75,84358,1296,,,G1,
75,75,84360,1296,,,G1,
76,75,84361,1296,,,G1,
77,75,84362,1296,,,G1,
78,75,84364,1296,,,G1,
79,75,84365,1296,,,G1,
80,75,84366,1296,,,G1,
81,196,82435,1296,,,3,
82,196,82436,1296,,,4716,
83,196,82437,1296,,,4715,
84,196,82438,1296,,,4714,
85,196,82439,1296,,,4713,
86,196,82440,1296,,,5,
87,196,82441,1296,,,4240,
88,196,82442,1296,,,4710,
89,196,82443,1296,,,4709,
90,196,82444,1296,,,4708,
91,196,82445,1296,,,4707,
92,196,82446,1296,,,6,
93,196,82447,1296,,,3493,
94,196,82448,1296,,,3492,
95,196,82449,1296,,,3491,
96,196,82450,1296,,,8,
97,196,82452,1296,,,14,
98,196,82453,1296,,,3682,
99,196,82454,1296,,,3675,
100,196,82455,1296,,,3674,
101,196,82456,1296,,,4705,
102,196,82457,1296,,,3679,
103,196,82458,1296,,,3678,
104,196,82460,1296,,,18,
105,196,82461,1296,,,21,
106,196,82462,1296,,,22,
107,196,82463,1296,,,1724,
108,196,82464,1296,,,3680,
109,196,82465,1296,,,4689,
110,196,82466,1296,,,4697,
111,196,82467,1296,,,4698,
112,196,82469,1296,,,1729,
113,196,82470,1296,,,1728,
114,196,82471,1296,,,1735,
115,196,82472,1296,,,1734,
116,196,82473,1296,,,4194,
117,196,82474,1296,,,25,
118,196,82475,1296,,,26,
119,196,82476,1296,,,37,
120,196,82477,1296,,,38,
121,196,82478,1296,,,39,
122,196,82479,1296,,,40,
123,196,82480,1296,,,29,
124,196,82481,1296,,,34,
125,196,82482,1296,,,35,
126,196,82483,1296,,,30,
127,196,82484,1296,,,31,
128,196,82485,1296,,,36,
129,196,82486,1296,,,32,
130,196,82487,1296,,,33,
131,196,82488,1296,,,4735,
132,196,82489,1296,,,4734,
133,196,82490,1296,,,4733,
134,196,82491,1296,,,4732,
135,196,82492,1296,,,4731,
136,196,82493,1296,,,4730,
137,196,82494,1296,,,4729,
138,196,82495,1296,,,4728,
139,196,82496,1296,,,4727,
140,196,82497,1296,,,4726,
141,196,82498,1296,,,4725,
142,196,82499,1296,,,4724,
143,196,82500,1296,,,4195,
144,196,82501,1296,,,47,
145,196,82502,1296,,,48,
146,196,82503,1296,,,49,
147,196,82504,1296,,,67,
148,196,82505,1296,,,4736,
149,196,82506,1296,,,68,
150,196,82507,1296,,,69,
151,196,82508,1296,,,72,
152,196,82509,1296,,,73,
153,196,82510,1296,,,74,
154,196,82511,1296,,,76,
155,196,82512,1296,,,77,
156,196,82513,1296,,,78,
157,196,82514,1296,,,79,
158,196,82515,1296,,,80,
159,196,82516,1296,,,4741,
160,196,82517,1296,,,122,
161,196,82518,1296,,,123,
162,196,82519,1296,,,124,
163,196,82520,1296,,,125,
164,196,82521,1296,,,126,
165,196,82522,1296,,,127,
166,196,82523,1296,,,128,
167,196,82524,1296,,,129,
168,196,82525,1296,,,130,
169,196,82526,1296,,,132,
170,196,82531,1296,,,3382,
171,196,82532,1296,,,3383,
172,196,82533,1296,,,3384,
173,196,82534,1296,,,3488,
174,196,82535,1296,,,3487,
175,196,82536,1296,,,3486,
176,196,82537,1296,,,3485,
177,196,82538,1296,,,3387,
178,196,82539,1296,,,3388,
179,196,82540,1296,,,3389,
180,196,82550,1296,,,2626,
181,196,82551,1296,,,2627,
182,196,82552,1296,,,2628,
183,196,82553,1296,,,2629,
184,196,82554,1296,,,2630,
185,196,82555,1296,,,3506,
186,196,82556,1296,,,3507,
187,196,82557,1296,,,3508,
188,196,82843,1296,,,3721,
189,196,82844,1296,,,3722,
190,196,82845,1296,,,3724,
191,196,82879,1296,,,4213,
192,196,82880,1296,,,4214,
193,196,82881,1296,,,4246,
194,196,82882,1296,,,4247,
195,196,82883,1296,,,3074,
196,196,82884,1296,,,3075,
197,196,82885,1296,,,4546,
198,196,82886,1296,,,4548,
199,196,82887,1296,,,4550,
200,196,82888,1296,,,4552,
201,196,82889,1296,,,4554,
202,196,82890,1296,,,4556,
203,196,82891,1296,,,4562,
204,196,82892,1296,,,4564,
205,196,82893,1296,,,4566,
206,196,82894,1296,,,4568,
207,196,82895,1296,,,4570,
208,196,82907,1296,,,4476,
209,196,82908,1296,,,4478,
210,196,82909,1296,,,4480,
211,196,82910,1296,,,4482,
212,196,82911,1296,,,4484,
213,196,82912,1296,,,4490,
214,196,82913,1296,,,4492,
215,196,82914,1296,,,4494,
216,196,82915,1296,,,4496,
217,196,82916,1296,,,4498,
218,196,82917,1296,,,4500,
219,196,82918,1296,,,4502,
220,196,82919,1296,,,4504,
221,196,82920,1296,,,4514,
222,196,82921,1296,,,4516,
223,196,82922,1296,,,4518,
224,196,82923,1296,,,4520,
225,196,82924,1296,,,4522,
226,196,82925,1296,,,4524,
227,196,82926,1296,,,4526,
228,196,82927,1296,,,4532,
229,196,82928,1296,,,4534,
230,196,82929,1296,,,4536,
231,196,82930,1296,,,4538,
232,196,82931,1296,,,4540,
233,196,82965,1296,,,4231,
234,196,82966,1296,,,4232,
235,196,82967,1296,,,4239,
236,196,82968,1296,,,3078,
237,196,82969,1296,,,3080,
238,196,82970,1296,,,3081,
239,196,83011,1296,,,3675,
240,196,83045,1296,,,47,
241,196,83046,1296,,,48,
242,196,83047,1296,,,49,
243,196,83049,1296,,,47,
244,196,83050,1296,,,48,
245,196,83051,1296,,,49,
246,196,83053,1296,,,47,
247,196,83054,1296,,,48,
248,196,83055,1296,,,49,
249,196,83056,1296,,,67,
250,196,83057,1296,,,4736,
251,196,83058,1296,,,68,
252,196,83059,1296,,,69,
253,196,83060,1296,,,72,
254,196,83061,1296,,,73,
255,196,83062,1296,,,74,
256,196,83063,1296,,,76,
257,196,83064,1296,,,77,
258,196,83065,1296,,,78,
259,196,83066,1296,,,79,
260,196,83067,1296,,,80,
261,196,83068,1296,,,4741,
262,196,83070,1296,,,47,
263,196,83071,1296,,,48,
264,196,83072,1296,,,49,
265,196,83074,1296,,,47,
266,196,83075,1296,,,48,
267,196,83076,1296,,,49,
268,196,83085,1296,,,122,
269,196,83086,1296,,,123,
270,196,83087,1296,,,124,
271,196,83088,1296,,,125,
272,196,83089,1296,,,126,
273,196,83090,1296,,,127,
274,196,83091,1296,,,128,
275,196,83092,1296,,,129,
276,196,83093,1296,,,130,
277,196,83094,1296,,,132,
278,196,83438,1296,,,47,
279,196,83439,1296,,,48,
280,196,83440,1296,,,49,
281,196,83441,1296,,,67,
282,196,83442,1296,,,4736,
283,196,83443,1296,,,68,
284,196,83444,1296,,,69,
285,196,83445,1296,,,72,
286,196,83446,1296,,,73,
287,196,83447,1296,,,74,
288,196,83448,1296,,,76,
289,196,83449,1296,,,77,
290,196,83450,1296,,,78,
291,196,83451,1296,,,79,
292,196,83452,1296,,,80,
293,196,83453,1296,,,4741,
294,196,83454,1296,,,122,
295,196,83455,1296,,,123,
296,196,83456,1296,,,124,
297,196,83457,1296,,,125,
298,196,83458,1296,,,126,
299,196,83459,1296,,,127,
300,196,83460,1296,,,128,
301,196,83461,1296,,,129,
302,196,83462,1296,,,130,
303,196,83463,1296,,,132,
304,196,83465,1296,,,47,
305,196,83466,1296,,,48,
306,196,83467,1296,,,49,
307,196,83469,1296,,,47,
308,196,83470,1296,,,48,
309,196,83471,1296,,,49,
310,196,83480,1296,,,122,
311,196,83481,1296,,,123,
312,196,83482,1296,,,124,
313,196,83483,1296,,,125,
314,196,83484,1296,,,126,
315,196,83485,1296,,,127,
316,196,83486,1296,,,128,
317,196,83487,1296,,,129,
318,196,83488,1296,,,130,
319,196,83489,1296,,,132,
320,196,84262,1296,,,842,
321,196,84263,1296,,,843,
322,196,84264,1296,,,844,
323,196,84265,1296,,,845,
324,196,84266,1296,,,47,
325,196,84267,1296,,,48,
326,196,84268,1296,,,49,
327,196,84270,1296,,,47,
328,196,84271,1296,,,48,
329,196,84272,1296,,,49,
330,196,84274,1296,,,47,
331,196,84275,1296,,,48,
332,196,84276,1296,,,49,
333,196,84278,1296,,,47,
334,196,84279,1296,,,48,
335,196,84280,1296,,,49,
336,196,84282,1296,,,47,
337,196,84283,1296,,,48,
338,196,84284,1296,,,49,
339,196,84286,1296,,,47,
340,196,84287,1296,,,48,
341,196,84288,1296,,,49,
342,196,84290,1296,,,47,
343,196,84291,1296,,,48,
344,196,84292,1296,,,49,
345,196,84294,1296,,,47,
346,196,84295,1296,,,48,
347,196,84296,1296,,,49,
348,196,84298,1296,,,47,
349,196,84299,1296,,,48,
350,196,84300,1296,,,49,
351,196,84305,1296,,,2180,
352,196,84306,1296,,,727,
353,196,84307,1296,,,728,
354,196,84308,1296,,,727,
355,196,84309,1296,,,728,
356,196,84310,1296,,,727,
357,196,84311,1296,,,122,
358,196,84312,1296,,,123,
359,196,84313,1296,,,124,
360,196,84314,1296,,,125,
361,196,84315,1296,,,126,
362,196,84316,1296,,,127,
363,196,84317,1296,,,128,
364,196,84318,1296,,,129,
365,196,84319,1296,,,130,
366,196,84320,1296,,,132,
367,196,84328,1296,,,842,
368,196,84329,1296,,,843,
369,196,84330,1296,,,844,
370,196,84331,1296,,,845,
371,196,84332,1296,,,47,
372,196,84333,1296,,,48,
373,196,84334,1296,,,49,
374,196,84336,1296,,,47,
375,196,84337,1296,,,48,
376,196,84338,1296,,,49,
377,196,84340,1296,,,47,
378,196,84341,1296,,,48,
379,196,84342,1296,,,49,
380,196,84344,1296,,,47,
381,196,84345,1296,,,48,
382,196,84346,1296,,,49,
383,196,84348,1296,,,47,
384,196,84349,1296,,,48,
385,196,84350,1296,,,49,
386,196,84352,1296,,,47,
387,196,84353,1296,,,48,
388,196,84354,1296,,,49,
389,196,84356,1296,,,47,
390,196,84357,1296,,,48,
391,196,84358,1296,,,49,
392,196,84360,1296,,,47,
393,196,84361,1296,,,48,
394,196,84362,1296,,,49,
395,196,84364,1296,,,47,
396,196,84365,1296,,,48,
397,196,84366,1296,,,49,
398,196,84371,1296,,,2180,
399,196,84372,1296,,,727,
400,196,84373,1296,,,728,
401,196,84374,1296,,,727,
402,196,84375,1296,,,728,
403,196,84376,1296,,,727,
404,196,84377,1296,,,122,
405,196,84378,1296,,,123,
406,196,84379,1296,,,124,
407,196,84380,1296,,,125,
408,196,84381,1296,,,126,
409,196,84382,1296,,,127,
410,196,84383,1296,,,128,
411,196,84384,1296,,,129,
412,196,84385,1296,,,130,
413,196,84386,1296,,,132,
414,196,84394,1296,,,25,
415,196,84395,1296,,,25,
416,196,84396,1296,,,26,
417,196,84397,1296,,,26,
418,196,84398,1296,,,26,
419,196,84399,1296,,,26,
420,196,84400,1296,,,26,
421,196,84401,1296,,,26,
422,196,84402,1296,,,26,
423,196,84403,1296,,,26,
424,196,84404,1296,,,26,
425,196,84405,1296,,,26,
426,196,84422,1296,,,3682,
427,196,84423,1296,,,3682,
428,196,84424,1296,,,3682,
429,196,84425,1296,,,3682,
430,196,84426,1296,,,3682,
431,196,84427,1296,,,3682,
432,196,84428,1296,,,3682,
433,196,84443,1296,,,2751,
434,196,84444,1296,,,2752,
435,196,84445,1296,,,2753,
436,196,84446,1296,,,2754,
437,196,84447,1296,,,2755,
438,196,84448,1296,,,3530,
439,196,84449,1296,,,3531,
440,196,84450,1296,,,3532,
441,196,84451,1296,,,3533,
442,196,84452,1296,,,3534,
443,196,84453,1296,,,3535,
444,196,84454,1296,,,3536,
445,196,84455,1296,,,3537,
446,196,84456,1296,,,3975,
447,196,84471,1296,,,2751,
448,196,84472,1296,,,2752,
449,196,84473,1296,,,2753,
450,196,84474,1296,,,2754,
451,196,84475,1296,,,2755,
452,196,84476,1296,,,3530,
453,196,84477,1296,,,3531,
454,196,84478,1296,,,3532,
455,196,84479,1296,,,3533,
456,196,84480,1296,,,3534,
457,196,84481,1296,,,3535,
458,196,84482,1296,,,3536,
459,196,84483,1296,,,3537,
460,196,84484,1296,,,3975,
461,196,84499,1296,,,3775,
462,196,84500,1296,,,3776,
463,196,84501,1296,,,3778,
464,196,84505,1296,,,3775,
465,196,84506,1296,,,3776,
466,196,84507,1296,,,3778,
467,196,84671,1296,,,4726,
468,196,84672,1296,,,4726,
469,196,84707,1296,,,3382,
470,196,84708,1296,,,3383,
471,196,84709,1296,,,3384,
472,196,84710,1296,,,3488,
473,196,84711,1296,,,3487,
474,196,84712,1296,,,3486,
475,196,84713,1296,,,3485,
476,196,84714,1296,,,3382,
477,196,84715,1296,,,3383,
478,196,84716,1296,,,3384,
479,196,84717,1296,,,3488,
480,196,84718,1296,,,3487,
481,196,84719,1296,,,3486,
