,actv_code_id,parent_actv_code_id,actv_code_type_id,actv_code_name,short_name,seq_num
0,3174,,205,General,Gen,0
1,3175,,205,Structural Works,Structu,100
2,3176,,205,Finishing Works,Finishi,200
3,3177,,206,Parking,Parking,1
4,3178,,206,Towers,Towers,100
5,3179,,206,General,Gen,0
6,3180,,207,Foundation Level,Found,3
7,3181,,207,Basement 3 ( Parking ),B3,4
8,3182,,207,Basement 2 ( Parking ),B2,5
9,3183,,207,Basement 1 ( Parking ),B1,100
10,3184,,207,Ground Floor,GF,201
11,3185,,207,Mezzanine Floor,Mezz,300
12,3186,,207,Floor R01,R01,500
13,3187,,207,Floor R02,R02,600
14,3188,,207,Floor R03,R03,601
15,3189,,207,Floor R04,R04,700
16,3190,,207,Floor R05,R05,800
17,3191,,207,Floor R06,R06,900
18,3192,,207,Floor R07,R07,1000
19,3193,,207,Floor R08,R08,1100
20,3194,,207,Floor R09,R09,1200
21,3195,,207,Floor R10,R10,1300
22,3196,,207,Floor R11,R11,1400
23,3197,,207,Floor R12,R12,1500
24,3198,,207,Floor R13,R13,1600
25,3199,,207,Floor R14,R14,1700
26,3200,,207,Floor R15,R15,1800
27,3201,,207,Floor R16,R16,1900
28,3202,,207,Floor R17,R17,2000
29,3203,,207,Floor R18,R18,2100
30,3204,,207,Floor R19,R19,2200
31,3205,,207,Floor R20,R20,2300
32,3206,,207,Floor R21,R21,2400
33,3207,,207,Floor R22,R22,2500
34,3208,,207,Floor Terrace,Rsa,2800
35,3209,,208,Contractual Milestones,Contr,0
36,3210,,208,Construction Works,Const,200
37,3211,,209,General Area,Gen,0
38,3212,,209,Tower 1  Area,T01,1
39,3213,,209,Tower 2  Area,T02,100
40,3214,,209,Tower 3  Area,T03,200
41,3215,,209,Tower 4  Area,T04,301
42,3216,,207,Technical Floor 01,T1,400
43,3217,,207,Technical Floor 02,T2,2700
44,3218,,207,General,GEN,1
45,3219,,210,All  Areas,ALL,0
46,3220,,210,Floors,FLOOR,100
47,3221,,210,Facades,FACADE,200
48,3222,,210,Elevators & Escalators,ELEV,300
49,3223,,207,Floor Saloon,R23,2600
50,3224,,208,Engineering Works,Engg,200
51,3225,,206,Tower - 1,T1,100
52,3226,,211,Shop Drawings Submission,SD Sub,1
53,3227,,207,Mechanical,Mech,2
54,3228,,207,Electrical,Elect,3
55,3229,,205,HVAC System,AC,500
56,3230,,205,Chilled Water System,CHW,501
57,3231,,205,Drainage System,DR,200
58,3232,,205,Water Supply System,WS,300
59,3233,,205,Fire Fighting System,FF,400
60,3234,,211,Shop Drawings Approval,SD App,2
61,3235,,205,Lighting System,LT,502
62,3236,,205,Power System,PW,503
63,3237,,205,Fire Alarm System,FA,504
64,3238,,205,Telephone System,TL,505
65,3239,,205,MATV System,TV,600
66,3240,,205,Videophone System,VP,700
67,3241,,205,Intrusion Alarm System,IA,800
68,3242,,205,BMS System,BMS,900
69,3243,,207,Builders Work,BW,4
70,3244,,205,Builders Work MEP Slab Openings,SO,1000
71,3245,,205,Builders Work MEP Core Wall Opening,WO,1100
72,3246,,213,Second Fix MEP,MEP2,900
73,3247,,213,First Fix (conduites),MEP1,400
74,3248,,213,MEP final fix,MEP3,1103
75,3249,,213,Inspections,INS,1400
76,3250,,213,HVAC & Fire Fighting,HVAC 1,902
77,3251,,213,Tech & Elec Rooms in each floor,TR,1301
78,3252,,212,Tower 1,T1,370
79,3253,,212,Basments,BG,170
80,3254,,211,General Milestones,GM,4
81,3255,,211,MEP Builders Work,BW,3
82,3256,,211,MEP Risers,RI,702
83,3257,,208,Procurement,Proc,300
84,3258,,208,Authority Approvals,Auth,500
85,3259,,208,Testing & Commissioning,TC,600
86,3260,,208,Snagging & Desnagging,Snag,700
87,3261,,206,Tower - 2,T2,100
88,3262,,206,Tower - 3,T3,101
89,3263,,206,Tower - 4,T4,200
90,3264,,206,Mechanical,ME,300
91,3265,,206,Electrical,EL,400
92,3266,,206,Snagging & Desnagging Tower - 1,SNG T1,800
93,3267,,206,Snagging & Desnagging Tower - 2,SNG T2,900
94,3268,,206,Snagging & Desnagging Tower - 3,SNG T3,1000
95,3269,,206,Snagging & Desnagging Tower - 4,SNG T4,1100
96,3270,,209,Mechanical Drawings,MED,1200
97,3271,,209,Electrical Drawings,ELD,1300
98,3272,,209,Builders Work Drawings,BWD,1400
99,3273,,209,Drainage,DR,1500
100,3274,,209,Plumbing,PL,1600
101,3275,,209,Fire Fighting,FF,1700
102,3276,,209,HVAC - Air Side,AC,1800
103,3277,,209,HVAC - Chilled Water,CW,1900
104,3278,,209,Fuel System (Generator),Fuel,2000
105,3279,,209,Power & Lighting,PW,2100
