,actv_code_type_id,actv_short_len,seq_num,actv_code_type,proj_id,wbs_id,actv_code_type_scope
0,205,7,200,Trade-2,,,AS_Global
1,206,7,301,Level-2,,,AS_Global
2,207,7,401,Floor-2,,,AS_Global
3,208,7,104,Division-2,,,AS_Global
4,209,7,0,Sub Zone,,,AS_Global
5,210,7,105,Areas,,,AS_Global
6,211,7,106,Level 7,,,AS_Global
7,212,3,67970,Bldg,,,AS_Global
8,213,7,18151,TRADE,,,AS_Global
9,214,7,107,Level 8,,,AS_Global
10,215,7,201,Fix,,,AS_Global
11,216,4,73750,Responsibility,,,AS_Global
12,355,7,0,New Structural,428,,AS_Project
