,rsrc_rate_id,rsrc_id,max_qty_per_hr,cost_per_qty,start_date,shift_period_id,cost_per_qty2,cost_per_qty3,cost_per_qty4,cost_per_qty5
0,1765,1329,43.75,0.00,2012-01-01 00:00,,0.00,0.00,0.00,0.00
1,1766,1330,287.5,0.00,2012-01-01 00:00,,0.00,0.00,0.00,0.00
2,1767,1332,137.5,0.00,2012-01-01 00:00,,0.00,0.00,0.00,0.00
3,1768,1327,35,0.00,2012-01-01 00:00,,0.00,0.00,0.00,0.00
4,1769,1333,90,0.00,2012-01-01 00:00,,0.00,0.00,0.00,0.00
5,1770,1325,187.5,0.00,2012-01-01 00:00,,,,,
6,1771,1355,2.5,0.00,2012-01-01 00:00,,,,,
7,1772,1356,5,0.00,2012-01-01 00:00,,,,,
8,1773,1324,250,0.00,2012-01-01 00:00,,,,,
9,1774,1331,350,0.00,2012-01-01 00:00,,,,,
10,1775,1323,437.5,0.00,2012-01-01 00:00,,,,,
11,1776,1326,10,0.00,2012-01-01 00:00,,,,,
12,1777,1322,150,0.00,2012-01-01 00:00,,,,,
13,1778,1328,5.625,0.00,2012-01-01 00:00,,,,,
14,1779,1352,31.25,0.00,2012-01-01 00:00,,,,,
15,1780,1354,87.5,0.00,2012-01-01 00:00,,,,,
16,1781,1351,8.125,0.00,2012-01-01 00:00,,,,,
17,1782,1350,16.25,0.00,2012-01-01 00:00,,,,,
18,1783,1349,187.5,0.00,2012-01-01 00:00,,,,,
19,1784,1353,1000,0.00,2012-01-01 00:00,,,,,
20,1785,1320,68.75,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
21,1786,1334,40,0.00,2013-01-01 00:00,,0.00,0.00,0.00,0.00
22,1788,1337,62.5,0.00,2013-01-01 00:00,,0.00,0.00,0.00,0.00
23,1789,1338,125,0.00,2013-01-01 00:00,,0.00,0.00,0.00,0.00
24,1790,1339,62.5,0.00,2013-01-01 00:00,,0.00,0.00,0.00,0.00
25,1791,1335,187.5,0.00,2013-01-01 00:00,,0.00,0.00,0.00,0.00
26,1792,1340,250,0.00,2013-01-01 00:00,,0.00,0.00,0.00,0.00
27,1793,1341,150,0.00,2013-01-01 00:00,,0.00,0.00,0.00,0.00
28,1794,1342,150,0.00,2013-01-01 00:00,,0.00,0.00,0.00,0.00
29,1795,1344,150,0.00,2013-01-01 00:00,,0.00,0.00,0.00,0.00
30,1796,1345,150,0.00,2013-01-01 00:00,,0.00,0.00,0.00,0.00
31,1797,1346,187.5,0.00,2013-01-01 00:00,,0.00,0.00,0.00,0.00
32,1798,1347,62.5,0.00,2013-01-01 00:00,,0.00,0.00,0.00,0.00
33,1799,1343,62.5,0.00,2013-01-01 00:00,,0.00,0.00,0.00,0.00
34,1800,1348,400,0.00,2013-01-01 00:00,,0.00,0.00,0.00,0.00
35,1801,1358,0.25,0.00,2012-01-01 00:00,,,,,
36,1802,1357,0.25,0.00,2012-01-01 00:00,,,,,
37,1803,1359,0.125,0.00,2012-01-01 00:00,,,,,
38,1804,1361,0.125,0.00,2012-01-01 00:00,,,,,
39,1805,1362,0.125,0.00,2012-01-01 00:00,,,,,
40,1806,1360,0.125,0.00,2012-01-01 00:00,,,,,
41,1807,1363,0.25,0.00,2012-01-01 00:00,,,,,
42,1816,1415,62500,1.00,2012-03-01 00:00,,,,,
