,task_id,actv_code_type_id,actv_code_id,proj_id
0,55104,205,3380,428
1,55104,206,3263,428
2,55104,207,3367,428
3,55104,208,3259,428
4,55104,209,3282,428
5,55104,210,3219,428
6,55104,216,3411,428
7,55104,355,3443,428
8,55105,205,3380,428
9,55105,206,3263,428
10,55105,207,3375,428
11,55105,208,3259,428
12,55105,209,3282,428
13,55105,210,3219,428
14,55105,216,3411,428
15,55105,355,3443,428
16,55106,205,3380,428
17,55106,206,3263,428
18,55106,207,3357,428
19,55106,208,3259,428
20,55106,209,3282,428
21,55106,210,3219,428
22,55106,216,3411,428
23,55106,355,3443,428
24,55107,205,3380,428
25,55107,206,3263,428
26,55107,207,3379,428
27,55107,208,3259,428
28,55107,209,3282,428
29,55107,210,3219,428
30,55107,216,3411,428
31,55107,355,3443,428
32,55108,205,3380,428
33,55108,206,3263,428
34,55108,207,3376,428
35,55108,208,3259,428
36,55108,209,3282,428
37,55108,210,3219,428
38,55108,216,3411,428
39,55108,355,3443,428
40,55109,205,3380,428
41,55109,206,3263,428
42,55109,207,3377,428
43,55109,208,3259,428
44,55109,209,3282,428
45,55109,210,3219,428
46,55109,216,3411,428
47,55109,355,3443,428
48,55110,205,3380,428
49,55110,206,3263,428
50,55110,207,3378,428
51,55110,208,3259,428
52,55110,209,3282,428
53,55110,210,3219,428
54,55110,216,3411,428
55,55110,355,3443,428
56,55111,205,3380,428
57,55111,206,3263,428
58,55111,207,3370,428
59,55111,208,3259,428
60,55111,209,3281,428
61,55111,210,3219,428
62,55111,216,3411,428
63,55111,355,3443,428
64,55112,205,3380,428
65,55112,206,3263,428
66,55112,207,3373,428
67,55112,208,3259,428
68,55112,209,3281,428
69,55112,210,3219,428
70,55112,216,3411,428
71,55112,355,3443,428
72,55113,205,3380,428
73,55113,206,3263,428
74,55113,207,3374,428
75,55113,208,3259,428
76,55113,209,3281,428
77,55113,210,3219,428
78,55113,216,3411,428
79,55113,355,3443,428
80,55114,205,3380,428
81,55114,206,3263,428
82,55114,207,3374,428
83,55114,208,3259,428
84,55114,209,3281,428
85,55114,210,3219,428
86,55114,216,3411,428
87,55114,355,3443,428
88,55115,205,3380,428
89,55115,206,3263,428
90,55115,207,3372,428
91,55115,208,3259,428
92,55115,209,3281,428
93,55115,210,3219,428
94,55115,216,3411,428
95,55115,355,3443,428
96,55116,205,3380,428
97,55116,206,3263,428
98,55116,207,3371,428
99,55116,208,3259,428
100,55116,209,3281,428
101,55116,210,3219,428
102,55116,216,3411,428
103,55116,355,3443,428
104,55117,205,3380,428
105,55117,206,3263,428
106,55117,207,3371,428
107,55117,208,3259,428
108,55117,209,3281,428
109,55117,210,3219,428
110,55117,216,3411,428
111,55117,355,3443,428
112,55118,205,3380,428
113,55118,206,3225,428
114,55118,207,3378,428
115,55118,208,3259,428
116,55118,209,3282,428
117,55118,210,3219,428
118,55118,216,3411,428
119,55118,355,3440,428
120,55119,205,3380,428
121,55119,206,3225,428
122,55119,207,3375,428
123,55119,208,3259,428
124,55119,209,3282,428
125,55119,210,3219,428
126,55119,216,3411,428
127,55119,355,3440,428
128,55120,205,3380,428
129,55120,206,3225,428
130,55120,207,3367,428
131,55120,208,3259,428
132,55120,209,3282,428
133,55120,210,3219,428
134,55120,216,3411,428
135,55120,355,3440,428
136,55121,205,3380,428
137,55121,206,3225,428
138,55121,207,3357,428
139,55121,208,3259,428
140,55121,209,3282,428
141,55121,210,3219,428
142,55121,216,3411,428
143,55121,355,3440,428
144,55122,205,3380,428
145,55122,206,3225,428
146,55122,207,3376,428
147,55122,208,3259,428
148,55122,209,3282,428
149,55122,210,3219,428
