,wbs_id,proj_id,obs_id,seq_num,proj_node_flag,sum_data_flag,status_code,wbs_short_name,wbs_name,phase_id,parent_wbs_id,ev_user_pct,ev_etc_user_value,orig_cost,indep_remain_total_cost,ann_dscnt_rate_pct,dscnt_period_type,indep_remain_work_qty,anticip_start_date,anticip_end_date,ev_compute_type,ev_etc_compute_type,guid,tmpl_guid,plan_open_state
0,35196,6764,540,101,Y,N,WS_Open,JF 752-2,CONTRACT NO. JSTPP-M-CON-002 ERECTION OF SITE FABRICATED TANKS (PACKAGE 02)-Scenrio #2,1247,30552,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,qg+imeb5QTiBv09LLqCIMg,,
1,35197,6764,540,0,N,N,WS_Open,1,AREA B (6 TANKS SITE ERECTION WORKS),1249,35196,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,9gqFjccDSfWa6FXfuvZg1w,gGIBLBaonEW2Q2p+ZETVYQ,
2,35198,6764,540,1,N,N,WS_Open,GDK,Desanilated Water Storage Tank TANK#1(10GDK51BB001)& TANK#2(10GDK52BB001) (46.2 MTR D x 17.2 Mtr H),1253,35197,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,omL3Su82S62R9c20tOcerw,mKm46XVSRYiO4AVo8aRNNg,
3,35199,6764,540,502,N,N,WS_Open,5,FINAL INSPECTION & HANDOVER TO CLIENT,1251,35198,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,id6uteFcSS+hd0Y83YhUyQ,Y6WfAAsrVU2F03F0Qe3+uA,
4,35200,6764,540,602,N,N,WS_Open,1,TANK#1,1251,35199,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,rPW7UTz+R+KYZvWqvt8GKg,,
5,35201,6764,540,702,N,N,WS_Open,2,TANK#2,1251,35199,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,onNn948FQqKXWwWxJitl1Q,,
6,35202,6764,540,0,N,N,WS_Open,1,Tank Foundation Handover To AZ,1249,35198,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,4eYJQco8TwS947wrMUvIxQ,vyTfW7ZKQL62IAQoYmlUbg,
7,35203,6764,540,100,N,N,WS_Open,2,MECHANICAL WORK,1249,35198,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,bOy7X94xTg29pSAQ4jHiSw,2WKI6sc/QhGcaY4na8YL/g,
8,35204,6764,540,501,N,N,WS_Open,2,SHELL COURSE#5,1249,35203,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,e9n3Y9EcRnejcemMpkbhAQ,omiDfiQ5TTmV67TVcDYbeQ,
9,35205,6764,540,0,N,N,WS_Open,1,TANK #1,1249,35204,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,TekVEAgWTnmQ24l64ryWTw,vQAdWk69T0Cucz/A5iXtLQ,
10,35206,6764,540,2,N,N,WS_Open,3,RT FOR SHELL COURSE #5 JOINTS,1249,35204,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,2Gy+aC00S1u40V15XBD3Bw,4UMc5T8IlUaPb/M8B2hBDg,
11,35207,6764,540,1,N,N,WS_Open,2,TANK #2,1249,35204,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,pKn1KGFRQAuJZmywBq1bUg,uZDnovutSc+pU0F5X7mQQw,
12,35208,6764,540,901,N,N,WS_Open,21,SHELL COURSE#7/NOZZLE (N4),1249,35203,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,g/pwdR6DQY6s11BmZfYHRQ,u1Rkvr1zQMytN4wWVii/jA,
13,35209,6764,540,1,N,N,WS_Open,2,TANK #2,1249,35208,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,nW+P+bO2TPePzZY+KOb67A,w9EdGQ67RlCjtks9jk5W0A,
14,35210,6764,540,202,N,N,WS_Open,3,RT FOR SHELL COURSE #7 JOINTS,1249,35208,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,Bw8SSIT+Tc27jOWnB8w4sw,ZUrNh3BJREurdrbc/lQGig,
