,task_id,proj_id,wbs_id,clndr_id,phys_complete_pct,rev_fdbk_flag,lock_plan_flag,auto_compute_act_flag,complete_pct_type,task_type,duration_type,status_code,task_code,task_name,rsrc_id,total_float_hr_cnt,free_float_hr_cnt,remain_drtn_hr_cnt,act_work_qty,remain_work_qty,target_work_qty,target_drtn_hr_cnt,target_equip_qty,act_equip_qty,remain_equip_qty,cstr_date,act_start_date,act_end_date,late_start_date,late_end_date,expect_end_date,early_start_date,early_end_date,restart_date,reend_date,target_start_date,target_end_date,rem_late_start_date,rem_late_end_date,cstr_type,priority_type,suspend_date,resume_date,float_path,float_path_order,guid,tmpl_guid,cstr_date2,cstr_type2,driving_path_flag,act_this_per_work_qty,act_this_per_equip_qty,external_early_start_date,external_late_end_date,create_date,update_date,create_user,update_user,location_id
0,127643,6764,35200,6640,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDrtn,TK_NotStart,HHI.1502,Perform Final Inspection & Handover to CLient,,220,220,10,0,0,0,10,0,0,0,,,,2015-02-04 16:00,2015-02-05 16:00,,2015-01-10 16:00,2015-01-11 16:00,2015-01-10 16:00,2015-01-11 16:00,2015-01-10 16:00,2015-01-11 16:00,2015-02-04 16:00,2015-02-05 16:00,,PT_Normal,,,,,ZV/jVlIhTdakyW/8TOuSpw,,,,N,0,0,,,2014-02-17 15:27,2014-03-01 17:08,admin,admin,
1,127644,6764,35201,6640,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDrtn,TK_NotStart,HHI.1503,Perform Final Inspection & Handover to CLient,,0,0,10,0,0,0,10,0,0,0,,,,2015-02-04 16:00,2015-02-05 16:00,,2015-02-04 16:00,2015-02-05 16:00,2015-02-04 16:00,2015-02-05 16:00,2015-02-04 16:00,2015-02-05 16:00,2015-02-04 16:00,2015-02-05 16:00,,PT_Normal,,,,,MBGKlQ9kRpG1Sd5ULwE8JA,,,,Y,0,0,,,2014-02-17 15:27,2014-03-01 17:08,admin,admin,
2,127645,6764,35202,6640,0,N,N,N,CP_Drtn,TT_Mile,DT_FixedDrtn,TK_NotStart,HHI.1263,HHI Hand over Tank#1(10GDK51BB001) Foundation  to AZ,,0,0,0,0,0,0,0,0,0,0,2014-01-30 07:00,,,2014-01-30 07:00,2014-01-30 07:00,,2014-01-30 07:00,2014-01-30 07:00,2014-01-30 07:00,2014-01-30 07:00,2014-01-30 07:00,2014-01-30 07:00,2014-01-30 07:00,2014-01-30 07:00,CS_MSO,PT_Normal,,,,,p0VivTFNQ9ymByGLGuCHBA,mZLpwe/EQNeoWPSCAEM8Mw,,,N,0,0,,,2014-02-17 15:27,2014-03-01 14:49,admin,admin,
3,127646,6764,35202,6640,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDrtn,TK_NotStart,HHI.1264,AZ Check Tank#1 Foundation Levelness prior to Mechanical Works,,480,0,10,0,0,0,10,0,0,0,,,,2014-03-27 07:00,2014-03-27 17:00,,2014-01-30 07:00,2014-01-30 17:00,2014-01-30 07:00,2014-01-30 17:00,2014-01-30 07:00,2014-01-30 17:00,2014-03-27 07:00,2014-03-27 17:00,,PT_Normal,,,,,0y4Wa9NOQmin5d0Q9PnZZw,,,,N,0,0,,,2014-02-17 15:27,2014-03-01 17:06,admin,admin,
4,127647,6764,35202,6640,0,N,N,N,CP_Drtn,TT_Mile,DT_FixedDrtn,TK_NotStart,HHI.1265,HHI Hand over Tank#2(10GDK52BB001) Foundation to AZ,,450,0,0,0,0,0,0,0,0,0,,,,2014-04-03 07:00,2014-04-03 07:00,,2014-02-10 07:00,2014-02-10 07:00,2014-02-10 07:00,2014-02-10 07:00,2014-02-10 07:00,2014-02-10 07:00,2014-04-03 07:00,2014-04-03 07:00,,PT_Normal,,,,,ObWHK79dSPWw1Os0EFy5jw,jZBqjg4eR2uWUdRphzKneQ,,,N,0,0,,,2014-02-17 15:27,2014-03-01 17:06,admin,admin,
5,127648,6764,35202,6640,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDrtn,TK_NotStart,HHI.1266,AZ Check Tank#2 Foundation Levelness prior to Mechanical Works,,450,0,10,0,0,0,10,0,0,0,,,,2014-04-03 07:00,2014-04-03 17:00,,2014-02-10 07:00,2014-02-10 17:00,2014-02-10 07:00,2014-02-10 17:00,2014-02-10 07:00,2014-02-10 17:00,2014-04-03 07:00,2014-04-03 17:00,,PT_Normal,,,,,zxZR7YQiRNySUwDRzVWEmw,0G+Ov/CT2EyBqY3FlGkIDA,,,N,0,0,,,2014-02-17 15:27,2014-03-01 17:06,admin,admin,
6,127649,6764,35205,6640,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDrtn,TK_NotStart,HHI.1362,Erect & Tack Shell Course # 5 & Install Stagging Brackets,,450,0,20,0,380,380,20,48,0,48,,,,2014-06-14 07:00,2014-06-15 17:00,,2014-04-22 07:00,2014-04-23 17:00,2014-04-22 07:00,2014-04-23 17:00,2014-04-22 07:00,2014-04-23 17:00,2014-06-14 07:00,2014-06-15 17:00,,PT_Normal,,,,,M40TaquISGWlw3hozEErpw,ecDUDG8kRm2JZAKMZ9pG6w,,,N,0,0,,,2014-02-17 15:27,2014-03-01 17:06,admin,admin,
7,127650,6764,35205,6640,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDrtn,TK_NotStart,HHI.1363,Weld Outer Vertical Seam /Install the Stairways support on Shell,,450,0,10,0,167.111111,167.111111,10,33.066667,0,33.066667,,,,2014-06-15 07:00,2014-06-15 17:00,,2014-04-23 07:00,2014-04-23 17:00,2014-04-23 07:00,2014-04-23 17:00,2014-04-23 07:00,2014-04-23 17:00,2014-06-15 07:00,2014-06-15 17:00,,PT_Normal,,,,,tTe1rWRsSTqGLlCeg3xv4Q,yYu4cW08SCmEyuZcw/ZGvA,,,N,0,0,,,2014-02-17 15:27,2014-03-01 17:06,admin,admin,
8,127651,6764,35205,6640,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDrtn,TK_NotStart,HHI.1364,Backgouge & NDT Inside Vertical Seam,,450,0,10,0,90.666666,90.666666,10,42.666666,0,42.666666,,,,2014-06-15 07:00,2014-06-15 17:00,,2014-04-23 07:00,2014-04-23 17:00,2014-04-23 07:00,2014-04-23 17:00,2014-04-23 07:00,2014-04-23 17:00,2014-06-15 07:00,2014-06-15 17:00,,PT_Normal,,,,,nH+csJYARj+tZei1BRpjNw,YFBBscqRSPOQ4LJHsNkQ9w,,,N,0,0,,,2014-02-17 15:27,2014-03-01 17:06,admin,admin,
9,127652,6764,35205,6640,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDrtn,TK_NotStart,HHI.1366,"""""Weld Outer Horizontal Seam between Shell Course # 4 & 5""""",,450,0,20,0,320,320,20,85.333334,0,85.333334,,,,2014-06-17 07:00,2014-06-18 17:00,,2014-04-26 07:00,2014-04-27 17:00,2014-04-26 07:00,2014-04-27 17:00,2014-04-26 07:00,2014-04-27 17:00,2014-06-17 07:00,2014-06-18 17:00,,PT_Normal,,,,,5KF7E0CuSsSEeEm3c/T/Mw,fEGyf71ySF2jf/P9NvOMtA,,,N,0,0,,,2014-02-17 15:27,2014-03-01 17:06,admin,admin,
