,task_pred_id,task_id,pred_task_id,proj_id,pred_proj_id,pred_type,lag_hr_cnt,float_path,aref,arls
0,80964,128193,128191,6764,6764,PR_FS,0,,2014-07-19 11:00,2014-07-19 11:00
1,80965,128407,128406,6764,6764,PR_FS,0,,2014-09-09 11:00,2014-09-09 11:00
2,80966,128409,128408,6764,6764,PR_FS,0,,2014-09-29 16:00,2014-12-22 16:00
3,80967,128411,128385,6764,6764,PR_FS,0,,2014-11-13 16:00,2015-02-03 16:00
4,80968,128290,128289,6764,6764,PR_FS,0,,2014-02-26 17:00,2014-02-27 07:00
5,80969,128281,128416,6764,6764,PR_SS,0,,2014-02-18 07:00,2014-02-17 07:00
6,80970,128327,128326,6764,6764,PR_SS,0,,2014-02-27 07:00,2014-02-25 07:00
7,80971,128326,128334,6764,6764,PR_SS,0,,2014-02-27 07:00,2014-02-26 07:00
8,80972,128301,128278,6764,6764,PR_SS,0,,2014-05-03 07:00,2014-05-01 07:00
9,80973,128309,128292,6764,6764,PR_SS,0,,2014-05-13 07:00,2014-05-12 07:00
10,80974,128219,128221,6764,6764,PR_FF,0,,2014-03-13 07:00,2014-03-18 17:00
11,80975,128183,128182,6764,6764,PR_FS,0,,2014-08-27 11:00,2014-08-27 11:00
12,80976,128165,128164,6764,6764,PR_SS,20,,2014-08-12 11:00,2014-08-07 16:00
13,80977,127884,128420,6764,6764,PR_FS,0,,2014-11-16 16:00,2015-02-05 16:00
14,80978,128385,128387,6764,6764,PR_FF,0,,2014-10-16 16:00,2015-02-03 16:00
15,80979,128240,128239,6764,6764,PR_FS,0,,2014-06-04 17:00,2014-06-05 07:00
16,80980,128242,128241,6764,6764,PR_FS,0,,2014-06-07 17:00,2014-06-08 07:00
17,80981,128261,128260,6764,6764,PR_FS,0,,2014-06-14 17:00,2014-06-15 07:00
18,80982,127944,127943,6764,6764,PR_FS,0,,2014-06-21 17:00,2014-08-25 11:00
19,80983,127954,127953,6764,6764,PR_FS,0,,2014-07-07 11:00,2014-09-04 16:00
20,80984,128050,128049,6764,6764,PR_FS,0,,2014-06-16 17:00,2014-08-20 16:00
21,80985,128061,128059,6764,6764,PR_SS,0,,2014-06-19 07:00,2014-08-21 16:00
22,80986,127964,127963,6764,6764,PR_FS,0,,2014-03-29 17:00,2014-05-22 07:00
23,80987,127974,127970,6764,6764,PR_SS,0,,2014-04-03 07:00,2014-05-24 07:00
