,task_id,proj_id,wbs_id,clndr_id,est_wt,phys_complete_pct,rev_fdbk_flag,lock_plan_flag,auto_compute_act_flag,complete_pct_type,task_type,duration_type,review_type,status_code,task_code,task_name,rsrc_id,total_float_hr_cnt,free_float_hr_cnt,remain_drtn_hr_cnt,act_work_qty,remain_work_qty,target_work_qty,target_drtn_hr_cnt,target_equip_qty,act_equip_qty,remain_equip_qty,cstr_date,act_start_date,act_end_date,late_start_date,late_end_date,expect_end_date,early_start_date,early_end_date,restart_date,reend_date,target_start_date,target_end_date,review_end_date,rem_late_start_date,rem_late_end_date,cstr_type,priority_type,suspend_date,resume_date,float_path,float_path_order,guid,tmpl_guid,cstr_date2,cstr_type2,driving_path_flag,act_this_per_work_qty,act_this_per_equip_qty,external_early_start_date,external_late_end_date,create_date,update_date,create_user,update_user
0,128026,3614,19568,4347,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedRate,RV_OK,TK_NotStart,A9550,Site Preparation Works,,848,848,112,0,0,0,112,0,0,0,,,,2012-02-15 08:00,2012-03-01 16:00,,2011-10-01 08:00,2011-10-16 16:00,2011-10-01 08:00,2011-10-16 16:00,2011-10-01 08:00,2011-10-16 16:00,,2012-02-15 08:00,2012-03-01 16:00,,PT_Normal,,,,,k9jx+8DtBUGMZSkMGnTULg,4hjnagKyE06V4Ct2a3g1ww,,,N,0,0,,,2012-05-08 14:07,2012-05-08 14:07,admin,admin
1,128027,3614,19565,4347,0,0,N,N,N,CP_Drtn,TT_Mile,DT_FixedDrtn,RV_OK,TK_NotStart,A10920,Project Start,,0,0,0,0,0,0,0,0,0,0,,,,2011-10-01 08:00,2011-10-01 08:00,,2011-10-01 08:00,2011-10-01 08:00,2011-10-01 08:00,2011-10-01 08:00,2011-10-01 08:00,2011-10-01 08:00,,2011-10-01 08:00,2011-10-01 08:00,,PT_Normal,,,,,8LjivEDZyUS+GzXt5HxtxA,,,,Y,0,0,,,2012-05-08 14:07,2012-05-08 14:07,admin,admin
2,128028,3614,19565,4347,0,0,N,N,N,CP_Drtn,TT_FinMile,DT_FixedDrtn,RV_OK,TK_NotStart,A10930,Project Finish,,8,8,0,0,0,0,0,0,0,0,,,,2012-03-01 16:00,2012-03-01 16:00,,2012-02-29 16:00,2012-02-29 16:00,2012-02-29 16:00,2012-02-29 16:00,2012-02-29 16:00,2012-02-29 16:00,,2012-03-01 16:00,2012-03-01 16:00,,PT_Normal,,,,,2c4h5nZlgkG6qVmb5S3ciQ,,,,N,0,0,,,2012-05-08 14:07,2012-05-08 14:07,admin,admin
3,128029,3614,19571,4347,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A10980,Shop Drawing Preparation & Submittal,,0,0,56,0,0,0,56,0,0,0,,,,2011-10-01 08:00,2011-10-08 16:00,,2011-10-01 08:00,2011-10-08 16:00,2011-10-01 08:00,2011-10-08 16:00,2011-10-01 08:00,2011-10-08 16:00,,2011-10-01 08:00,2011-10-08 16:00,,PT_Normal,,,,,ydWN1YuvQ0as4Oz31e2zfg,RaQ9kSiV1k29J6kSs6bdsQ,,,Y,0,0,,,2012-05-08 14:07,2012-05-08 14:07,admin,admin
4,128030,3614,19571,4347,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A10990,Shop Drawing Review & Approval,,0,0,56,0,0,0,56,0,0,0,,,,2011-10-09 08:00,2011-10-16 16:00,,2011-10-09 08:00,2011-10-16 16:00,2011-10-09 08:00,2011-10-16 16:00,2011-10-09 08:00,2011-10-16 16:00,,2011-10-09 08:00,2011-10-16 16:00,,PT_Normal,,,,,qSRvSzpD20Sg9KpCg/1w0w,Cq5h+meLOkuqg1mXHpws+A,,,Y,0,0,,,2012-05-08 14:07,2012-05-08 14:07,admin,admin
5,128031,3614,19572,4347,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A11000,Shop Drawing Preparation & Submittal,,8,0,56,0,0,0,56,0,0,0,,,,2011-10-19 08:00,2011-10-26 16:00,,2011-10-18 08:00,2011-10-25 16:00,2011-10-18 08:00,2011-10-25 16:00,2011-10-18 08:00,2011-10-25 16:00,,2011-10-19 08:00,2011-10-26 16:00,,PT_Normal,,,,,pSUM4Bn+YEikshAlVgPpWg,RQ3zKSivHkuCXXgZsJciqQ,,,N,0,0,,,2012-05-08 14:07,2012-05-08 14:07,admin,admin
6,128032,3614,19572,4347,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A11010,Shop Drawing Review & Approval,,8,0,56,0,0,0,56,0,0,0,,,,2011-10-27 08:00,2011-11-03 16:00,,2011-10-26 08:00,2011-11-02 16:00,2011-10-26 08:00,2011-11-02 16:00,2011-10-26 08:00,2011-11-02 16:00,,2011-10-27 08:00,2011-11-03 16:00,,PT_Normal,,,,,s9xc93NmP0iaw7rj/Vjbdg,pc/pOl5CCkCqxCw7hc6M0g,,,N,0,0,,,2012-05-08 14:07,2012-05-08 14:07,admin,admin
7,128033,3614,19573,4347,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedRate,RV_OK,TK_NotStart,A11270,Electrical and Mechanical Works,,8,0,720,0,0,0,720,0,0,0,,,,2011-11-19 08:00,2012-03-01 16:00,,2011-11-03 08:00,2012-02-29 16:00,2011-11-03 08:00,2012-02-29 16:00,2011-11-03 08:00,2012-02-29 16:00,,2011-11-19 08:00,2012-03-01 16:00,,PT_Normal,,,,,bwy/Rlt3C0iVCj/SEsXoAQ,Kcq3ELAMIEiz4dYSn9PVEA,,,N,0,0,,,2012-05-08 14:07,2012-05-08 14:07,admin,admin
8,128034,3614,19574,4347,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedRate,RV_OK,TK_NotStart,A12080,Masonry Works,,32,0,240,0,0,0,240,0,0,0,,,,2011-10-22 08:00,2011-12-08 16:00,,2011-10-17 08:00,2011-12-04 16:00,2011-10-17 08:00,2011-12-04 16:00,2011-10-17 08:00,2011-12-04 16:00,,2011-10-22 08:00,2011-12-08 16:00,,PT_Normal,,,,,ZrgR89orCkmoSaaiN8tX+Q,eKDVQFc/BUe43WhOonrOoA,,,N,0,0,,,2012-05-08 14:07,2012-05-08 14:07,admin,admin
9,128035,3614,19574,4347,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedRate,RV_OK,TK_NotStart,A12090,Plastering Works,,32,0,240,0,0,0,240,0,0,0,,,,2011-11-22 08:00,2011-12-26 16:00,,2011-11-03 08:00,2011-12-21 16:00,2011-11-03 08:00,2011-12-21 16:00,2011-11-03 08:00,2011-12-21 16:00,,2011-11-22 08:00,2011-12-26 16:00,,PT_Normal,,,,,7IChVU4q3E2Stnqd7zTSJw,TQV48QNO6EuDfCkqM1U8xw,,,N,0,0,,,2012-05-08 14:07,2012-05-08 14:07,admin,admin
