,task_pred_id,task_id,pred_task_id,proj_id,pred_proj_id,pred_type,lag_hr_cnt,float_path,aref,arls
0,172741,128030,128029,3614,3614,PR_FS,0,,2011-10-08 16:00,2011-10-09 08:00
1,172742,128032,128031,3614,3614,PR_FS,0,,2011-10-25 16:00,2011-10-27 08:00
2,172743,128026,128027,3614,3614,PR_FS,0,,2011-10-01 08:00,2012-02-15 08:00
3,172744,128029,128027,3614,3614,PR_FS,0,,2011-10-01 08:00,2011-10-01 08:00
4,172745,128035,128034,3614,3614,PR_SS,120,,2011-11-02 16:00,2011-09-17 08:00
5,172746,128038,128036,3614,3614,PR_FS,0,,2012-01-22 16:00,2012-01-28 08:00
6,172747,128039,128035,3614,3614,PR_FS,0,,2011-12-21 16:00,2011-12-27 08:00
7,172748,128036,128039,3614,3614,PR_FS,0,,2011-12-29 16:00,2012-01-04 08:00
8,172749,128040,128035,3614,3614,PR_FS,0,,2011-12-21 16:00,2012-01-08 08:00
9,172750,128037,128040,3614,3614,PR_FS,0,,2011-12-29 16:00,2012-01-16 08:00
10,172751,128042,128041,3614,3614,PR_FS,0,,2012-01-25 16:00,2012-02-20 08:00
11,172752,128031,128027,3614,3614,PR_FS,120,,2011-10-17 16:00,2011-10-02 08:00
12,172753,128033,128032,3614,3614,PR_FS,0,,2011-11-02 16:00,2011-11-19 08:00
13,172754,128034,128030,3614,3614,PR_FS,0,,2011-10-16 16:00,2011-10-22 08:00
14,172755,128028,128033,3614,3614,PR_FS,0,,2012-02-29 16:00,2012-03-01 16:00
15,172756,128041,128035,3614,3614,PR_FS,0,,2011-12-21 16:00,2012-01-16 08:00
16,172757,128042,128037,3614,3614,PR_FS,0,,2012-02-02 16:00,2012-02-20 08:00
17,172758,128043,128042,3614,3614,PR_SS,0,,2012-02-15 08:00,2012-02-08 08:00
18,172759,128042,128038,3614,3614,PR_FS,0,,2012-02-14 16:00,2012-02-20 08:00
19,172760,128028,128043,3614,3614,PR_FS,0,,2012-02-26 16:00,2012-03-01 16:00
20,172761,128044,128042,3614,3614,PR_SS,0,,2012-02-15 08:00,2012-02-08 08:00
21,172762,128028,128044,3614,3614,PR_FS,0,,2012-02-26 16:00,2012-03-01 16:00
22,172763,128046,128045,3614,3614,PR_FS,0,,2011-12-27 16:00,2011-12-28 08:00
23,172764,128049,128047,3614,3614,PR_FS,0,,2012-02-14 16:00,2012-02-15 08:00
24,172765,128050,128046,3614,3614,PR_FS,0,,2012-01-14 16:00,2012-01-15 08:00
25,172766,128047,128050,3614,3614,PR_FS,0,,2012-02-06 16:00,2012-02-07 08:00
26,172767,128045,128030,3614,3614,PR_FS,320,,2011-12-15 16:00,2011-10-17 08:00
27,172768,128051,128048,3614,3614,PR_FS,0,,2012-02-18 16:00,2012-02-23 08:00
28,172769,128052,128051,3614,3614,PR_SS,0,,2012-02-23 08:00,2012-02-18 08:00
29,172770,128051,128049,3614,3614,PR_FS,0,,2012-02-22 16:00,2012-02-23 08:00
30,172771,128028,128052,3614,3614,PR_FS,0,,2012-02-28 16:00,2012-03-01 16:00
31,172772,128053,128051,3614,3614,PR_SS,0,,2012-02-23 08:00,2012-02-18 08:00
32,172773,128028,128053,3614,3614,PR_FS,0,,2012-02-28 16:00,2012-03-01 16:00
33,172774,128048,128046,3614,3614,PR_FS,0,,2012-01-14 16:00,2012-01-19 08:00
34,172775,128051,128046,3614,3614,PR_FS,0,,2012-01-14 16:00,2012-02-23 08:00
35,172776,128054,128049,3614,3614,PR_SS,0,,2012-02-15 08:00,2012-02-09 08:00
36,172777,128051,128054,3614,3614,PR_FS,0,,2012-02-20 16:00,2012-02-23 08:00
37,172778,128055,128038,3614,3614,PR_SS,0,,2012-01-23 08:00,2012-01-04 08:00
38,172779,128042,128055,3614,3614,PR_FS,0,,2012-02-14 16:00,2012-02-20 08:00
39,172780,128056,128054,3614,3614,PR_SS,0,,2012-02-15 08:00,2012-02-12 08:00
40,172781,128028,128056,3614,3614,PR_FS,0,,2012-02-28 16:00,"2012-03-01 16:00
%E"
