,task_pred_id,task_id,pred_task_id,proj_id,pred_proj_id,pred_type,lag_hr_cnt,float_path,aref,arls
0,460375,188692,188691,2631,2631,PR_SS,80,,2014-10-16 16:00,2014-10-12 08:00
1,460376,188692,188691,2631,2631,PR_FF,80,,2014-10-18 08:00,2014-12-22 08:00
2,460377,188694,188693,2631,2631,PR_SS,80,,2014-10-16 16:00,2014-09-10 08:00
3,460378,188694,188693,2631,2631,PR_FF,80,,2014-10-18 08:00,2014-10-30 08:00
4,460379,188696,188695,2631,2631,PR_SS,80,,2014-10-16 16:00,2014-09-10 08:00
5,460380,188696,188695,2631,2631,PR_FF,80,,2014-10-18 08:00,2014-11-23 08:00
6,460381,188698,188697,2631,2631,PR_SS,80,,2014-10-16 16:00,2014-09-23 08:00
7,460382,188698,188697,2631,2631,PR_FF,80,,2014-10-18 08:00,2014-12-06 08:00
8,460383,188700,188699,2631,2631,PR_SS,80,,2014-10-26 16:00,2014-10-09 08:00
9,460384,188700,188699,2631,2631,PR_FF,80,,2014-10-27 08:00,2014-12-20 08:00
10,460385,188702,188701,2631,2631,PR_SS,80,,2014-11-04 16:00,2014-10-20 08:00
11,460386,188702,188701,2631,2631,PR_FF,80,,2014-11-05 08:00,2014-12-30 08:00
12,460387,188704,188703,2631,2631,PR_SS,80,,2014-11-13 16:00,2014-10-27 08:00
13,460388,188704,188703,2631,2631,PR_FF,80,,2014-11-15 08:00,2015-01-06 08:00
14,460389,188706,188705,2631,2631,PR_SS,80,,2014-11-23 16:00,2014-11-04 08:00
15,460390,188706,188705,2631,2631,PR_FF,80,,2014-11-24 08:00,2015-01-14 08:00
16,460391,188708,188707,2631,2631,PR_SS,80,,2014-12-02 16:00,2014-11-11 08:00
17,460392,188708,188707,2631,2631,PR_FF,80,,2014-12-03 08:00,2015-01-21 08:00
18,460393,188710,188709,2631,2631,PR_SS,80,,2014-12-11 16:00,2014-11-18 08:00
19,460394,188710,188709,2631,2631,PR_FF,80,,2014-12-13 08:00,2015-01-28 08:00
20,460395,188712,188711,2631,2631,PR_SS,80,,2014-12-22 16:00,2014-11-30 08:00
21,460396,188712,188711,2631,2631,PR_FF,80,,2014-12-23 08:00,2015-02-09 08:00
22,460397,188714,188713,2631,2631,PR_SS,80,,2014-12-31 16:00,2014-12-07 08:00
23,460398,188714,188713,2631,2631,PR_FF,80,,2015-01-01 08:00,2015-02-17 08:00
24,460399,188716,188715,2631,2631,PR_SS,80,,2015-01-06 16:00,2014-12-14 08:00
25,460400,188716,188715,2631,2631,PR_FF,80,,2015-01-07 08:00,2015-02-24 08:00
26,460401,188718,188717,2631,2631,PR_SS,80,,2015-01-12 16:00,2014-12-22 08:00
27,460402,188718,188717,2631,2631,PR_FF,80,,2015-01-13 08:00,2015-03-03 08:00
28,460403,188720,188719,2631,2631,PR_SS,80,,2015-01-18 16:00,2014-12-29 08:00
29,460404,188720,188719,2631,2631,PR_FF,80,,2015-01-19 08:00,2015-03-10 08:00
30,460405,188722,188721,2631,2631,PR_SS,80,,2015-01-24 16:00,2015-01-05 08:00
31,460406,188722,188721,2631,2631,PR_FF,80,,2015-01-25 08:00,2015-03-17 08:00
32,460407,188724,188723,2631,2631,PR_SS,80,,2015-01-29 16:00,2015-01-12 08:00
33,460408,188724,188723,2631,2631,PR_FF,80,,2015-01-31 08:00,2015-03-24 08:00
34,460409,188726,188725,2631,2631,PR_SS,80,,2015-02-04 16:00,2015-01-19 08:00
35,460410,188726,188725,2631,2631,PR_FF,80,,2015-02-05 08:00,2015-03-31 08:00
36,460411,188728,188727,2631,2631,PR_SS,80,,2015-02-11 16:00,2015-01-26 08:00
37,460412,188728,188727,2631,2631,PR_FF,80,,2015-02-12 08:00,2015-04-07 08:00
38,460413,188730,188729,2631,2631,PR_SS,80,,2015-02-17 16:00,2015-02-02 08:00
39,460414,188730,188729,2631,2631,PR_FF,80,,2015-02-18 08:00,2015-04-14 08:00
40,460415,188732,188731,2631,2631,PR_SS,80,,2015-02-23 16:00,2015-02-09 08:00
41,460416,188732,188731,2631,2631,PR_FF,80,,2015-02-24 08:00,2015-04-21 08:00
42,460417,188734,188733,2631,2631,PR_SS,80,,2015-03-01 16:00,2015-02-17 08:00
43,460418,188734,188733,2631,2631,PR_FF,80,,2015-03-02 08:00,2015-04-28 08:00
44,460419,188736,188735,2631,2631,PR_SS,80,,2015-03-07 16:00,2015-02-25 08:00
45,460420,188736,188735,2631,2631,PR_FF,80,,2015-03-08 08:00,2015-05-06 08:00
46,460421,188738,188737,2631,2631,PR_SS,80,,2015-03-12 16:00,2015-03-05 08:00
47,460422,188738,188737,2631,2631,PR_FF,80,,2015-03-14 08:00,2015-05-14 08:00
48,460423,188740,188739,2631,2631,PR_SS,80,,2015-03-18 16:00,2015-03-12 08:00
49,460424,188740,188739,2631,2631,PR_FF,80,,2015-03-19 08:00,2015-05-21 08:00
50,460425,188742,188741,2631,2631,PR_SS,80,,2015-03-28 16:00,2015-03-19 08:00
51,460426,188742,188741,2631,2631,PR_FF,80,,2015-03-29 08:00,2015-05-28 08:00
52,460427,188744,188743,2631,2631,PR_SS,80,,2015-04-06 16:00,2015-03-26 08:00
53,460428,188744,188743,2631,2631,PR_FF,80,,2015-04-07 08:00,2015-06-04 08:00
54,460429,188746,188745,2631,2631,PR_SS,80,,2015-04-15 16:00,2015-04-02 08:00
55,460430,188746,188745,2631,2631,PR_FF,80,,2015-04-16 08:00,2015-06-11 08:00
56,460431,188748,188747,2631,2631,PR_SS,80,,2015-04-25 16:00,2015-04-12 08:00
57,460432,188748,188747,2631,2631,PR_FF,80,,2015-04-26 08:00,2015-06-21 08:00
58,460433,188750,188749,2631,2631,PR_SS,80,,2015-05-04 16:00,2015-04-19 08:00
59,460434,188750,188749,2631,2631,PR_FF,80,,2015-05-05 08:00,2015-06-28 08:00
60,460435,188752,188751,2631,2631,PR_SS,80,,2015-05-13 16:00,2015-04-25 08:00
61,460436,188752,188751,2631,2631,PR_FF,80,,2015-05-14 08:00,2015-07-04 08:00
62,460437,188754,188753,2631,2631,PR_SS,80,,2015-05-23 16:00,2015-04-30 08:00
63,460438,188754,188753,2631,2631,PR_FF,80,,2015-05-24 08:00,2015-07-09 08:00
