,taskrsrc_id,task_id,proj_id,cost_qty_link_flag,role_id,acct_id,rsrc_id,pobs_id,skill_level,pend_complete_pct,remain_qty,pend_remain_qty,target_qty,remain_qty_per_hr,target_lag_drtn_hr_cnt,target_qty_per_hr,act_ot_qty,act_reg_qty,relag_drtn_hr_cnt,ot_factor,cost_per_qty,target_cost,act_reg_cost,act_ot_cost,remain_cost,act_start_date,act_end_date,restart_date,reend_date,target_start_date,target_end_date,rem_late_start_date,rem_late_end_date,rollup_dates_flag,target_crv,remain_crv,actual_crv,ts_pend_act_end_flag,guid,rate_type,act_this_per_cost,act_this_per_qty,curv_id,rsrc_type,cost_per_qty_source_type,create_user,create_date,has_rsrchours,taskrsrc_sum_id
0,258845,188693,2631,Y,,,3218,,,,60,,60,0.375,0,0.375,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2014-10-02 08:00,2014-10-28 16:00,2014-10-02 08:00,2014-10-28 16:00,2014-10-07 08:00,2014-10-29 16:00,Y,,,,N,X+QNdH+5iUWecF1KbhowuA,COST_PER_QTY,0.00,0,,RT_Labor,ST_Rsrc,admin,2014-12-20 13:35,,
1,258846,190444,2631,Y,,,3218,,,,60,,60,0.53571429,0,0.53571429,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2014-10-02 08:00,2014-10-21 16:00,2014-10-02 08:00,2014-10-21 16:00,2014-10-12 08:00,2014-10-27 16:00,Y,,,,N,5pjmopR6IkaO+zeiU+VINg,COST_PER_QTY,0.00,0,,RT_Labor,ST_Rsrc,admin,2014-12-20 13:37,,
2,258847,188691,2631,Y,,,3218,,,,60,,60,0.25,0,0.25,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2014-10-02 08:00,2014-11-09 16:00,2014-10-02 08:00,2014-11-09 16:00,2014-10-12 08:00,2014-11-15 16:00,Y,,,,N,xj/j1hyauk6RKdnk9MAKAg,COST_PER_QTY,0.00,0,,RT_Labor,ST_Rsrc,admin,2014-12-20 13:37,,
3,258848,188695,2631,Y,,,3218,,,,60,,60,0.25,0,0.25,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2014-10-02 08:00,2014-11-09 16:00,2014-10-02 08:00,2014-11-09 16:00,2014-10-12 08:00,2014-11-15 16:00,Y,,,,N,QtQOLqHEOkmHdf10bSy4Rg,COST_PER_QTY,0.00,0,,RT_Labor,ST_Rsrc,admin,2014-12-20 13:37,,
4,258849,188697,2631,Y,,,3218,,,,60,,60,0.25,0,0.25,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2014-10-02 08:00,2014-11-09 16:00,2014-10-02 08:00,2014-11-09 16:00,2014-10-12 08:00,2014-11-15 16:00,Y,,,,N,25ksULCJ40S2046qW6eaPA,COST_PER_QTY,0.00,0,,RT_Labor,ST_Rsrc,admin,2014-12-20 13:37,,
5,258850,188699,2631,Y,,,3218,,,,60,,60,0.25,0,0.25,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2014-10-15 08:00,2014-11-18 16:00,2014-10-15 08:00,2014-11-18 16:00,2014-10-21 08:00,2014-11-24 16:00,Y,,,,N,lo5OAhUTDUKOooNCKKcbUA,COST_PER_QTY,0.00,0,,RT_Labor,ST_Rsrc,admin,2014-12-20 13:37,,
6,258851,188701,2631,Y,,,3218,,,,60,,60,0.25,0,0.25,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2014-10-25 08:00,2014-11-27 16:00,2014-10-25 08:00,2014-11-27 16:00,2014-10-30 08:00,2014-12-03 16:00,Y,,,,N,SxuEGDuriUOJ0LIfJWpChg,COST_PER_QTY,0.00,0,,RT_Labor,ST_Rsrc,admin,2014-12-20 13:37,,
7,258852,188703,2631,Y,,,3218,,,,60,,60,0.25,0,0.25,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2014-11-03 08:00,2014-12-07 16:00,2014-11-03 08:00,2014-12-07 16:00,2014-11-09 08:00,2014-12-13 16:00,Y,,,,N,F4hhPjaZ2E+V5djkv06vEQ,COST_PER_QTY,0.00,0,,RT_Labor,ST_Rsrc,admin,2014-12-20 13:37,,
8,258853,188705,2631,Y,,,3218,,,,60,,60,0.25,0,0.25,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2014-11-12 08:00,2014-12-16 16:00,2014-11-12 08:00,2014-12-16 16:00,2014-11-18 08:00,2014-12-23 16:00,Y,,,,N,TeOa9XaePUOCrrtGwcckoQ,COST_PER_QTY,0.00,0,,RT_Labor,ST_Rsrc,admin,2014-12-20 13:37,,
9,258854,188707,2631,Y,,,3218,,,,60,,60,0.25,0,0.25,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2014-11-22 08:00,2014-12-27 16:00,2014-11-22 08:00,2014-12-27 16:00,2014-11-27 08:00,2015-01-01 16:00,Y,,,,N,87rVL3oclkCjrXcv9fskGg,COST_PER_QTY,0.00,0,,RT_Labor,ST_Rsrc,admin,2014-12-20 13:37,,
10,258855,188709,2631,Y,,,3218,,,,60,,60,0.25,0,0.25,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2014-12-01 08:00,2015-01-05 16:00,2014-12-01 08:00,2015-01-05 16:00,2014-12-07 08:00,2015-01-11 16:00,Y,,,,N,3vujrsRhJkCctqP67cCiLg,COST_PER_QTY,0.00,0,,RT_Labor,ST_Rsrc,admin,2014-12-20 13:37,,
