,wbs_id,proj_id,obs_id,seq_num,est_wt,proj_node_flag,sum_data_flag,status_code,wbs_short_name,wbs_name,phase_id,parent_wbs_id,ev_user_pct,ev_etc_user_value,orig_cost,indep_remain_total_cost,ann_dscnt_rate_pct,dscnt_period_type,indep_remain_work_qty,anticip_start_date,anticip_end_date,ev_compute_type,ev_etc_compute_type,guid,tmpl_guid,plan_open_state
0,22773,5115,565,403,1,Y,N,WS_Closed,4229 update2-6-12&pj,"4229-420, Hilal development project&pj",,10171,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,dYFfnlHOnUKeR5eVklPyvQ,,
1,22774,5115,565,100,1,N,N,WS_Closed,3,Procurement,,22773,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,84BiCGYcEku0EqbUx2oL6g,PGpkZCa8T9C0ccH4WHgz0w,
2,22775,5115,565,1,1,N,N,WS_Closed,7,General activities,,22773,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,N7c+84SWVEirLsN60IRdFw,,
3,22776,5115,565,0,1,N,N,WS_Closed,1,General Milestones,,22773,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,3mBGKXd/k0aJcptcaQEgAg,v7ZikM1oS5ul6ds2bfHN9Q,
4,22777,5115,565,9,1,N,N,WS_Closed,2,Engineering,,22773,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,eAIlPHry6k6BrYZjyadHgA,vMMCD6BXRSymihmqCMUzMQ,
5,22778,5115,565,500,1,N,N,WS_Closed,6,(New WBS),,22773,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,uPBd6l2kQU6REGMEr5hImA,LPkOqkjTaE+yBT0BKHb0jw,
6,22779,5115,565,301,1,N,N,WS_Closed,4,Construction supervision,,22773,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,hUW/kAf72ke6lCQfRX7P8w,jymUS6zgQSqFs/fwKnygfg,
7,22780,5115,565,400,1,N,N,WS_Closed,5,Pre-commissioning & Commissioning,,22773,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,QDIML6faz06EzHPe6VX3Qw,epNFFh+CRIyQOyeE3ZV+8w,
8,22781,5115,565,1201,1,N,N,WS_Closed,19,Safe guard system,,22774,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,8cUAJu86zkGnPNnA24UOzQ,,
9,22782,5115,565,1601,1,N,N,WS_Closed,20,Pressure Vessels,,22774,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,cOyRsvr/gEWnLpKiONtFzw,,
10,22783,5115,565,301,1,N,N,WS_Closed,32,Piping Ball Valves,,22774,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,Wv4DMcGpwEOEiY5jkHMxQw,,
11,22784,5115,565,2208,1,N,N,WS_Closed,25,Kamos ring,,22774,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,YFnexIHSJ0mvCA5DI0fw/A,,
12,22785,5115,565,2205,1,N,N,WS_Closed,26,Anchor flanges,,22774,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,40scxgArNUCai8L/9SfE+Q,,
13,22786,5115,565,1602,1,N,N,WS_Closed,21,Open drain Tanks (Cancelled),,22774,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,N2EFpXthRUOiNT6wCzyQow,,
