,rsrc_rate_id,rsrc_id,max_qty_per_hr,cost_per_qty,start_date,shift_period_id,cost_per_qty2,cost_per_qty3,cost_per_qty4,cost_per_qty5
0,7174,6923,1.25,115.0000,2012-10-31 00:00,,0.0000,0.0000,0.0000,0.0000
1,7175,6965,1.25,15.0000,2012-08-06 00:00,,0.0000,0.0000,0.0000,0.0000
2,7176,6965,1.25,15.0000,2012-10-27 00:00,,0.0000,0.0000,0.0000,0.0000
3,7177,6965,1.25,15.0000,2012-11-01 00:00,,0.0000,0.0000,0.0000,0.0000
4,7178,6965,1.25,15.0000,2012-11-15 00:00,,0.0000,0.0000,0.0000,0.0000
5,7179,6965,1.25,15.0000,2012-12-13 00:00,,0.0000,0.0000,0.0000,0.0000
6,7180,6965,1.25,15.0000,2013-01-03 00:00,,0.0000,0.0000,0.0000,0.0000
7,7181,6964,1.25,29.0000,2012-12-13 00:00,,0.0000,0.0000,0.0000,0.0000
8,7182,6954,1,12426.2700,2004-01-01 00:00,,0.0000,0.0000,0.0000,0.0000
9,7183,6955,1,18639.4000,2004-01-01 00:00,,0.0000,0.0000,0.0000,0.0000
10,7184,6956,1,31065.6700,2004-01-01 00:00,,0.0000,0.0000,0.0000,0.0000
11,7185,6962,1,124569.9100,2004-01-01 00:00,,0.0000,0.0000,0.0000,0.0000
12,7186,6963,1,49827.9600,2004-01-01 00:00,,0.0000,0.0000,0.0000,0.0000
13,7187,6959,1,49827.9600,2004-01-01 00:00,,0.0000,0.0000,0.0000,0.0000
14,7188,6960,1,249139.8200,2004-01-01 00:00,,0.0000,0.0000,0.0000,0.0000
15,7189,6961,1,49827.9600,2004-01-01 00:00,,0.0000,0.0000,0.0000,0.0000
16,7190,6981,1,348795.7400,2004-01-01 00:00,,0.0000,0.0000,0.0000,0.0000
17,7191,6982,1,24913.9800,2004-01-01 00:00,,0.0000,0.0000,0.0000,0.0000
18,7192,6983,1,49827.9600,2004-01-01 00:00,,0.0000,0.0000,0.0000,0.0000
19,7193,6984,1,49827.9600,2004-01-01 00:00,,0.0000,0.0000,0.0000,0.0000
20,7194,6985,1,622849.5400,2004-01-01 00:00,,0.0000,0.0000,0.0000,0.0000
21,7195,6986,1,124569.9100,2004-01-01 00:00,,0.0000,0.0000,0.0000,0.0000
22,7196,6987,1,199311.8500,2004-01-01 00:00,,0.0000,0.0000,0.0000,0.0000
23,7197,6988,1,74741.9500,2004-01-01 00:00,,0.0000,0.0000,0.0000,0.0000
24,7198,6970,1,99655.9300,2004-01-01 00:00,,0.0000,0.0000,0.0000,0.0000
25,7199,6971,1,373709.7300,2004-01-01 00:00,,0.0000,0.0000,0.0000,0.0000
26,7200,6972,1,123249.9300,2004-01-01 00:00,,0.0000,0.0000,0.0000,0.0000
27,7201,6973,1,123249.9300,2004-01-01 00:00,,0.0000,0.0000,0.0000,0.0000
28,7202,6974,1,123249.9300,2004-01-01 00:00,,0.0000,0.0000,0.0000,0.0000
29,7203,6975,1,36974.9800,2004-01-01 00:00,,0.0000,0.0000,0.0000,0.0000
30,7204,6976,1,55462.4700,2004-01-01 00:00,,0.0000,0.0000,0.0000,0.0000
