,task_id,proj_id,wbs_id,clndr_id,phys_complete_pct,rev_fdbk_flag,lock_plan_flag,auto_compute_act_flag,complete_pct_type,task_type,duration_type,status_code,task_code,task_name,rsrc_id,total_float_hr_cnt,free_float_hr_cnt,remain_drtn_hr_cnt,act_work_qty,remain_work_qty,target_work_qty,target_drtn_hr_cnt,target_equip_qty,act_equip_qty,remain_equip_qty,cstr_date,act_start_date,act_end_date,late_start_date,late_end_date,expect_end_date,early_start_date,early_end_date,restart_date,reend_date,target_start_date,target_end_date,rem_late_start_date,rem_late_end_date,cstr_type,priority_type,suspend_date,resume_date,float_path,float_path_order,guid,tmpl_guid,cstr_date2,cstr_type2,driving_path_flag,act_this_per_work_qty,act_this_per_equip_qty,external_early_start_date,external_late_end_date,create_date,update_date,create_user,update_user,location_id
0,101717,4512,26142,6590,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,JF721.320,PO Issued,,272,0,24,0,0,0,24,0,0,0,,,,2012-07-30 15:00,2012-08-02 09:00,,2012-07-01 13:00,2012-07-03 17:00,2012-07-01 13:00,2012-07-03 17:00,2012-07-01 13:00,2012-07-03 17:00,2012-07-30 15:00,2012-08-02 09:00,,PT_Normal,,,,,T/oad8DTBkuyjfZTZt+2IA,zCk7aObfCUGOntxgxjFmMQ,,,N,0,0,,,2013-11-05 11:09,2013-11-05 11:09,admin,admin,
1,101718,4512,26142,6590,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,JF721.321,Ma'aden Site Delievery,,272,0,56,0,0,0,56,0,0,0,,,,2012-08-02 09:00,2012-08-08 10:00,,2012-07-04 07:00,2012-07-10 08:00,2012-07-04 07:00,2012-07-10 08:00,2012-07-04 07:00,2012-07-10 08:00,2012-08-02 09:00,2012-08-08 10:00,,PT_Normal,,,,,0Sgey7t6W0atx+v1l5Jl2g,6oHrZtG370unhirho4VupA,,,N,0,0,,,2013-11-05 11:09,2013-11-05 11:09,admin,admin,
2,101719,4512,26080,6590,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,JF721.322,Approval for Vendor Drawings & SPecifications,,352,0,24,0,0,0,24,0,0,0,,,,2012-09-03 16:00,2012-09-06 10:00,,2012-07-24 14:00,2012-07-27 10:30,2012-07-24 14:00,2012-07-27 10:30,2012-07-24 14:00,2012-07-27 10:30,2012-09-03 16:00,2012-09-06 10:00,,PT_Normal,,,,,QnxD6XdTwUO09jBJRyz1nw,6r11gtJdnUe/59WOKiaHmQ,,,N,0,0,,,2013-11-05 11:09,2013-11-05 11:09,admin,admin,
3,101720,4512,26080,6590,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,JF721.323,PO Issued,,1328,0,216,0,0,0,216,0,0,0,,,,2012-12-22 11:00,2013-01-14 12:00,,2012-07-27 10:30,2012-08-22 14:00,2012-07-27 10:30,2012-08-22 14:00,2012-07-27 10:30,2012-08-22 14:00,2012-12-22 11:00,2013-01-14 12:00,,PT_Normal,,,,,NCA5ArXcL0uBhKyXI2t1XQ,NmLAcJcOhUaoeMu+fvzAow,,,N,0,0,,,2013-11-05 11:09,2013-11-05 11:09,admin,admin,
4,101721,4512,26080,6590,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,JF721.324,CP System Delievered to Ma'aden Site & Installed,6965,272,0,240,0,2250,2250,240,1000,0,1000,,,,2013-05-24 12:30,2013-06-19 10:00,,2013-04-25 08:00,2013-05-21 08:00,2013-04-25 08:00,2013-05-21 08:00,2013-04-25 08:00,2013-05-21 08:00,2013-05-24 12:30,2013-06-19 10:00,,PT_Normal,,,,,uwVfmXb4hEizuB4gC4ryvA,+o+DyVVQ/kCd+4ON0641Rw,,,N,0,0,,,2013-11-05 11:09,2013-11-05 11:09,admin,admin,
5,101722,4512,26080,6590,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,JF721.325,Ma'aden CP Inspection,6964,272,0,24,0,80,80,24,40,0,40,,,,2013-06-19 10:00,2013-06-22 09:00,,2013-05-21 08:00,2013-05-23 12:00,2013-05-21 08:00,2013-05-23 12:00,2013-05-21 08:00,2013-05-23 12:00,2013-06-19 10:00,2013-06-22 09:00,,PT_Normal,,,,,kVe0BI0PZ0OOiyeP1BLRxw,DX4s+DB7hUuHMSWuFd396Q,,,N,0,0,,,2013-11-05 11:09,2013-11-05 11:09,admin,admin,
6,101723,4512,26045,6590,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,JF721.328,Approval For Vendor Drawings & Specifications,,352,0,24,0,0,0,24,0,0,0,,,,2012-09-03 16:00,2012-09-06 10:00,,2012-07-24 14:00,2012-07-27 10:30,2012-07-24 14:00,2012-07-27 10:30,2012-07-24 14:00,2012-07-27 10:30,2012-09-03 16:00,2012-09-06 10:00,,PT_Normal,,,,,XDmFCoe/rUmmw6uqcKigmA,xFeCmUgdS0OLH25pLZzIMQ,,,N,0,0,,,2013-11-05 11:09,2013-11-05 11:09,admin,admin,
7,101724,4512,26045,6590,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,JF721.329,P.O Issued,,1328,0,216,0,0,0,216,0,0,0,,,,2012-12-22 11:00,2013-01-14 12:00,,2012-07-27 10:30,2012-08-22 14:00,2012-07-27 10:30,2012-08-22 14:00,2012-07-27 10:30,2012-08-22 14:00,2012-12-22 11:00,2013-01-14 12:00,,PT_Normal,,,,,199nQXkmpkWWySSCkmbcJg,qnXKJs7SVE2Aq/+ydLIq0g,,,N,0,0,,,2013-11-05 11:09,2013-11-05 11:09,admin,admin,
8,101725,4512,26046,6590,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,JF721.330,Approval for vendor Drawings & Specifcations,,352,0,24,0,0,0,24,0,0,0,,,,2012-09-03 16:00,2012-09-06 10:00,,2012-07-24 14:00,2012-07-27 10:30,2012-07-24 14:00,2012-07-27 10:30,2012-07-24 14:00,2012-07-27 10:30,2012-09-03 16:00,2012-09-06 10:00,,PT_Normal,,,,,zhBl2Q5mZUm6Zh0wvyELhg,cSJ8dgKJP0Ww5ZhDDHiEBQ,,,N,0,0,,,2013-11-05 11:09,2013-11-05 11:09,admin,admin,
9,101726,4512,26046,6590,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,JF721.331,P.O Issued,,1328,0,216,0,0,0,216,0,0,0,,,,2012-12-22 11:00,2013-01-14 12:00,,2012-07-27 10:30,2012-08-22 14:00,2012-07-27 10:30,2012-08-22 14:00,2012-07-27 10:30,2012-08-22 14:00,2012-12-22 11:00,2013-01-14 12:00,,PT_Normal,,,,,DllYCkazDUCFNJjjIsMqtw,oeNA0lF1IUuYn1p65K4tsA,,,N,0,0,,,2013-11-05 11:09,2013-11-05 11:09,admin,admin,
