,wbs_id,proj_id,obs_id,seq_num,est_wt,proj_node_flag,sum_data_flag,status_code,wbs_short_name,wbs_name,phase_id,parent_wbs_id,ev_user_pct,ev_etc_user_value,orig_cost,indep_remain_total_cost,ann_dscnt_rate_pct,dscnt_period_type,indep_remain_work_qty,anticip_start_date,anticip_end_date,ev_compute_type,ev_etc_compute_type,guid,tmpl_guid,plan_open_state
0,26729,7529,565,612,1,Y,N,WS_Open,GAMA-26,NACITA-6TH OF OCTOBER,,10472,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,besIRAJrD0WiIdb+Vo8pvA,,
1,26731,7529,565,4,1,N,N,WS_Open,2,CONSTRUCTION,,26729,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,TCoiBGUUX0C/nuSMz8hqOg,,
2,26732,7529,565,2,1,N,N,WS_Open,3,ENGINEERING,,26729,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,aqDH/L2MB0Sbit7ObV0jkA,,
3,26733,7529,565,1,1,N,N,WS_Open,4,MOBILIZATION,,26729,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,Z0IjJ0XHg0C06YD86ySiPA,,
4,26734,7529,565,0,1,N,N,WS_Open,5,MILESTONES,,26729,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,t5uMXeQWEk26HlJBuFhLcw,,
5,26735,7529,565,2,1,N,N,WS_Open,1,Storage building,,26731,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,kZi87zb93kKuRdP3e7lUUw,,
6,26741,7529,565,0,1,N,N,WS_Open,-,Adminstration Building,,26731,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,Kfj4+2AjWU2cz8BQ2G12LA,8iMCR9whJUyPoixnv2KSjw,
7,26742,7529,565,1,1,N,N,WS_Open,Civil Works,Civil Works,,26741,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,PZse9UAX10OyzYTAjhok8g,9hqN+7MNoUmu2PBaVm0WNQ,
8,26743,7529,565,402,1,N,N,WS_Open,Ground Floor,Basement Floor,,26742,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,i4I+uxzkNUmjveh72z1htw,Q0ImGmFyUEib3/5QAfOKng,
9,26744,7529,565,502,1,N,N,WS_Open,First Floor,Ground Floor,,26742,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,SynPXqtFLUi4pcY2MPvsTw,Ov+TstsOH0qGgBYaZAB5nQ,
