,task_id,proj_id,wbs_id,clndr_id,est_wt,phys_complete_pct,rev_fdbk_flag,lock_plan_flag,auto_compute_act_flag,complete_pct_type,task_type,duration_type,review_type,status_code,task_code,task_name,rsrc_id,total_float_hr_cnt,free_float_hr_cnt,remain_drtn_hr_cnt,act_work_qty,remain_work_qty,target_work_qty,target_drtn_hr_cnt,target_equip_qty,act_equip_qty,remain_equip_qty,cstr_date,act_start_date,act_end_date,late_start_date,late_end_date,expect_end_date,early_start_date,early_end_date,restart_date,reend_date,target_start_date,target_end_date,review_end_date,rem_late_start_date,rem_late_end_date,cstr_type,priority_type,suspend_date,resume_date,float_path,float_path_order,guid,tmpl_guid,cstr_date2,cstr_type2,driving_path_flag,act_this_per_work_qty,act_this_per_equip_qty,external_early_start_date,external_late_end_date,create_date,update_date,create_user,update_user
0,158880,7529,26743,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A-15,Excavation,,8,0,80,0,0,0,80,0,0,0,,,,2012-10-07 08:00,2012-10-16 17:00,,2012-10-06 08:00,2012-10-15 17:00,2012-10-06 08:00,2012-10-15 17:00,2012-10-06 08:00,2012-10-15 17:00,,2012-10-07 08:00,2012-10-16 17:00,,PT_Normal,,,,,sPl7Aqi3lUWOdHydMiD6bw,snTY+sdFOUG8WZ9VV1yffQ,,,Y,0,0,,,2012-09-26 11:27,2012-10-03 16:55,admin,admin
1,158881,7529,26743,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A-20,Soil replacement,,8,0,80,0,0,0,80,0,0,0,,,,2012-10-17 08:00,2012-10-26 17:00,,2012-10-16 08:00,2012-10-25 17:00,2012-10-16 08:00,2012-10-25 17:00,2012-10-16 08:00,2012-10-25 17:00,,2012-10-17 08:00,2012-10-26 17:00,,PT_Normal,,,,,rBiHJ9AIl0mGe+e3lZmiuA,FsSJ8XLmkEqy3WkHcj2LyA,,,Y,0,0,,,2012-09-26 11:27,2012-10-03 16:55,admin,admin
2,158882,7529,26743,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A-25,P.C footings,,8,0,80,0,0,0,80,0,0,0,,,,2012-10-27 08:00,2012-11-05 17:00,,2012-10-26 08:00,2012-11-04 17:00,2012-10-26 08:00,2012-11-04 17:00,2012-10-26 08:00,2012-11-04 17:00,,2012-10-27 08:00,2012-11-05 17:00,,PT_Normal,,,,,x0Yx2bJLxU2cUJ9RlHZzVw,20khFAnU2kOcyi/bvUBj3Q,,,Y,0,0,,,2012-09-26 11:27,2012-10-03 16:55,admin,admin
3,158883,7529,26743,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A-31,R.C footings,,8,0,112,0,0,0,112,0,0,0,,,,2012-11-06 08:00,2012-11-19 17:00,,2012-11-05 08:00,2012-11-18 17:00,2012-11-05 08:00,2012-11-18 17:00,2012-11-05 08:00,2012-11-18 17:00,,2012-11-06 08:00,2012-11-19 17:00,,PT_Normal,,,,,Nr1UYZZKYEuuj+UvFPFYbw,e9l78gajhkmwopuGrYPJzQ,,,Y,0,0,,,2012-09-26 11:27,2012-10-03 16:55,admin,admin
4,158884,7529,26743,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A-40,R.C columns&walls,,8,0,160,0,0,0,160,0,0,0,,,,2012-11-20 08:00,2012-12-09 17:00,,2012-11-19 08:00,2012-12-08 17:00,2012-11-19 08:00,2012-12-08 17:00,2012-11-19 08:00,2012-12-08 17:00,,2012-11-20 08:00,2012-12-09 17:00,,PT_Normal,,,,,NVujfeSoqE2Mg+eQmhlvZw,/5KJmfW7s02gC6RVUBF8Tw,,,Y,0,0,,,2012-09-26 11:27,2012-10-03 16:55,admin,admin
5,158885,7529,26743,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A-48,Bituminous insulation,,8,0,80,0,0,0,80,0,0,0,,,,2012-12-10 08:00,2012-12-19 17:00,,2012-12-09 08:00,2012-12-18 17:00,2012-12-09 08:00,2012-12-18 17:00,2012-12-09 08:00,2012-12-18 17:00,,2012-12-10 08:00,2012-12-19 17:00,,PT_Normal,,,,,/bc2LKxEeECzEyiColegRw,Jr5reIgfj0i1yND3lwzjyA,,,Y,0,0,,,2012-09-26 11:27,2012-10-03 16:55,admin,admin
6,158886,7529,26743,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A-53,Masonry under slab on grade,,8,0,160,0,0,0,160,0,0,0,,,,2012-12-20 08:00,2013-01-08 17:00,,2012-12-19 08:00,2013-01-07 17:00,2012-12-19 08:00,2013-01-07 17:00,2012-12-19 08:00,2013-01-07 17:00,,2012-12-20 08:00,2013-01-08 17:00,,PT_Normal,,,,,Dkq+qdD2ZUaL5xq6Fc30uQ,5fOGAmwIvUqiYg/s2K/DAQ,,,Y,0,0,,,2012-09-26 11:27,2012-10-03 16:55,admin,admin
7,158887,7529,26743,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A-58,Backfilling around foundation,,8,0,56,0,0,0,56,0,0,0,,,,2013-01-09 08:00,2013-01-15 17:00,,2013-01-08 08:00,2013-01-14 17:00,2013-01-08 08:00,2013-01-14 17:00,2013-01-08 08:00,2013-01-14 17:00,,2013-01-09 08:00,2013-01-15 17:00,,PT_Normal,,,,,IkTMIRga3UmOMXoXGdaNPw,TDOI8mtiiUiiiGgmsJOE5A,,,Y,0,0,,,2012-09-26 11:27,2012-10-03 16:55,admin,admin
8,158888,7529,26743,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A-65,Slab on grade,,8,0,56,0,0,0,56,0,0,0,,,,2013-01-16 08:00,2013-01-22 17:00,,2013-01-15 08:00,2013-01-21 17:00,2013-01-15 08:00,2013-01-21 17:00,2013-01-15 08:00,2013-01-21 17:00,,2013-01-16 08:00,2013-01-22 17:00,,PT_Normal,,,,,WyRgu5+dS0aNT115qZZv9g,N+FmR7GyxUqEPfaDHOIj7w,,,Y,0,0,,,2012-09-26 11:27,2012-10-03 16:55,admin,admin
9,158889,7529,26743,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A-70,Basement floor R.C slab,,8,0,200,0,0,0,200,0,0,0,,,,2013-01-23 08:00,2013-02-16 17:00,,2013-01-22 08:00,2013-02-15 17:00,2013-01-22 08:00,2013-02-15 17:00,2013-01-22 08:00,2013-02-15 17:00,,2013-01-23 08:00,2013-02-16 17:00,,PT_Normal,,,,,vyFdUbxUqk2dQXx0TOjtbg,w2uf+7esZkG/eCYDjxp6RA,,,Y,0,0,,,2012-09-26 11:27,2012-10-03 16:55,admin,admin
