,task_id,actv_code_type_id,actv_code_id,proj_id
0,159055,7250,12728,7529
1,159055,7251,12731,7529
2,159055,7252,12735,7529
3,159056,7250,12728,7529
4,159056,7251,12731,7529
5,159056,7252,12735,7529
6,159057,7250,12728,7529
7,159057,7251,12731,7529
8,159057,7252,12735,7529
9,159058,7250,12728,7529
10,159058,7251,12731,7529
11,159058,7252,12735,7529
12,159059,7250,12728,7529
13,159059,7251,12731,7529
14,159059,7252,12735,7529
15,159060,7250,12728,7529
16,159060,7251,12732,7529
17,159060,7252,12735,7529
18,159061,7250,12728,7529
19,159061,7251,12732,7529
20,159061,7252,12735,7529
21,159085,7250,12728,7529
22,159085,7251,12731,7529
23,159085,7252,12735,7529
24,159086,7250,12728,7529
25,159086,7251,12731,7529
26,159086,7252,12735,7529
27,159087,7250,12728,7529
28,159087,7251,12731,7529
29,159087,7252,12735,7529
30,159088,7250,12728,7529
31,159088,7251,12731,7529
32,159088,7252,12735,7529
33,159089,7250,12728,7529
34,159089,7251,12731,7529
35,159089,7252,12735,7529
36,159090,7250,12728,7529
37,159090,7251,12732,7529
38,159090,7252,12735,7529
39,159091,7250,12728,7529
40,159091,7251,12732,7529
41,159091,7252,12735,7529
42,159095,7250,12728,7529
43,159095,7251,12731,7529
44,159095,7252,12735,7529
45,159096,7250,12728,7529
46,159096,7251,12731,7529
47,159096,7252,12735,7529
48,159097,7250,12728,7529
49,159097,7251,12731,7529
50,159097,7252,12735,7529
51,159098,7250,12728,7529
52,159098,7251,12731,7529
53,159098,7252,12735,7529
54,159099,7250,12728,7529
55,159099,7251,12731,7529
56,159099,7252,12735,7529
57,159100,7250,12728,7529
58,159100,7251,12732,7529
59,159100,7252,12735,7529
60,159101,7250,12728,7529
61,159101,7251,12732,7529
62,159101,7252,12735,7529
