,task_pred_id,task_id,pred_task_id,proj_id,pred_proj_id,pred_type,lag_hr_cnt,float_path,aref,arls
0,250555,158888,158887,7529,7529,PR_FS,0,,2013-01-14 17:00,2013-01-16 08:00
1,250556,158881,158880,7529,7529,PR_FS,0,,2012-10-15 17:00,2012-10-17 08:00
2,250557,158883,158882,7529,7529,PR_FS,0,,2012-11-04 17:00,2012-11-06 08:00
3,250558,158882,158881,7529,7529,PR_FS,0,,2012-10-25 17:00,2012-10-27 08:00
4,250559,158889,158888,7529,7529,PR_FS,0,,2013-01-21 17:00,2013-01-23 08:00
5,250560,158894,158893,7529,7529,PR_FS,0,,2013-05-04 17:00,2013-05-06 08:00
6,250561,158890,158889,7529,7529,PR_FS,0,,2013-02-15 17:00,2013-02-17 08:00
7,250562,158893,158892,7529,7529,PR_FS,0,,2013-04-09 17:00,2013-04-11 08:00
8,250563,158885,158884,7529,7529,PR_FS,0,,2012-12-08 17:00,2012-12-10 08:00
9,250564,158884,158883,7529,7529,PR_FS,0,,2012-11-18 17:00,2012-11-20 08:00
10,250565,158891,158890,7529,7529,PR_FS,0,,2013-03-01 17:00,2013-03-03 08:00
11,250566,158892,158891,7529,7529,PR_FS,0,,2013-03-26 17:00,2013-03-28 08:00
12,250567,158895,158894,7529,7529,PR_FS,0,,2013-05-16 17:00,2013-05-18 08:00
13,250568,158886,158885,7529,7529,PR_FS,0,,2012-12-18 17:00,2012-12-20 08:00
14,250569,158887,158886,7529,7529,PR_FS,0,,2013-01-07 17:00,2013-01-09 08:00
15,250587,158909,158897,7529,7529,PR_FS,0,,2013-07-17 17:00,2013-09-11 08:00
16,250596,158915,158895,7529,7529,PR_FS,0,,2013-06-10 17:00,2013-08-05 08:00
17,250597,158916,158891,7529,7529,PR_FS,112,,2013-04-09 17:00,2013-05-05 08:00
18,250598,158917,158916,7529,7529,PR_FS,0,,2013-04-29 17:00,2013-06-08 08:00
19,250602,158923,158922,7529,7529,PR_FF,40,,2013-06-11 08:00,2013-09-26 08:00
20,250603,158920,158919,7529,7529,PR_FF,56,,2013-06-16 08:00,2013-09-24 08:00
21,250605,158923,158919,7529,7529,PR_FS,0,,2013-06-18 17:00,2013-09-06 08:00
