,taskrsrc_id,task_id,proj_id,cost_qty_link_flag,role_id,acct_id,rsrc_id,pobs_id,skill_level,pend_complete_pct,remain_qty,pend_remain_qty,target_qty,remain_qty_per_hr,target_lag_drtn_hr_cnt,target_qty_per_hr,act_ot_qty,act_reg_qty,relag_drtn_hr_cnt,ot_factor,cost_per_qty,target_cost,act_reg_cost,act_ot_cost,remain_cost,act_start_date,act_end_date,restart_date,reend_date,target_start_date,target_end_date,rem_late_start_date,rem_late_end_date,rollup_dates_flag,target_crv,remain_crv,actual_crv,ts_pend_act_end_flag,guid,rate_type,act_this_per_cost,act_this_per_qty,curv_id,rsrc_type,cost_per_qty_source_type,create_user,create_date,has_rsrchours,taskrsrc_sum_id
0,103225,159060,7529,Y,,,2120,,,,80,,80,0.71428571,0,0.71428571,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2012-11-21 08:00,2012-12-04 17:00,2012-11-21 08:00,2012-12-04 17:00,2013-01-15 08:00,2013-01-28 17:00,N,,,,N,7lkH1CAXLUaZpbcD/n0Brw,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-09-27 10:57,,
1,103264,159090,7529,Y,,,2120,,,,80,,80,0.71428571,0,0.71428571,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2012-12-18 08:00,2012-12-31 17:00,2012-12-18 08:00,2012-12-31 17:00,2013-02-04 08:00,2013-02-17 17:00,N,,,,N,7+gVA2Ld9k6oRKQRyTjiIQ,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-09-27 11:15,,
2,103275,159099,7529,Y,,,2109,,,,8,,8,0.04,0,0.04,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2013-01-24 08:00,2013-02-17 17:00,2013-01-24 08:00,2013-02-17 17:00,2013-01-28 08:00,2013-02-21 17:00,N,,,,N,RRgst0VlMEu4ssyh7ayoKQ,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-09-27 11:15,,
3,103277,159100,7529,Y,,,2120,,,,80,,80,0.4,0,0.4,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2013-01-24 08:00,2013-02-17 17:00,2013-01-24 08:00,2013-02-17 17:00,2013-01-28 08:00,2013-02-21 17:00,N,,,,N,arh4R07KkkCvQHR7Az8R/g,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-09-27 11:15,,
4,103748,158880,7529,Y,,,2119,,,,197118,,197118,2463.975,0,2463.975,0,0,0,,1.00,197118.00,0.00,0.00,197118.00,,,2012-10-06 08:00,2012-10-15 17:00,2012-10-06 08:00,2012-10-15 17:00,2012-10-07 08:00,2012-10-16 17:00,Y,,,,N,AXGtjIYMEEWuYUBxAV+Q0Q,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-10-03 14:43,,
5,103749,158881,7529,Y,,,2119,,,,41738,,41738,521.725,0,521.725,0,0,0,,1.00,41738.00,0.00,0.00,41738.00,,,2012-10-16 08:00,2012-10-25 17:00,2012-10-16 08:00,2012-10-25 17:00,2012-10-17 08:00,2012-10-26 17:00,Y,,,,N,jZne/JKKFEuJh423HzsAkg,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-10-03 14:43,,
6,103750,158882,7529,Y,,,2119,,,,45576,,45576,569.7,0,569.7,0,0,0,,1.00,45576.00,0.00,0.00,45576.00,,,2012-10-26 08:00,2012-11-04 17:00,2012-10-26 08:00,2012-11-04 17:00,2012-10-27 08:00,2012-11-05 17:00,Y,,,,N,x83r66oxoE2DicI8ioBKAg,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-10-03 14:43,,
7,103751,158883,7529,Y,,,2119,,,,182635,,182635,1630.66964286,0,1630.66964286,0,0,0,,1.00,182635.00,0.00,0.00,182635.00,,,2012-11-05 08:00,2012-11-18 17:00,2012-11-05 08:00,2012-11-18 17:00,2012-11-06 08:00,2012-11-19 17:00,Y,,,,N,v9A8p11P5UCS7G/fK0w9DQ,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-10-03 14:43,,
8,103752,158884,7529,Y,,,2119,,,,143664,,143664,897.9,0,897.9,0,0,0,,1.00,143664.00,0.00,0.00,143664.00,,,2012-11-19 08:00,2012-12-08 17:00,2012-11-19 08:00,2012-12-08 17:00,2012-11-20 08:00,2012-12-09 17:00,Y,,,,N,Mdq0JBLTTkmgbV7qvAV4vQ,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-10-03 14:43,,
9,103753,158885,7529,Y,,,2119,,,,11800,,11800,147.5,0,147.5,0,0,0,,1.00,11800.00,0.00,0.00,11800.00,,,2012-12-09 08:00,2012-12-18 17:00,2012-12-09 08:00,2012-12-18 17:00,2012-12-10 08:00,2012-12-19 17:00,Y,,,,N,f5wrrGcPYU6uNfHgk1bM8w,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-10-03 14:43,,
10,103754,158886,7529,Y,,,2119,,,,0,,0,0,0,0,0,0,0,,1.00,0.00,0.00,0.00,0.00,,,2012-12-19 08:00,2013-01-07 17:00,2012-12-19 08:00,2013-01-07 17:00,2012-12-20 08:00,2013-01-08 17:00,Y,,,,N,S1/KztrfZ0qRVwPPPS3i2Q,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-10-03 14:43,,
