,udf_type_id,fk_id,proj_id,udf_date,udf_number,udf_text,udf_code_id
0,75,159055,7529,,,PET-C110,
1,75,159056,7529,,,PET-C200,
2,75,159057,7529,,,PET-C220,
3,75,159058,7529,,,PET-C240,
4,75,159059,7529,,,PET-C260,
5,75,159060,7529,,,PET-C270,
6,75,159061,7529,,,PET-C280,
7,75,159085,7529,,,PET-C110,
8,75,159086,7529,,,PET-C200,
9,75,159087,7529,,,PET-C220,
10,75,159088,7529,,,PET-C240,
11,75,159089,7529,,,PET-C260,
12,75,159090,7529,,,PET-C270,
13,75,159091,7529,,,PET-C280,
14,75,159095,7529,,,PET-C110,
15,75,159096,7529,,,PET-C200,
16,75,159097,7529,,,PET-C220,
17,75,159098,7529,,,PET-C240,
18,75,159099,7529,,,PET-C260,
19,75,159100,7529,,,PET-C270,
20,75,159101,7529,,,PET-C280,"
%E"
