,task_id,proj_id,wbs_id,clndr_id,est_wt,phys_complete_pct,rev_fdbk_flag,lock_plan_flag,auto_compute_act_flag,complete_pct_type,task_type,duration_type,review_type,status_code,task_code,task_name,rsrc_id,total_float_hr_cnt,free_float_hr_cnt,remain_drtn_hr_cnt,act_work_qty,remain_work_qty,target_work_qty,target_drtn_hr_cnt,target_equip_qty,act_equip_qty,remain_equip_qty,cstr_date,act_start_date,act_end_date,late_start_date,late_end_date,expect_end_date,early_start_date,early_end_date,restart_date,reend_date,target_start_date,target_end_date,review_end_date,rem_late_start_date,rem_late_end_date,cstr_type,priority_type,suspend_date,resume_date,float_path,float_path_order,guid,tmpl_guid,cstr_date2,cstr_type2,driving_path_flag,act_this_per_work_qty,act_this_per_equip_qty,external_early_start_date,external_late_end_date,create_date,update_date,create_user,update_user
0,117734,3208,17763,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V-1-60,Backfilling under slab on grade,,5774.4,0,32,0,0,0,32,0,0,0,,,,2014-06-17 08:00,2014-06-20 17:00,,2012-06-25 09:36,2012-06-29 09:36,2012-06-25 09:36,2012-06-29 09:36,2012-06-25 09:36,2012-06-29 09:36,,2014-06-17 08:00,2014-06-20 17:00,,PT_Normal,,,,,vxfIs/uEo0eUljH8OI1mWA,P+laH7BehEKLWy0RRQUK/A,,,N,0,0,,,2012-04-18 10:06,2012-04-18 17:22,admin,admin
1,117735,3208,17762,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V-1-10,P.c footing,,5774.4,0,40,0,0,0,40,0,0,0,,,,2014-05-15 08:00,2014-05-19 17:00,,2012-05-23 09:36,2012-05-28 09:36,2012-05-23 09:36,2012-05-28 09:36,2012-05-23 09:36,2012-05-28 09:36,,2014-05-15 08:00,2014-05-19 17:00,,PT_Normal,,,,,EslaiURN2UC8O/cGYFhaEA,rWhBAZkh+UeQbamarZIS4w,,,N,0,0,,,2012-04-18 10:06,2012-04-18 17:22,admin,admin
2,117736,3208,17762,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V-1-20,R.c concrete foundations,3926,5774.4,0,96,0,400,400,96,0,0,0,,,,2014-05-20 08:00,2014-05-31 17:00,,2012-05-28 09:36,2012-06-09 09:36,2012-05-28 09:36,2012-06-09 09:36,2012-05-28 09:36,2012-06-09 09:36,,2014-05-20 08:00,2014-05-31 17:00,,PT_Normal,,,,,I1HJ+tEbiEa2m+wZsMVwzQ,fVuZKCCEqUqoIXD0vyQdjg,,,N,0,0,,,2012-04-18 10:06,2012-05-06 14:31,admin,admin
3,117737,3208,17764,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V-1-30,Ground floor columns,,5774.4,0,64,0,200,200,64,0,0,0,,,,2014-06-01 08:00,2014-06-08 17:00,,2012-06-09 09:36,2012-06-17 09:36,2012-06-09 09:36,2012-06-17 09:36,2012-06-09 09:36,2012-06-17 09:36,,2014-06-01 08:00,2014-06-08 17:00,,PT_Normal,,,,,8LrREFLuoUqNMxgGd2lXjA,5yj8BGn/C0W6NJuhsTVhXg,,,N,0,0,,,2012-04-18 10:06,2012-05-06 14:10,admin,admin
4,117738,3208,17764,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V-1-70,Ground floor slab&beams&staircase,,5774.4,0,120,0,1600,1600,120,0,0,0,,,,2014-06-21 08:00,2014-07-05 17:00,,2012-06-29 09:36,2012-07-14 09:36,2012-06-29 09:36,2012-07-14 09:36,2012-06-29 09:36,2012-07-14 09:36,,2014-06-21 08:00,2014-07-05 17:00,,PT_Normal,,,,,Mnxa52kcOk2vNkemj/80bw,K8QiAQZJ8E2G/KYlcddHdA,,,N,0,0,,,2012-04-18 10:06,2012-05-06 14:22,admin,admin
5,117739,3208,17764,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V-1-80,First floor columns,3926,5830.4,56,64,0,200,200,64,0,0,0,,,,2014-07-13 08:00,2014-07-20 17:00,,2012-07-14 09:36,2012-07-22 09:36,2012-07-14 09:36,2012-07-22 09:36,2012-07-14 09:36,2012-07-22 09:36,,2014-07-13 08:00,2014-07-20 17:00,,PT_Normal,,,,,YxVmYBkHAU+VKVvIFPRXbg,eGnUQOIpGkKxFd9hCQ2QWw,,,N,0,0,,,2012-04-18 10:06,2012-05-06 14:10,admin,admin
6,117740,3208,17764,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V-1-90,First floor slab&beams&staircase,3926,5774.4,0,120,0,1600,1600,120,0,0,0,,,,2014-07-21 08:00,2014-08-04 17:00,,2012-07-29 09:36,2012-08-13 09:36,2012-07-29 09:36,2012-08-13 09:36,2012-07-29 09:36,2012-08-13 09:36,,2014-07-21 08:00,2014-08-04 17:00,,PT_Normal,,,,,tRPWy7I4CkqC4IxttsgyWQ,qchE/fPDA0mMKwCLVYROIg,,,N,0,0,,,2012-04-18 10:06,2012-05-06 14:22,admin,admin
7,117741,3208,17764,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V-1-100,Roof columns,3926,6142.4,0,40,0,132,132,40,0,0,0,,,,2014-09-20 08:00,2014-09-24 17:00,,2012-08-13 09:36,2012-08-18 09:36,2012-08-13 09:36,2012-08-18 09:36,2012-08-13 09:36,2012-08-18 09:36,,2014-09-20 08:00,2014-09-24 17:00,,PT_Normal,,,,,wIXY+qRKJk2Nf92crcnKRw,+QYvubRQAkGs6mSahC7qWg,,,N,0,0,,,2012-04-18 10:06,2012-05-06 14:10,admin,admin
8,117742,3208,17764,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V-1-120,Roof slab,3926,6142.4,0,40,0,400,400,40,0,0,0,,,,2014-09-25 08:00,2014-09-29 17:00,,2012-08-18 09:36,2012-08-23 09:36,2012-08-18 09:36,2012-08-23 09:36,2012-08-18 09:36,2012-08-23 09:36,,2014-09-25 08:00,2014-09-29 17:00,,PT_Normal,,,,,bgzOQTdy/Ee+POlMyn26+Q,3WqknFkuD0eWsVgJp9+EuA,,,N,0,0,,,2012-04-18 10:06,2012-05-06 14:22,admin,admin
9,117743,3208,17765,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V-1-40,Masonry under slab on grade,3927,5774.4,0,32,0,400,400,32,0,0,0,,,,2014-06-09 08:00,2014-06-12 17:00,,2012-06-17 09:36,2012-06-21 09:36,2012-06-17 09:36,2012-06-21 09:36,2012-06-17 09:36,2012-06-21 09:36,,2014-06-09 08:00,2014-06-12 17:00,,PT_Normal,,,,,+/6dTavMykOPQLiupQsKsg,kdLCU35NK06AA/H0CJ4kcQ,,,N,0,0,,,2012-04-18 10:06,2012-05-06 13:28,admin,admin
10,117744,3208,17766,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V-1-50,Footings&masonry insulation,,5774.4,0,32,0,0,0,32,0,0,0,,,,2014-06-13 08:00,2014-06-16 17:00,,2012-06-21 09:36,2012-06-25 09:36,2012-06-21 09:36,2012-06-25 09:36,2012-06-21 09:36,2012-06-25 09:36,,2014-06-13 08:00,2014-06-16 17:00,,PT_Normal,,,,,+6BXy257y0aarqHXCEEWBA,EV8tQZqf6ESVKFIk0OiwsA,,,N,0,0,,,2012-04-18 10:06,2012-04-18 17:22,admin,admin
11,117745,3208,17765,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V-1-140,Masonry works,3927,5774.4,0,160,0,1700,1700,160,0,0,0,,,,2014-08-20 08:00,2014-09-08 17:00,,2012-08-28 09:36,2012-09-17 09:36,2012-08-28 09:36,2012-09-17 09:36,2012-08-28 09:36,2012-09-17 09:36,,2014-08-20 08:00,2014-09-08 17:00,,PT_Normal,,,,,PFJGWBEJoEG6kiQWLdtFDA,CJq6zTuHLkWrIYXM74TVbA,,,N,0,0,,,2012-04-18 10:06,2012-05-06 13:30,admin,admin
12,117746,3208,17767,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V-1-180,External plaster works,,5774.4,0,168,0,400,400,168,0,0,0,,,,2014-09-09 08:00,2014-09-29 17:00,,2012-09-17 09:36,2012-10-08 09:36,2012-09-17 09:36,2012-10-08 09:36,2012-09-17 09:36,2012-10-08 09:36,,2014-09-09 08:00,2014-09-29 17:00,,PT_Normal,,,,,Ib3npoQvdEykEuQfjcFg0A,vJvp6gwuTEGwkZOdmZmDww,,,N,0,0,,,2012-04-18 10:06,2012-05-06 14:43,admin,admin
13,117747,3208,17768,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V-1-200,Flooring works(garnite& marbles),,5774.4,53.4,80,0,0,0,80,0,0,0,,,,2014-09-30 08:00,2014-10-09 17:00,,2012-10-08 09:36,2012-10-18 09:36,2012-10-08 09:36,2012-10-18 09:36,2012-10-08 09:36,2012-10-18 09:36,,2014-09-30 08:00,2014-10-09 17:00,,PT_Normal,,,,,I9kABvTxdUWVATvltCzRmg,lYHio5sIrU65FimKnSL+MA,,,N,0,0,,,2012-04-18 10:06,2012-04-18 17:22,admin,admin
14,117748,3208,17769,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V-1-220,External painting,4332,5721,0,80,0,400,400,80,0,0,0,,,,2014-10-10 08:00,2014-10-19 17:00,,2012-10-24 16:00,2012-11-03 16:00,2012-10-24 16:00,2012-11-03 16:00,2012-10-24 16:00,2012-11-03 16:00,,2014-10-10 08:00,2014-10-19 17:00,,PT_Normal,,,,,i9wCcXUCtk6dljpt6uMA2Q,Bzy4KMKJRkKejLAEfUGmcA,,,N,0,0,,,2012-04-18 10:06,2012-05-06 14:44,admin,admin
15,117749,3208,17766,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V-1-160,Thermal insulation,,6142.4,0,56,0,0,0,56,0,0,0,,,,2014-10-14 08:00,2014-10-20 17:00,,2012-09-06 09:36,2012-09-13 09:36,2012-09-06 09:36,2012-09-13 09:36,2012-09-06 09:36,2012-09-13 09:36,,2014-10-14 08:00,2014-10-20 17:00,,PT_Normal,,,,,/gKnRj+6fkuOtqSu5HojQw,i4Llo7ZmyE2/VD2qHcehjQ,,,N,0,0,,,2012-04-18 10:06,2012-04-18 17:22,admin,admin
