,wbs_id,proj_id,obs_id,seq_num,est_wt,proj_node_flag,sum_data_flag,status_code,wbs_short_name,wbs_name,phase_id,parent_wbs_id,ev_user_pct,ev_etc_user_value,orig_cost,indep_remain_total_cost,ann_dscnt_rate_pct,dscnt_period_type,indep_remain_work_qty,anticip_start_date,anticip_end_date,ev_compute_type,ev_etc_compute_type,guid,tmpl_guid,plan_open_state
0,16789,3004,565,708,1,Y,N,WS_Open,GAMA-17,ORIANA VILLAS PHASE-3,,10472,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,aXT09BW9jE2wMowmTia3Iw,,
1,16790,3004,565,2,1,N,N,WS_Open,1,EARTH WORKS,,16804,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,tMiArMDYKUa0TbfjLtjNuw,,
2,16791,3004,565,1,1,N,N,WS_Open,2,FOUNDATIONS,,16804,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,m/z4KKue80WR1X7Ay8qZ0A,,
3,16792,3004,565,3,1,N,N,WS_Open,3,SKELETON WORKS,,16804,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,QvfRGLuMZ0+oVGRG808fiA,,
4,16793,3004,565,4,1,N,N,WS_Open,9,MASONRY WORKS,,16804,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,hcsC07VrxEWljeeZWjEqzg,,
5,16794,3004,565,6,1,N,N,WS_Open,4,PLASTER WORKS,,16804,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,rHPkCfaQl0asNPMidrDv/w,,
6,16795,3004,565,6,1,N,N,WS_Open,5,FLOORING WORKS,,16804,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,Yzsdd4KPUUSNVCKVddPzQg,,
7,16796,3004,565,7,1,N,N,WS_Open,6,PAINTING WORKS,,16804,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,XUqdFQyINEW6JqDrV1et8Q,,
8,16797,3004,565,8,1,N,N,WS_Open,7,DOORS&WINDOWS,,16804,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,y2bPPc26xkWYEB+ahwiWbg,,
9,16798,3004,565,9,1,N,N,WS_Open,8,EXTERNAL WORKS,,16804,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,0/QVCvlIY02qdLTyvwXhKg,,
10,16799,3004,565,5,1,N,N,WS_Open,10,INSULATION WORKS,,16804,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,E+dXcTDvH0ecZct+4xdjBw,,
11,16800,3004,565,2,1,N,N,WS_Open,11,MOBILIZATION & DEMOBILIZATION,,16789,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,yc0fHb9cGEe5w75TUVXnAg,,
12,16801,3004,565,0,1,N,N,WS_Open,14,MILESTONES,,16789,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,LyNwhO3XOU2gcsegbqj9XQ,,
13,16802,3004,565,3,1,N,N,WS_Open,13,ENGINEERING,,16789,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,H2/DqSWwWEedmQdL1JBhLA,,
14,16804,3004,565,0,1,N,N,WS_Open,12,GROUP-1,,17048,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,whDiV6JcUUifW2lNwOjpbQ,,
15,17048,3004,565,5,1,N,N,WS_Open,1,CONSTRUCTION,,16789,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,r0sB65jG20GO4F6yel4ECA,,
16,17060,3004,565,1,1,N,N,WS_Open,1,GROUP-2,,17048,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,O5Bqh5WJgE+Vl7DcxL6oiw,whDiV6JcUUifW2lNwOjpbQ,
17,17061,3004,565,1,1,N,N,WS_Open,2,FOUNDATIONS,,17060,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,FWD96uHr3E+Y48WmV9RsqA,m/z4KKue80WR1X7Ay8qZ0A,
18,17062,3004,565,2,1,N,N,WS_Open,1,EARTH WORKS,,17060,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,FbcaEexY0kGz/GMicvCHnA,tMiArMDYKUa0TbfjLtjNuw,
19,17063,3004,565,3,1,N,N,WS_Open,3,SKELETON WORKS,,17060,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,RxqVr61n7EaqPdR/nj7tzg,QvfRGLuMZ0+oVGRG808fiA,
20,17064,3004,565,4,1,N,N,WS_Open,9,MASONRY WORKS,,17060,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,r+AB0X25kUypMFCzF4hppg,hcsC07VrxEWljeeZWjEqzg,
21,17065,3004,565,5,1,N,N,WS_Open,10,INSULATION WORKS,,17060,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,r0F583pZCk6519mnGP6ayA,E+dXcTDvH0ecZct+4xdjBw,
22,17066,3004,565,6,1,N,N,WS_Open,4,PLASTER WORKS,,17060,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,s6ElJOA1skKCpm8HRa13fA,rHPkCfaQl0asNPMidrDv/w,
23,17067,3004,565,6,1,N,N,WS_Open,5,FLOORING WORKS,,17060,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,Jg4BCyXUj0WZ2aUwxFsvPw,Yzsdd4KPUUSNVCKVddPzQg,
24,17068,3004,565,7,1,N,N,WS_Open,6,PAINTING WORKS,,17060,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,1fl/i3N9g0+3/yGZ2Cj4eQ,XUqdFQyINEW6JqDrV1et8Q,
25,17069,3004,565,8,1,N,N,WS_Open,7,DOORS&WINDOWS,,17060,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,JgJSoCvCvkWhUTuLdJEh4w,y2bPPc26xkWYEB+ahwiWbg,
26,17070,3004,565,9,1,N,N,WS_Open,8,EXTERNAL WORKS,,17060,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,W9ZVceRxA0evxAHnCOmkDg,0/QVCvlIY02qdLTyvwXhKg,
27,17071,3004,565,2,1,N,N,WS_Open,2,GROUP-3,,17048,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,CJV2sOfOXkqe5CXVesfy7g,O5Bqh5WJgE+Vl7DcxL6oiw,
28,17072,3004,565,1,1,N,N,WS_Open,2,FOUNDATIONS,,17071,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,TNaOBnF+wU2gWJfJRegrjw,FWD96uHr3E+Y48WmV9RsqA,
29,17073,3004,565,2,1,N,N,WS_Open,1,EARTH WORKS,,17071,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,heyS+szYXUKIz85Z2IMLRA,FbcaEexY0kGz/GMicvCHnA,
30,17074,3004,565,3,1,N,N,WS_Open,3,SKELETON WORKS,,17071,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,88Sce/S3gUOu63xuZfJhaQ,RxqVr61n7EaqPdR/nj7tzg,
31,17075,3004,565,4,1,N,N,WS_Open,9,MASONRY WORKS,,17071,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,qLxwNH3pnUCqo9phbJV4Lg,r+AB0X25kUypMFCzF4hppg,
32,17076,3004,565,5,1,N,N,WS_Open,10,INSULATION WORKS,,17071,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,1AjWVTEC60CviobZOUZaDw,r0F583pZCk6519mnGP6ayA,
33,17077,3004,565,6,1,N,N,WS_Open,4,PLASTER WORKS,,17071,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,VltlpnARt06w5Yvdsd63Fw,s6ElJOA1skKCpm8HRa13fA,
34,17078,3004,565,6,1,N,N,WS_Open,5,FLOORING WORKS,,17071,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,6HPKq+Mf30qfiLCplTGKvQ,Jg4BCyXUj0WZ2aUwxFsvPw,
35,17079,3004,565,7,1,N,N,WS_Open,6,PAINTING WORKS,,17071,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,uAAynK48OkaDoK84fqAwdA,1fl/i3N9g0+3/yGZ2Cj4eQ,
36,17080,3004,565,8,1,N,N,WS_Open,7,DOORS&WINDOWS,,17071,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,69Wx/yOI0kGmVWtIfCgj0A,JgJSoCvCvkWhUTuLdJEh4w,
37,17081,3004,565,9,1,N,N,WS_Open,8,EXTERNAL WORKS,,17071,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,vRGz8RkJnU2rIffR/ZnRQw,W9ZVceRxA0evxAHnCOmkDg,
38,17082,3004,565,3,1,N,N,WS_Open,3,GROUP-4,,17048,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,yk8PJbNKM0CPH//THlNW2A,CJV2sOfOXkqe5CXVesfy7g,
39,17083,3004,565,1,1,N,N,WS_Open,2,FOUNDATIONS,,17082,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,136xTBChO0ObG9mf+AHs/g,TNaOBnF+wU2gWJfJRegrjw,
40,17084,3004,565,2,1,N,N,WS_Open,1,EARTH WORKS,,17082,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,6DLfLaBeNkiXgqQk75fvCA,heyS+szYXUKIz85Z2IMLRA,
41,17085,3004,565,3,1,N,N,WS_Open,3,SKELETON WORKS,,17082,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,YHqq6Hlx/0OxVdv0up/Rvw,88Sce/S3gUOu63xuZfJhaQ,
42,17086,3004,565,4,1,N,N,WS_Open,9,MASONRY WORKS,,17082,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,XzCrBiqpy0SNZ+M25CcERg,qLxwNH3pnUCqo9phbJV4Lg,
43,17087,3004,565,5,1,N,N,WS_Open,10,INSULATION WORKS,,17082,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,GZsXXFc3FUqFneqqI7gaDA,1AjWVTEC60CviobZOUZaDw,
44,17088,3004,565,6,1,N,N,WS_Open,4,PLASTER WORKS,,17082,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,bwWAHi8a6EKL600b5lDwZQ,VltlpnARt06w5Yvdsd63Fw,
45,17089,3004,565,6,1,N,N,WS_Open,5,FLOORING WORKS,,17082,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,y7vHVYrof02Ocb4NzO8RpA,6HPKq+Mf30qfiLCplTGKvQ,
