,task_id,proj_id,wbs_id,clndr_id,est_wt,phys_complete_pct,rev_fdbk_flag,lock_plan_flag,auto_compute_act_flag,complete_pct_type,task_type,duration_type,review_type,status_code,task_code,task_name,rsrc_id,total_float_hr_cnt,free_float_hr_cnt,remain_drtn_hr_cnt,act_work_qty,remain_work_qty,target_work_qty,target_drtn_hr_cnt,target_equip_qty,act_equip_qty,remain_equip_qty,cstr_date,act_start_date,act_end_date,late_start_date,late_end_date,expect_end_date,early_start_date,early_end_date,restart_date,reend_date,target_start_date,target_end_date,review_end_date,rem_late_start_date,rem_late_end_date,cstr_type,priority_type,suspend_date,resume_date,float_path,float_path_order,guid,tmpl_guid,cstr_date2,cstr_type2,driving_path_flag,act_this_per_work_qty,act_this_per_equip_qty,external_early_start_date,external_late_end_date,create_date,update_date,create_user,update_user
0,113287,3004,16790,3695,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V1-60,Backfilling under slab on grade,,0,0,32,0,0,0,32,0,0,0,,,,2012-06-26 08:00,2012-06-30 16:00,,2012-06-26 08:00,2012-06-30 16:00,2012-06-26 08:00,2012-06-30 16:00,2012-06-26 08:00,2012-06-30 16:00,,2012-06-26 08:00,2012-06-30 16:00,,PT_Normal,,,,,P+laH7BehEKLWy0RRQUK/A,,,,Y,0,0,,,2012-04-08 14:33,2012-04-12 15:30,NotPrmUser,admin
1,113288,3004,16791,3695,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V1-10,P.c footing,,0,0,40,0,0,0,40,0,0,0,,,,2012-05-19 08:00,2012-05-23 16:00,,2012-05-19 08:00,2012-05-23 16:00,2012-05-19 08:00,2012-05-23 16:00,2012-05-19 08:00,2012-05-23 16:00,,2012-05-19 08:00,2012-05-23 16:00,,PT_Normal,,,,,rWhBAZkh+UeQbamarZIS4w,,,,Y,0,0,,,2012-04-08 14:33,2012-04-12 15:30,NotPrmUser,admin
2,113289,3004,16791,3695,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V1-20,R.c concrete foundations,,0,0,96,0,0,0,96,0,0,0,,,,2012-05-24 08:00,2012-06-06 16:00,,2012-05-24 08:00,2012-06-06 16:00,2012-05-24 08:00,2012-06-06 16:00,2012-05-24 08:00,2012-06-06 16:00,,2012-05-24 08:00,2012-06-06 16:00,,PT_Normal,,,,,fVuZKCCEqUqoIXD0vyQdjg,,,,Y,0,0,,,2012-04-08 14:33,2012-04-12 15:30,NotPrmUser,admin
3,113292,3004,16792,3695,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V1-30,Ground floor columns,,0,0,64,0,0,0,64,0,0,0,,,,2012-06-07 08:00,2012-06-16 16:00,,2012-06-07 08:00,2012-06-16 16:00,2012-06-07 08:00,2012-06-16 16:00,2012-06-07 08:00,2012-06-16 16:00,,2012-06-07 08:00,2012-06-16 16:00,,PT_Normal,,,,,5yj8BGn/C0W6NJuhsTVhXg,,,,Y,0,0,,,2012-04-08 14:39,2012-04-12 15:30,NotPrmUser,admin
4,113293,3004,16792,3695,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V1-70,Ground floor slab&beams&staircase,,0,0,120,0,0,0,120,0,0,0,,,,2012-07-01 08:00,2012-07-17 16:00,,2012-07-01 08:00,2012-07-17 16:00,2012-07-01 08:00,2012-07-17 16:00,2012-07-01 08:00,2012-07-17 16:00,,2012-07-01 08:00,2012-07-17 16:00,,PT_Normal,,,,,K8QiAQZJ8E2G/KYlcddHdA,,,,Y,0,0,,,2012-04-08 14:39,2012-04-12 15:30,NotPrmUser,admin
5,113294,3004,16792,3695,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V1-80,First floor columns,,56,0,64,0,0,0,64,0,0,0,,,,2012-07-26 08:00,2012-08-04 16:00,,2012-07-18 08:00,2012-07-26 16:00,2012-07-18 08:00,2012-07-26 16:00,2012-07-18 08:00,2012-07-26 16:00,,2012-07-26 08:00,2012-08-04 16:00,,PT_Normal,,,,,eGnUQOIpGkKxFd9hCQ2QWw,,,,N,0,0,,,2012-04-08 14:39,2012-04-12 15:30,NotPrmUser,admin
6,113295,3004,16792,3695,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V1-90,First floor slab&beams&staircase,,0,0,120,0,0,0,120,0,0,0,,,,2012-08-05 08:00,2012-08-28 16:00,,2012-08-05 08:00,2012-08-28 16:00,2012-08-05 08:00,2012-08-28 16:00,2012-08-05 08:00,2012-08-28 16:00,,2012-08-05 08:00,2012-08-28 16:00,,PT_Normal,,,,,qchE/fPDA0mMKwCLVYROIg,,,,Y,0,0,,,2012-04-08 14:40,2012-04-12 15:31,NotPrmUser,admin
7,113296,3004,16792,3695,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V1-100,Roof columns,,4840,0,40,0,0,0,40,0,0,0,,,,2014-08-30 08:00,2014-09-03 16:00,,2012-08-29 08:00,2012-09-03 16:00,2012-08-29 08:00,2012-09-03 16:00,2012-08-29 08:00,2012-09-03 16:00,,2014-08-30 08:00,2014-09-03 16:00,,PT_Normal,,,,,+QYvubRQAkGs6mSahC7qWg,,,,N,0,0,,,2012-04-08 14:40,2012-04-12 15:33,NotPrmUser,admin
8,113297,3004,16792,3695,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V1-120,Roof slab,,4840,0,40,0,0,0,40,0,0,0,,,,2014-09-04 08:00,2014-09-09 16:00,,2012-09-04 08:00,2012-09-09 16:00,2012-09-04 08:00,2012-09-09 16:00,2012-09-04 08:00,2012-09-09 16:00,,2014-09-04 08:00,2014-09-09 16:00,,PT_Normal,,,,,3WqknFkuD0eWsVgJp9+EuA,,,,N,0,0,,,2012-04-08 14:40,2012-04-12 15:33,NotPrmUser,admin
9,113299,3004,16793,3695,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V1-40,Masonry under slab on grade,,0,0,32,0,0,0,32,0,0,0,,,,2012-06-17 08:00,2012-06-20 16:00,,2012-06-17 08:00,2012-06-20 16:00,2012-06-17 08:00,2012-06-20 16:00,2012-06-17 08:00,2012-06-20 16:00,,2012-06-17 08:00,2012-06-20 16:00,,PT_Normal,,,,,kdLCU35NK06AA/H0CJ4kcQ,,,,Y,0,0,,,2012-04-08 14:42,2012-04-12 15:30,NotPrmUser,admin
10,113301,3004,16799,3695,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V1-50,Footings&masonry insulation,,0,0,32,0,0,0,32,0,0,0,,,,2012-06-21 08:00,2012-06-25 16:00,,2012-06-21 08:00,2012-06-25 16:00,2012-06-21 08:00,2012-06-25 16:00,2012-06-21 08:00,2012-06-25 16:00,,2012-06-21 08:00,2012-06-25 16:00,,PT_Normal,,,,,EV8tQZqf6ESVKFIk0OiwsA,,,,Y,0,0,,,2012-04-08 14:45,2012-04-12 15:30,NotPrmUser,admin
11,113303,3004,16800,3695,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1200,Mobilization,,0,0,240,0,0,0,240,0,0,0,,,,2012-05-01 08:00,2012-06-04 16:00,,2012-05-01 08:00,2012-06-04 16:00,2012-05-01 08:00,2012-06-04 16:00,2012-05-01 08:00,2012-06-04 16:00,,2012-05-01 08:00,2012-06-04 16:00,,PT_Normal,,,,,9g1sE2VB1U6pIuVC6r00HQ,,,,Y,0,0,,,2012-04-08 15:06,2012-04-12 15:30,NotPrmUser,admin
12,113304,3004,16800,3695,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1210,Demobilization,,5904,5904,24,0,0,0,24,0,0,0,,,,2014-10-11 08:00,2014-10-13 16:00,,2012-05-01 08:00,2012-05-03 16:00,2012-05-01 08:00,2012-05-03 16:00,2012-05-01 08:00,2012-05-03 16:00,,2014-10-11 08:00,2014-10-13 16:00,,PT_Normal,,,,,6UtKfu3ZSky5fTxS8brGMA,,,,N,0,0,,,2012-04-08 15:06,2012-04-12 15:33,NotPrmUser,admin
13,114190,3004,16793,3695,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V1-140,Masonry works,,4464,0,160,0,0,0,160,0,0,0,,,,2014-07-23 08:00,2014-08-14 16:00,,2012-09-16 08:00,2012-10-08 16:00,2012-09-16 08:00,2012-10-08 16:00,2012-09-16 08:00,2012-10-08 16:00,,2014-07-23 08:00,2014-08-14 16:00,,PT_Normal,,,,,CJq6zTuHLkWrIYXM74TVbA,,,,N,0,0,,,2012-04-12 13:05,2012-04-12 15:33,admin,admin
14,114192,3004,16794,3695,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V1-180,External plaster works,,4464,0,168,0,0,0,168,0,0,0,,,,2014-08-16 08:00,2014-09-08 16:00,,2012-10-09 08:00,2012-11-10 16:00,2012-10-09 08:00,2012-11-10 16:00,2012-10-09 08:00,2012-11-10 16:00,,2014-08-16 08:00,2014-09-08 16:00,,PT_Normal,,,,,vJvp6gwuTEGwkZOdmZmDww,,,,N,0,0,,,2012-04-12 13:13,2012-04-12 15:33,admin,admin
15,114193,3004,16795,3695,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V1-200,Flooring works,,4464,0,80,0,0,0,80,0,0,0,,,,2014-09-09 08:00,2014-09-20 16:00,,2012-11-11 08:00,2012-11-21 16:00,2012-11-11 08:00,2012-11-21 16:00,2012-11-11 08:00,2012-11-21 16:00,,2014-09-09 08:00,2014-09-20 16:00,,PT_Normal,,,,,lYHio5sIrU65FimKnSL+MA,,,,N,0,0,,,2012-04-12 13:16,2012-04-12 15:33,admin,admin
16,114194,3004,16796,3695,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V1-210,External painting,,4464,0,80,0,0,0,80,0,0,0,,,,2014-09-21 08:00,2014-10-01 16:00,,2012-11-22 08:00,2012-12-03 16:00,2012-11-22 08:00,2012-12-03 16:00,2012-11-22 08:00,2012-12-03 16:00,,2014-09-21 08:00,2014-10-01 16:00,,PT_Normal,,,,,Bzy4KMKJRkKejLAEfUGmcA,,,,N,0,0,,,2012-04-12 13:31,2012-04-12 15:33,admin,admin
17,114195,3004,16799,3695,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V1-160,Thermal insulation,,4840,0,56,0,0,0,56,0,0,0,,,,2014-09-24 08:00,2014-10-01 16:00,,2012-09-24 08:00,2012-10-01 16:00,2012-09-24 08:00,2012-10-01 16:00,2012-09-24 08:00,2012-10-01 16:00,,2014-09-24 08:00,2014-10-01 16:00,,PT_Normal,,,,,i4Llo7ZmyE2/VD2qHcehjQ,,,,N,0,0,,,2012-04-12 13:35,2012-04-12 15:33,admin,admin
