,wbs_id,proj_id,obs_id,seq_num,est_wt,proj_node_flag,sum_data_flag,status_code,wbs_short_name,wbs_name,phase_id,parent_wbs_id,ev_user_pct,ev_etc_user_value,orig_cost,indep_remain_total_cost,ann_dscnt_rate_pct,dscnt_period_type,indep_remain_work_qty,anticip_start_date,anticip_end_date,ev_compute_type,ev_etc_compute_type,guid,tmpl_guid,plan_open_state
0,21818,4412,565,309,1,Y,N,WS_Open,Ph+Finishes,Pharma Pack Project+finishes,,10472,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,ObcOXRnTCkqYxRMrgEAPKQ,,
1,21819,4412,565,0,1,N,N,WS_Open,Mobilization,Mobilization,,21818,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,k8pZ+fTg30GpW469h+nuIA,,
2,21820,4412,565,100,1,N,N,WS_Open,Co.,Construction,,21818,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,/7eQBMYxw02L5GINI/MU1A,,
3,21821,4412,565,101,1,N,N,WS_Open,Quality Internal Aud,Quality Internal Audit,,21818,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,tkcAShrlz0GcssVDPwMGCg,,
4,21822,4412,565,300,1,N,N,WS_Open,Production Buildings,Production Buildings,,21820,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,0e0OJ68+z0uYy2aqPk1H7A,,
5,21823,4412,565,500,1,N,N,WS_Open,Cafeteria Building,Cafeteria Building,,21820,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,34doZ+gYWU67TEYjuNktMw,,
6,21824,4412,565,200,1,N,N,WS_Open,Engineering & Utilit,Engineering & Utilities Buildings,,21820,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,vhMecTFXik+z8U3ItVa/9Q,,
7,21825,4412,565,700,1,N,N,WS_Open,Electrical rooms,Electrical Rooms,,21820,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,wcduJ0UKRUqRXr2Q7zod7A,,
8,21826,4412,565,400,1,N,N,WS_Open,Adminstration Buildi,Adminstration Building,,21820,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,8iMCR9whJUyPoixnv2KSjw,,
9,21827,4412,565,1000,1,N,N,WS_Open,Site Works,"Site Works: Fence & Gates, Hardscape, etc...",,21820,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,iSPU+sGjCEKX59HGPgqekQ,,
10,21828,4412,565,800,1,N,N,WS_Open,Distribution Room,Disribution Room,,21820,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,Pwu1BPDO5UCp1a8URS9rUQ,,
11,21829,4412,565,600,1,N,N,WS_Open,Warehouse,Steel Structure Warehouse,,21820,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,UK61KAJkH0+rhe0cU1LGhQ,,
12,21830,4412,565,900,1,N,N,WS_Open,Underground Water ta,Underground Water Tank,,21820,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,nIAMklPQukqb/h6qP07yBw,,
13,21831,4412,565,600,1,N,N,WS_Open,Solids Building,Solids Building,,21822,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,aa4Y58PbfUuxvBBtUUP0PQ,,
14,21832,4412,565,300,1,N,N,WS_Open,Hi Solutions Buildin,Hi Solutions Building,,21822,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,jIwDy5I+hEGSP0zgTjloxQ,,
15,21833,4412,565,400,1,N,N,WS_Open,Liquids Building,Liquids Building,,21822,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,rAxHCqhPSUC22YxnZFVDqA,,
16,21834,4412,565,500,1,N,N,WS_Open,Soft Shell Building,Soft Shell Building,,21822,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,ieRrLzoArE28tV+hn/lCrg,,
17,21835,4412,565,301,1,N,N,WS_Open,Arch.Wroks,Architecture Works,,21824,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,yVK75VvLvUKv6nvx4PdiCg,,
18,21836,4412,565,501,1,N,N,WS_Open,Civil Works,Civil Works,,21823,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,h9WLnhKOnEGnVyxzmzfXug,,
19,21837,4412,565,601,1,N,N,WS_Open,Arch. works,Architecture Works,,21823,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,GYcQkH4T0kaNm5Iep5xmcw,,
20,21838,4412,565,601,1,N,N,WS_Open,Civil Works,Civil Works,,21829,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,AHZmLrdey0iDDEnMXR2eLA,,
21,21839,4412,565,201,1,N,N,WS_Open,Civil Works,Civil Works,,21824,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,VN/jnHDyEEmWKTT2zh6KTA,,
22,21840,4412,565,501,1,N,N,WS_Open,Arch. Works,Architecture Works,,21826,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,NmH4LlSGsE+GFFDV+Uy79w,,
23,21841,4412,565,801,1,N,N,WS_Open,Arch. Works,Architecture Works,,21825,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,edg953QSWEejZLYVXHpCAg,,
24,21842,4412,565,801,1,N,N,WS_Open,Civil Works,Civil Works,,21828,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,Toa2RNjz2kyxZCQudP32yA,,
25,21843,4412,565,901,1,N,N,WS_Open,Arch. Works,Architecture Works,,21828,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,iVWBmwJ6s0as37f2jA56Ag,,
26,21844,4412,565,401,1,N,N,WS_Open,Civil Works,Civil Works,,21826,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,9hqN+7MNoUmu2PBaVm0WNQ,,
27,21845,4412,565,701,1,N,N,WS_Open,Civil Works,Civil Works,,21825,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,hkWpRWOwZU2p3kjS0BSA8A,,
28,21846,4412,565,701,1,N,N,WS_Open,Arch. Works,Architecture Works,,21829,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,+Tc9bD+Bfk2pB+94rerH9g,,
29,21847,4412,565,301,1,N,N,WS_Open,Civil Works,Civil Works,,21832,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,g5bYWl6KEEC9IM7jP6vLOQ,,
30,21848,4412,565,401,1,N,N,WS_Open,Arch. Works,Architecture Works,,21832,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,67nAlyxIZky98KP1hZWioA,,
31,21849,4412,565,401,1,N,N,WS_Open,CivilWorks,Civil Works,,21833,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,0lSptiAmOUWhteNUhYyccQ,,
32,21850,4412,565,501,1,N,N,WS_Open,Civil Works,Civil Works,,21834,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,N3eotkYlnEaBug2GIZBrvg,,
33,21851,4412,565,601,1,N,N,WS_Open,Arch. Works,Architecture Works,,21834,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,hM/EZg7GKkm2v5W4nS4SiQ,,
34,21852,4412,565,700,1,N,N,WS_Open,Civil Works,Civil Works,,21831,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,sg309VQA4k2r28AEftEWKw,,
35,21853,4412,565,800,1,N,N,WS_Open,Arch. Works,Architecture Works,,21831,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,fZyfARZBZkGdMW/lGmdOjg,,
36,21854,4412,565,501,1,N,N,WS_Open,Arch. works,Architecture Works,,21833,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,T2t+xaza9UCJ8hvdjn2TuA,,
37,21855,4412,565,701,1,N,N,WS_Open,First Floor,First Floor,,21840,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,5294UazR/UaoEYs7X+napA,,
