,task_id,proj_id,wbs_id,clndr_id,est_wt,phys_complete_pct,rev_fdbk_flag,lock_plan_flag,auto_compute_act_flag,complete_pct_type,task_type,duration_type,review_type,status_code,task_code,task_name,rsrc_id,total_float_hr_cnt,free_float_hr_cnt,remain_drtn_hr_cnt,act_work_qty,remain_work_qty,target_work_qty,target_drtn_hr_cnt,target_equip_qty,act_equip_qty,remain_equip_qty,cstr_date,act_start_date,act_end_date,late_start_date,late_end_date,expect_end_date,early_start_date,early_end_date,restart_date,reend_date,target_start_date,target_end_date,review_end_date,rem_late_start_date,rem_late_end_date,cstr_type,priority_type,suspend_date,resume_date,float_path,float_path_order,guid,tmpl_guid,cstr_date2,cstr_type2,driving_path_flag,act_this_per_work_qty,act_this_per_equip_qty,external_early_start_date,external_late_end_date,create_date,update_date,create_user,update_user
0,138750,4412,21819,5284,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1010,Demobilization,,704,0,56,0,0,0,56,0,0,0,,,,2012-09-12 08:00,2012-09-19 17:00,,2012-06-02 08:00,2012-06-09 17:00,2012-06-02 08:00,2012-06-09 17:00,2012-06-02 08:00,2012-06-09 17:00,,2012-09-12 08:00,2012-09-19 17:00,,PT_Normal,,,,,/tbYKj8Y6UmK5dslS9PfzA,,,,N,0,0,,,2012-06-06 13:54,2012-06-06 13:54,admin,admin
1,138751,4412,21819,5284,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1000,Mobilization,,3304,3304,240,0,0,0,240,0,0,0,,,,2013-09-26 08:00,2013-10-30 17:00,,2012-06-02 08:00,2012-07-05 17:00,2012-06-02 08:00,2012-07-05 17:00,2012-06-02 08:00,2012-07-05 17:00,,2013-09-26 08:00,2013-10-30 17:00,,PT_Normal,,,,,jdY8ce1XRUyBkUbhlqZ/gA,,,,N,0,0,,,2012-06-06 13:54,2012-06-06 13:54,admin,admin
2,138752,4412,21847,5284,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1020,Excavation,,0,0,80,0,0,0,80,0,0,0,,,,2012-11-06 08:00,2012-11-17 17:00,,2012-11-06 08:00,2012-11-17 17:00,2012-11-06 08:00,2012-11-17 17:00,2012-11-06 08:00,2012-11-17 17:00,,2012-11-06 08:00,2012-11-17 17:00,,PT_Normal,,,,,AhjdBsgxPku2e1pEunaj7w,,,,Y,0,0,,,2012-06-06 13:54,2012-06-06 13:54,admin,admin
3,138753,4412,21847,5284,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1030,Soil Replacement,,416,0,80,0,0,0,80,0,0,0,,,,2013-01-17 08:00,2013-01-28 17:00,,2012-11-18 08:00,2012-11-28 17:00,2012-11-18 08:00,2012-11-28 17:00,2012-11-18 08:00,2012-11-28 17:00,,2013-01-17 08:00,2013-01-28 17:00,,PT_Normal,,,,,5wjGGUo7YkyC9DSW9v1ruQ,,,,N,0,0,,,2012-06-06 13:54,2012-06-06 13:54,admin,admin
4,138754,4412,21847,5284,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1040,P.C footings,,416,0,80,0,0,0,80,0,0,0,,,,2013-01-29 08:00,2013-02-09 17:00,,2012-11-29 08:00,2012-12-10 17:00,2012-11-29 08:00,2012-12-10 17:00,2012-11-29 08:00,2012-12-10 17:00,,2013-01-29 08:00,2013-02-09 17:00,,PT_Normal,,,,,B9Vhg4TYdkan+yqWfB1PaQ,,,,N,0,0,,,2012-06-06 13:54,2012-06-06 13:54,admin,admin
5,138755,4412,21847,5284,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1050,R.C footings,,416,0,112,0,0,0,112,0,0,0,,,,2013-02-10 08:00,2013-02-25 17:00,,2012-12-11 08:00,2012-12-26 17:00,2012-12-11 08:00,2012-12-26 17:00,2012-12-11 08:00,2012-12-26 17:00,,2013-02-10 08:00,2013-02-25 17:00,,PT_Normal,,,,,pyweRKZhhkWslUdsmg72GA,,,,N,0,0,,,2012-06-06 13:54,2012-06-06 13:54,admin,admin
6,138756,4412,21847,5284,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1060,R.C columns,,416,0,112,0,0,0,112,0,0,0,,,,2013-02-26 08:00,2013-03-13 17:00,,2012-12-27 08:00,2013-01-12 17:00,2012-12-27 08:00,2013-01-12 17:00,2012-12-27 08:00,2013-01-12 17:00,,2013-02-26 08:00,2013-03-13 17:00,,PT_Normal,,,,,JA4XAV6/6UKYDxBoi118uA,,,,N,0,0,,,2012-06-06 13:54,2012-06-06 13:54,admin,admin
7,138757,4412,21847,5284,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1630,Bituminous insulation,,416,0,56,0,0,0,56,0,0,0,,,,2013-03-14 08:00,2013-03-21 17:00,,2013-01-13 08:00,2013-01-20 17:00,2013-01-13 08:00,2013-01-20 17:00,2013-01-13 08:00,2013-01-20 17:00,,2013-03-14 08:00,2013-03-21 17:00,,PT_Normal,,,,,kaKenFCfRUGMgNcoBNK5XA,,,,N,0,0,,,2012-06-06 13:54,2012-06-06 13:54,admin,admin
8,138758,4412,21847,5284,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1640,Masonry under slab on grade,,416,0,160,0,0,0,160,0,0,0,,,,2013-03-23 08:00,2013-04-14 17:00,,2013-01-21 08:00,2013-02-12 17:00,2013-01-21 08:00,2013-02-12 17:00,2013-01-21 08:00,2013-02-12 17:00,,2013-03-23 08:00,2013-04-14 17:00,,PT_Normal,,,,,Qsq0PY12/06TNdz07OvoKQ,,,,N,0,0,,,2012-06-06 13:54,2012-06-06 13:54,admin,admin
9,138759,4412,21847,5284,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1650,Backfilling around foundation,,416,0,112,0,0,0,112,0,0,0,,,,2013-04-15 08:00,2013-04-30 17:00,,2013-02-13 08:00,2013-02-28 17:00,2013-02-13 08:00,2013-02-28 17:00,2013-02-13 08:00,2013-02-28 17:00,,2013-04-15 08:00,2013-04-30 17:00,,PT_Normal,,,,,YL32ADF1PUeX702s3LL4nQ,,,,N,0,0,,,2012-06-06 13:54,2012-06-06 13:54,admin,admin
10,138760,4412,21847,5284,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1660,Slab on grade,,416,0,112,0,0,0,112,0,0,0,,,,2013-05-01 08:00,2013-05-16 17:00,,2013-03-02 08:00,2013-03-17 17:00,2013-03-02 08:00,2013-03-17 17:00,2013-03-02 08:00,2013-03-17 17:00,,2013-05-01 08:00,2013-05-16 17:00,,PT_Normal,,,,,TLV8vRzpekCKr6mUqbkGdQ,,,,N,0,0,,,2012-06-06 13:54,2012-06-06 13:54,admin,admin
11,138761,4412,21847,5284,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1670,Ground floor R.C slab,,416,0,160,0,0,0,160,0,0,0,,,,2013-05-18 08:00,2013-06-09 17:00,,2013-03-18 08:00,2013-04-09 17:00,2013-03-18 08:00,2013-04-09 17:00,2013-03-18 08:00,2013-04-09 17:00,,2013-05-18 08:00,2013-06-09 17:00,,PT_Normal,,,,,Hc0b4HIt30umXDFKngALJw,,,,N,0,0,,,2012-06-06 13:54,2012-06-06 13:54,admin,admin
12,138762,4412,21847,5284,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1680,Steel structure erection,,416,0,200,0,0,0,200,0,0,0,,,,2013-06-10 08:00,2013-07-08 17:00,,2013-04-10 08:00,2013-05-08 17:00,2013-04-10 08:00,2013-05-08 17:00,2013-04-10 08:00,2013-05-08 17:00,,2013-06-10 08:00,2013-07-08 17:00,,PT_Normal,,,,,+F4sj3MTrkaWWVEc4TOxvw,,,,N,0,0,,,2012-06-06 13:54,2012-06-06 13:54,admin,admin
13,138763,4412,21849,5284,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1070,Excavation,,0,0,80,0,0,0,80,0,0,0,,,,2012-08-16 08:00,2012-08-27 17:00,,2012-08-16 08:00,2012-08-27 17:00,2012-08-16 08:00,2012-08-27 17:00,2012-08-16 08:00,2012-08-27 17:00,,2012-08-16 08:00,2012-08-27 17:00,,PT_Normal,,,,,Gff05UijBU+qrjl7PsD8oA,,,,Y,0,0,,,2012-06-06 13:54,2012-06-06 13:54,admin,admin
14,138764,4412,21849,5284,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1080,Soil Replacement,,1000,0,56,0,0,0,56,0,0,0,,,,2013-01-21 08:00,2013-01-28 17:00,,2012-08-28 08:00,2012-09-04 17:00,2012-08-28 08:00,2012-09-04 17:00,2012-08-28 08:00,2012-09-04 17:00,,2013-01-21 08:00,2013-01-28 17:00,,PT_Normal,,,,,AQdsFb39Ikea7CaSKiUsHQ,,,,N,0,0,,,2012-06-06 13:54,2012-06-06 13:54,admin,admin
15,138765,4412,21849,5284,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1090,P.C footings,,1000,0,80,0,0,0,80,0,0,0,,,,2013-01-29 08:00,2013-02-09 17:00,,2012-09-05 08:00,2012-09-16 17:00,2012-09-05 08:00,2012-09-16 17:00,2012-09-05 08:00,2012-09-16 17:00,,2013-01-29 08:00,2013-02-09 17:00,,PT_Normal,,,,,Rx3xM0NEe0yND4jmicSxKg,,,,N,0,0,,,2012-06-06 13:54,2012-06-06 13:54,admin,admin
16,138766,4412,21849,5284,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1100,R.C footings,,1000,0,112,0,0,0,112,0,0,0,,,,2013-02-10 08:00,2013-02-25 17:00,,2012-09-17 08:00,2012-10-02 17:00,2012-09-17 08:00,2012-10-02 17:00,2012-09-17 08:00,2012-10-02 17:00,,2013-02-10 08:00,2013-02-25 17:00,,PT_Normal,,,,,X0mAZ7tOw0erR/0kpu9ZLg,,,,N,0,0,,,2012-06-06 13:54,2012-06-06 13:54,admin,admin
17,138767,4412,21849,5284,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1110,R.C columns,,1000,0,112,0,0,0,112,0,0,0,,,,2013-02-26 08:00,2013-03-13 17:00,,2012-10-03 08:00,2012-10-18 17:00,2012-10-03 08:00,2012-10-18 17:00,2012-10-03 08:00,2012-10-18 17:00,,2013-02-26 08:00,2013-03-13 17:00,,PT_Normal,,,,,u+5ox0HdxUig0CLZPMKcww,,,,N,0,0,,,2012-06-06 13:54,2012-06-06 13:54,admin,admin
18,138768,4412,21849,5284,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1120,Bituminous insulation,,1000,0,56,0,0,0,56,0,0,0,,,,2013-03-14 08:00,2013-03-21 17:00,,2012-10-20 08:00,2012-10-27 17:00,2012-10-20 08:00,2012-10-27 17:00,2012-10-20 08:00,2012-10-27 17:00,,2013-03-14 08:00,2013-03-21 17:00,,PT_Normal,,,,,OoAVr19/gk6bdB1ci8ITkA,,,,N,0,0,,,2012-06-06 13:54,2012-06-06 13:54,admin,admin
19,138769,4412,21849,5284,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1130,Masonry under slab on grade,,1000,0,112,0,0,0,112,0,0,0,,,,2013-03-23 08:00,2013-04-07 17:00,,2012-10-28 08:00,2012-11-12 17:00,2012-10-28 08:00,2012-11-12 17:00,2012-10-28 08:00,2012-11-12 17:00,,2013-03-23 08:00,2013-04-07 17:00,,PT_Normal,,,,,OW+JPCVOykOaluxucWF1xw,,,,N,0,0,,,2012-06-06 13:54,2012-06-06 13:54,admin,admin
20,138770,4412,21849,5284,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1140,Backfilling around foundation,,1000,0,112,0,0,0,112,0,0,0,,,,2013-04-08 08:00,2013-04-23 17:00,,2012-11-13 08:00,2012-11-28 17:00,2012-11-13 08:00,2012-11-28 17:00,2012-11-13 08:00,2012-11-28 17:00,,2013-04-08 08:00,2013-04-23 17:00,,PT_Normal,,,,,lVe6W/necUSwWh9Kn0Ognw,,,,N,0,0,,,2012-06-06 13:54,2012-06-06 13:54,admin,admin
21,138771,4412,21849,5284,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1150,Slab on grade,,1000,0,112,0,0,0,112,0,0,0,,,,2013-04-24 08:00,2013-05-09 17:00,,2012-11-29 08:00,2012-12-15 17:00,2012-11-29 08:00,2012-12-15 17:00,2012-11-29 08:00,2012-12-15 17:00,,2013-04-24 08:00,2013-05-09 17:00,,PT_Normal,,,,,teQwFGJOtUu+3htOQXONIg,,,,N,0,0,,,2012-06-06 13:54,2012-06-06 13:54,admin,admin
