,task_pred_id,task_id,pred_task_id,proj_id,pred_proj_id,pred_type,lag_hr_cnt,float_path,aref,arls
0,200483,138757,138756,4412,4412,PR_FS,0,,2013-01-12 17:00,2013-03-14 08:00
1,200484,138774,138763,4412,4412,PR_FS,240,,2012-10-01 17:00,2012-08-28 08:00
2,200485,138794,138793,4412,4412,PR_FS,0,,2012-10-13 17:00,2013-03-02 08:00
3,200486,138805,138804,4412,4412,PR_FS,0,,2013-03-19 17:00,2013-03-20 08:00
4,200487,138824,138823,4412,4412,PR_FS,0,,2013-03-16 17:00,2013-06-25 08:00
5,200488,138827,138826,4412,4412,PR_FS,0,,2012-06-12 17:00,2012-11-06 08:00
6,200489,138830,138829,4412,4412,PR_FS,0,,2012-08-02 17:00,2012-12-27 08:00
7,200490,138853,138852,4412,4412,PR_FS,0,,2013-01-05 17:00,2013-03-07 08:00
8,200491,138856,138855,4412,4412,PR_FS,0,,2013-01-24 17:00,2013-04-11 08:00
9,200492,138873,138872,4412,4412,PR_FS,0,,2013-05-04 17:00,2013-08-14 08:00
10,200493,138877,138876,4412,4412,PR_FS,0,,2013-01-22 17:00,2013-03-28 08:00
11,200494,138898,138897,4412,4412,PR_FF,0,,2013-03-30 08:00,2013-07-29 17:00
12,200495,138899,138898,4412,4412,PR_FS,0,,2013-05-14 17:00,2013-07-30 08:00
13,200496,138760,138759,4412,4412,PR_FS,0,,2013-02-28 17:00,2013-05-01 08:00
14,200497,138764,138763,4412,4412,PR_FS,0,,2012-08-27 17:00,2013-01-21 08:00
15,200498,138765,138764,4412,4412,PR_FS,0,,2012-09-04 17:00,2013-01-29 08:00
16,200499,138766,138765,4412,4412,PR_FS,0,,2012-09-16 17:00,2013-02-10 08:00
17,200500,138779,138778,4412,4412,PR_FS,0,,2012-12-04 17:00,2013-03-27 08:00
18,200501,138763,138786,4412,4412,PR_FS,240,,2012-08-15 17:00,2012-07-12 08:00
19,200502,138793,138792,4412,4412,PR_FS,0,,2012-09-26 17:00,2013-02-13 08:00
20,200503,138795,138794,4412,4412,PR_FS,0,,2012-10-29 17:00,2013-03-18 08:00
21,200504,138798,138797,4412,4412,PR_FS,0,,2012-12-10 17:00,2012-12-11 08:00
22,200505,138800,138799,4412,4412,PR_FS,0,,2013-01-02 17:00,2013-01-03 08:00
23,200506,138815,138814,4412,4412,PR_FS,0,,2012-12-20 17:00,2013-04-01 08:00
