,task_id,actv_code_type_id,actv_code_id,proj_id
0,82179,7264,12863,772
1,82179,7269,12870,772
2,82179,7270,12856,772
3,82180,7264,12866,772
4,82180,7269,12872,772
5,82180,7270,12856,772
6,82181,7264,12866,772
7,82181,7269,12872,772
8,82181,7270,12857,772
9,82182,7264,12866,772
10,82182,7269,12872,772
11,82182,7270,12859,772
12,82183,7264,12866,772
13,82183,7269,12872,772
14,82183,7270,12860,772
15,82184,7264,12864,772
16,82184,7269,12871,772
17,82184,7270,12857,772
18,82185,7264,12864,772
19,82185,7269,12871,772
20,82185,7270,12857,772
21,82186,7264,12864,772
22,82186,7269,12871,772
23,82186,7270,12858,772
24,82187,7264,12864,772
25,82187,7269,12871,772
26,82187,7270,12857,772
27,82188,7264,12864,772
28,82188,7269,12871,772
29,82188,7270,12858,772
30,82189,7264,12864,772
31,82189,7269,12871,772
32,82189,7270,12859,772
33,82190,7264,12864,772
34,82190,7269,12871,772
35,82190,7270,12859,772
36,82191,7264,12864,772
37,82191,7269,12871,772
38,82191,7270,12859,772
39,82192,7264,12864,772
40,82192,7269,12871,772
41,82192,7270,12860,772
42,82193,7264,12864,772
43,82193,7269,12871,772
44,82193,7270,12859,772
45,82194,7264,12864,772
46,82194,7269,12871,772
47,82194,7270,12859,772
48,82195,7264,12864,772
49,82195,7269,12871,772
50,82195,7270,12859,772
51,82196,7264,12864,772
52,82196,7269,12871,772
53,82196,7270,12859,772
54,82197,7264,12864,772
55,82197,7269,12871,772
56,82197,7270,12859,772
57,82198,7264,12866,772
58,82198,7269,12872,772
59,82198,7270,12857,772
60,82199,7264,12865,772
61,82199,7269,12871,772
62,82199,7270,12859,772
63,82200,7264,12865,772
64,82200,7269,12871,772
65,82200,7270,12859,772
66,82201,7264,12865,772
67,82201,7269,12871,772
68,82201,7270,12859,772
69,82202,7264,12865,772
70,82202,7269,12871,772
71,82202,7270,12859,772
72,82203,7264,12865,772
73,82203,7269,12871,772
74,82203,7270,12859,772
75,82204,7264,12865,772
76,82204,7269,12871,772
77,82204,7270,12859,772
78,82205,7264,12865,772
79,82205,7269,12871,772
80,82205,7270,12859,772
81,82206,7264,12865,772
82,82206,7269,12871,772
83,82206,7270,12859,772
84,82207,7264,12865,772
85,82207,7269,12871,772
86,82207,7270,12859,772
87,82208,7264,12865,772
88,82208,7269,12871,772
89,82208,7270,12859,772
90,82209,7264,12865,772
91,82209,7269,12871,772
92,82209,7270,12859,772
93,82210,7264,12865,772
94,82210,7269,12871,772
95,82210,7270,12859,772
96,82211,7264,12865,772
97,82211,7269,12872,772
98,82211,7270,12857,772
99,82212,7264,12865,772
100,82212,7269,12872,772
101,82212,7270,12857,772
102,82213,7264,12865,772
103,82213,7269,12872,772
104,82213,7270,12859,772
105,82214,7264,12865,772
106,82214,7269,12872,772
107,82214,7270,12857,772
108,82215,7264,12865,772
109,82215,7269,12870,772
110,82215,7270,12857,772
111,82216,7264,12865,772
112,82216,7269,12872,772
113,82216,7270,12857,772
114,82217,7264,12865,772
115,82217,7269,12872,772
116,82217,7270,12860,772
117,82218,7264,12865,772
118,82218,7269,12872,772
119,82218,7270,12860,772
120,82219,7264,12865,772
121,82219,7269,12871,772
122,82219,7270,12859,772
123,82220,7264,12865,772
124,82220,7269,12871,772
125,82220,7270,12859,772
126,82221,7264,12865,772
127,82221,7269,12871,772
128,82221,7270,12859,772
129,82222,7264,12865,772
130,82222,7269,12871,772
131,82222,7270,12860,772
132,82223,7264,12865,772
133,82223,7269,12871,772
134,82223,7270,12859,772
135,82224,7264,12865,772
136,82224,7269,12871,772
137,82224,7270,12859,772
138,82225,7264,12865,772
139,82225,7269,12871,772
140,82225,7270,12859,772
141,82226,7264,12865,772
142,82226,7269,12871,772
143,82226,7270,12859,772
144,82227,7264,12865,772
145,82227,7269,12871,772
146,82227,7270,12859,772
147,82228,7264,12865,772
148,82228,7269,12871,772
149,82228,7270,12859,772
150,82229,7264,12865,772
151,82229,7269,12871,772
152,82229,7270,12859,772
153,82230,7264,12865,772
154,82230,7269,12871,772
155,82230,7270,12859,772
156,82231,7264,12865,772
157,82231,7269,12871,772
158,82231,7270,12859,772
159,82232,7264,12866,772
160,82232,7269,12872,772
161,82232,7270,12857,772
162,82233,7264,12866,772
163,82233,7269,12872,772
164,82233,7270,12857,772
165,82234,7264,12866,772
166,82234,7269,12872,772
167,82234,7270,12858,772
168,82235,7264,12866,772
169,82235,7269,12872,772
170,82235,7270,12858,772
171,82236,7264,12866,772
172,82236,7269,12872,772
173,82236,7270,12858,772
174,82237,7264,12866,772
175,82237,7269,12872,772
176,82237,7270,12858,772
177,82238,7264,12866,772
178,82238,7269,12872,772
179,82238,7270,12858,772
180,82239,7264,12866,772
181,82239,7269,12872,772
182,82239,7270,12858,772
183,82240,7264,12866,772
184,82240,7269,12872,772
185,82240,7270,12859,772
186,82241,7264,12866,772
187,82241,7269,12872,772
188,82241,7270,12858,772
189,82242,7264,12866,772
190,82242,7269,12872,772
191,82242,7270,12859,772
192,82243,7264,12866,772
193,82243,7269,12872,772
194,82243,7270,12859,772
195,82244,7264,12866,772
196,82244,7269,12872,772
197,82244,7270,12859,772
198,82245,7264,12866,772
199,82245,7269,12872,772
200,82245,7270,12859,772
201,82246,7264,12866,772
202,82246,7269,12872,772
203,82246,7270,12859,772
204,82247,7264,12866,772
205,82247,7269,12872,772
206,82247,7270,12859,772
207,82248,7264,12866,772
208,82248,7269,12872,772
209,82248,7270,12859,772
210,82249,7264,12866,772
211,82249,7269,12872,772
212,82249,7270,12860,772
213,82250,7264,12866,772
214,82250,7269,12872,772
215,82250,7270,12860,772
