,task_pred_id,task_id,pred_task_id,proj_id,pred_proj_id,pred_type,lag_hr_cnt,float_path,aref,arls
0,69791,82187,82179,772,772,PR_FF,56,,2012-01-29 08:01,2012-02-07 08:00
1,69792,82188,82179,772,772,PR_FF,56,,2012-01-29 08:01,2012-02-07 08:00
2,69793,82211,82187,772,772,PR_FS,0,,2012-01-29 08:01,2012-02-15 08:00
3,69794,82211,82188,772,772,PR_FS,0,,2012-01-29 08:01,2012-02-15 08:00
4,69795,82232,82198,772,772,PR_SS,56,,2012-06-20 16:00,2012-02-21 08:00
5,69796,82233,82198,772,772,PR_SS,360,,2012-08-05 16:00,2012-04-18 08:00
6,69797,82237,82234,772,772,PR_FS,0,,2012-10-18 16:00,2012-10-23 08:00
7,69798,82238,82235,772,772,PR_FS,0,,2012-11-08 16:00,2012-11-10 08:00
8,69799,82242,82193,772,772,PR_FS,0,,2012-03-12 08:01,2012-09-10 08:00
9,69800,82244,82189,772,772,PR_FS,0,,2012-04-17 08:01,2012-11-01 08:00
10,69801,82244,82237,772,772,PR_FS,0,,2012-10-24 16:00,2012-11-01 08:00
11,69802,82245,82238,772,772,PR_FS,0,,2012-11-27 16:00,2012-12-30 08:00
12,69803,82245,82189,772,772,PR_FS,0,,2012-04-17 08:01,2012-12-30 08:00
13,69804,82246,82189,772,772,PR_FS,0,,2012-04-17 08:01,2013-02-16 08:00
14,69805,82248,82246,772,772,PR_FF,240,,2012-12-18 08:00,2013-02-24 08:00
15,69806,82247,82197,772,772,PR_SS,56,,2012-01-30 08:01,2012-07-31 08:00
16,69807,82243,82237,772,772,PR_FS,0,,2012-10-24 16:00,2012-11-25 08:00
17,69808,82248,82243,772,772,PR_FF,240,,2013-02-18 08:00,2013-02-24 08:00
18,69809,82248,82247,772,772,PR_FF,200,,2013-02-16 08:00,2013-03-02 08:00
19,69810,82247,82243,772,772,PR_FF,24,,2012-11-10 08:00,2013-02-26 08:00
20,69811,82238,82244,772,772,PR_FS,0,,2012-11-05 16:00,2012-11-10 08:00
21,69812,82246,82236,772,772,PR_SS,720,,2012-12-15 16:00,2012-06-02 08:00
22,69813,82240,82243,772,772,PR_FS,0,,2013-02-23 16:00,2013-03-06 16:00
23,69814,82239,82240,772,772,PR_FF,48,,2012-10-04 08:00,2013-03-07 08:00
24,69815,82198,82184,772,772,PR_SS,112,,2011-12-14 08:01,2012-02-13 08:00
25,69816,82198,82185,772,772,PR_FF,480,,2011-10-20 08:01,2012-10-11 16:00
26,69817,82243,82242,772,772,PR_SS,480,,2012-10-02 16:00,2012-05-12 08:00
27,69818,82242,82199,772,772,PR_SS,56,,2012-05-14 17:00,2012-08-04 08:00
28,69819,82242,82200,772,772,PR_FF,240,,2012-04-11 08:00,2012-12-11 16:00
29,69820,82244,82210,772,772,PR_FS,0,,2012-08-11 17:00,2012-11-01 08:00
30,69821,82243,82238,772,772,PR_SS,96,,2012-11-24 16:00,2012-10-20 08:00
31,69822,82247,82238,772,772,PR_FF,360,,2012-10-01 08:00,2013-01-05 08:00
32,69823,82245,82207,772,772,PR_FS,0,,2012-06-22 17:00,2012-12-30 08:00
33,69824,82245,82208,772,772,PR_FS,0,,2012-07-30 17:00,2012-12-30 08:00
34,69825,82245,82209,772,772,PR_FS,0,,2012-08-11 17:00,2012-12-30 08:00
35,69826,82246,82223,772,772,PR_FS,0,,2012-07-18 17:00,2013-02-16 08:00
36,69827,82249,82217,772,772,PR_SS,240,,2012-06-29 17:00,2012-08-18 08:00
37,69828,82249,82218,772,772,PR_FF,360,,2012-05-17 08:00,2013-01-10 16:00
38,69829,82236,82235,772,772,PR_SS,480,,2012-08-26 16:00,2012-03-20 08:00
39,69830,82255,82254,772,772,PR_FS,0,,2013-01-22 16:00,2013-02-25 08:00
