,wbs_id,proj_id,obs_id,seq_num,est_wt,proj_node_flag,sum_data_flag,status_code,wbs_short_name,wbs_name,phase_id,parent_wbs_id,ev_user_pct,ev_etc_user_value,orig_cost,indep_remain_total_cost,ann_dscnt_rate_pct,dscnt_period_type,indep_remain_work_qty,anticip_start_date,anticip_end_date,ev_compute_type,ev_etc_compute_type,guid,tmpl_guid,plan_open_state
0,19880,3769,565,1303,1,Y,N,WS_Open,PMH-REV-4,PORTO MATROUH,,10171,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,3o/MmU1sLUi7URqOAoP0tw,,
1,19881,3769,565,0,1,N,N,WS_Open,Milestones,Milestones,,19880,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,g+NV21FBI0OD5YrGKDMlnA,BW/lwWsRok2HZ6A3a1n34w,
2,19882,3769,565,1,1,N,N,WS_Open,Mobilization,Site preparation,,19880,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,ZGlW3PTzrEWRGE30oq7BAA,pO4fsgZ5r06dt28nibP20Q,
3,19883,3769,565,3,1,N,N,WS_Open,1,Engineering,,19880,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,s5GTZktXlkWCBCNKTMG9ag,,
4,19884,3769,565,7,1,N,N,WS_Open,3,CONSTRUCTION,,19880,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,M5YPJDqNAkixYOqt1bmk0w,,
5,19885,3769,565,2,1,N,N,WS_Open,2,Site Taking over,,19880,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,BaQGqPhY9ky8ZzBAK8W4ZQ,,
6,19886,3769,565,5,1,N,N,WS_Open,Material,Material,,19880,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,tOg/PdB82ESOuV1tk0UDFw,,
7,19887,3769,565,102,1,N,N,WS_Open,1,Submittals,,19883,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,ixFGxxGpXUW0vQ2Wwf5XTg,,
8,19888,3769,565,3,1,N,N,WS_Open,1,Cabines area,,19885,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,l0/PCMoGKEme5DAa1cc3Ww,,
9,19889,3769,565,202,1,N,N,WS_Open,2,Approvals,,19883,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,NPn4aTQJEkyOZ2il+OZUmw,,
10,19890,3769,565,0,1,N,N,WS_Open,1,HOTEL AREA,,19884,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,6m44hrJhJEKSAoLfaxyOZg,,
11,19891,3769,565,5,1,N,N,WS_Open,2,CABINES AREA,,19884,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,4ObALY2ZNEC/6Dy8osQb0g,,
12,19892,3769,565,2,1,N,N,WS_Open,3,Recieving design drawings from owner,,19883,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,STePpuqJtUGDIEssgTdloA,,
13,19893,3769,565,3,1,N,N,WS_Open,2,Hotel area,,19885,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,Gb+ND/pyqUCVPG3rGkZVGQ,,
14,19894,3769,565,0,1,N,N,WS_Open,1,Material submittal,,19886,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,Zg5itUCwh0WJIGgANlUuFw,,
15,19895,3769,565,6,1,N,N,WS_Open,2,Material Approval,,19886,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,hgatUB7rZEGT1qP8w91xsg,,
16,19896,3769,565,106,1,N,N,WS_Open,3,Material delivery,,19886,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,VuHrvoZpZESoAsIDgc+ewg,hYUNrI6/Qk2GqyXbRTC9Yg,
17,19897,3769,565,102,1,N,N,WS_Open,2,Cabines drawings,,19887,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,79DcOLFT7kGocn6CiA5hTA,,
18,19898,3769,565,0,1,N,N,WS_Open,18,Building 1,,19891,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,RAgElVtec0CccF0zexLieg,r5nh2+VAuUCRoxvhWE1nZw,
19,19899,3769,565,1,1,N,N,WS_Open,B1111,Building 2,,19890,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,rVUZzvCaMUmr6x6h6fRehw,h+b8B4c09EGXsWBeM9DGVA,
20,19900,3769,565,2,1,N,N,WS_Open,B1112,Building 3,,19890,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,U4/kvNU7F0CumKzCQX6iKA,h+b8B4c09EGXsWBeM9DGVA,
21,19901,3769,565,4,1,N,N,WS_Open,4,Building 5,,19891,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,KZBgSwU69kqMKsrQQnJH7w,XmHmBtJ1l0eyXLdt5a4G3A,
22,19902,3769,565,8,1,N,N,WS_Open,B1118,Building 9,,19890,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,u43r/44exUipdqPDDHXGwA,h+b8B4c09EGXsWBeM9DGVA,
23,19903,3769,565,3,1,N,N,WS_Open,B1113,Building 4,,19890,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,EyeYlynm/02qMAbpmfnWUA,h+b8B4c09EGXsWBeM9DGVA,
24,19904,3769,565,3,1,N,N,WS_Open,1,Cabines drawings,,19892,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,2xve5H6Q4k29i8WT9m4AeA,,
25,19905,3769,565,9,1,N,N,WS_Open,B1119,Building 10,,19890,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,8wK9oRTth0ejPwYvYN3Q5A,h+b8B4c09EGXsWBeM9DGVA,
26,19906,3769,565,4,1,N,N,WS_Open,B1114,Building 5,,19890,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,byAf195ONEq188bWzaqELA,h+b8B4c09EGXsWBeM9DGVA,
27,19907,3769,565,1,1,N,N,WS_Open,1,Hotel drawings,,19889,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,49jHKvYzSE6lWZtL0ChU+Q,rhpO8EHRI0Gx4ePeUiNgQw,
28,19908,3769,565,1,1,N,N,WS_Open,1,Building 2,,19891,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,sQefo5maa0a7BbPeKc9o4Q,XmHmBtJ1l0eyXLdt5a4G3A,
29,19909,3769,565,6,1,N,N,WS_Open,B1116,Building 7,,19890,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,EfOUiaZUB02DscP+UpBnFA,h+b8B4c09EGXsWBeM9DGVA,
30,19910,3769,565,3,1,N,N,WS_Open,3,Building 4,,19891,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,0bD06U22RUSt6MBidS2mpA,XmHmBtJ1l0eyXLdt5a4G3A,
31,19911,3769,565,5,1,N,N,WS_Open,B1115,Building 6,,19890,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,Llt6UhhhS0CDL3ykRT5G3Q,h+b8B4c09EGXsWBeM9DGVA,
32,19912,3769,565,102,1,N,N,WS_Open,1,Hotel drawings,,19887,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,CfCIe4/UEUSxFFP0RUzoEw,,
33,19913,3769,565,3,1,N,N,WS_Open,2,Hotel drawings,,19892,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,fTqH8RlrfkqUJ2Xzakx8Pg,,
34,19914,3769,565,7,1,N,N,WS_Open,B1117,Building 8,,19890,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,kyzS+BI0dEGBBFc99ll98Q,h+b8B4c09EGXsWBeM9DGVA,
35,19915,3769,565,0,1,N,N,WS_Open,B111,Building 1,,19890,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,CkohMhhQDEOwdIloXuJ67A,eElTYSJ4xEydzTSsPookZQ,
36,19916,3769,565,10,1,N,N,WS_Open,B11110,Building 11,,19890,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,jeErZvzMtkeGaqf5ovHX/Q,h+b8B4c09EGXsWBeM9DGVA,
37,19917,3769,565,12,1,N,N,WS_Open,B11111,Building 12,,19890,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,mrzdYwXdjUeqSqO+2Z0Znw,h+b8B4c09EGXsWBeM9DGVA,
38,19918,3769,565,101,1,N,N,WS_Open,2,Cabines drawings,,19889,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,Pyt1i66X20qzU5DpipeCfw,otEZYdYhEE6PvLz1m0msuQ,
39,19919,3769,565,2,1,N,N,WS_Open,2,Building 3,,19891,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,UNXj8PlNUkiRST2ySuE7jw,XmHmBtJ1l0eyXLdt5a4G3A,
40,19920,3769,565,3,1,N,N,WS_Open,3,Insulation works,,19914,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,JnsFMNYYWUyGbJI+b9gT0A,NrrQk0QzJEWRqmFy+GvGww,
41,19921,3769,565,202,1,N,N,WS_Open,4,Building 5&6,,19912,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,QpponhsRIUa9p+MqhYrlIw,,
42,19922,3769,565,1,1,N,N,WS_Open,1,Building 2,,19912,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,FvATdUgtPk+QnUziKTP4kA,,
43,19923,3769,565,0,1,N,N,WS_Open,1,Plain concrete,,19899,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,6NzOU6dYM0S4aP1c3NGTgA,xCtZQDRQxUmN+ANIA3VeeQ,
