,task_id,proj_id,wbs_id,clndr_id,est_wt,phys_complete_pct,rev_fdbk_flag,lock_plan_flag,auto_compute_act_flag,complete_pct_type,task_type,duration_type,review_type,status_code,task_code,task_name,rsrc_id,total_float_hr_cnt,free_float_hr_cnt,remain_drtn_hr_cnt,act_work_qty,remain_work_qty,target_work_qty,target_drtn_hr_cnt,target_equip_qty,act_equip_qty,remain_equip_qty,cstr_date,act_start_date,act_end_date,late_start_date,late_end_date,expect_end_date,early_start_date,early_end_date,restart_date,reend_date,target_start_date,target_end_date,review_end_date,rem_late_start_date,rem_late_end_date,cstr_type,priority_type,suspend_date,resume_date,float_path,float_path_order,guid,tmpl_guid,cstr_date2,cstr_type2,driving_path_flag,act_this_per_work_qty,act_this_per_equip_qty,external_early_start_date,external_late_end_date,create_date,update_date,create_user,update_user
0,129450,3769,19882,1191,1,100,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_Complete,A1160,Site preparation,,,,0,0,0,0,120,0,0,0,,2012-03-18 00:00,2012-03-30 00:00,,,,,,,,2012-04-29 08:00,2012-05-13 16:00,,,,,PT_Normal,,,,,vuCg03dr30GCcqBcmDKvHA,,,,N,0,0,,,2012-05-05 12:17,2012-05-16 14:02,admin,admin
1,129451,3769,19881,1191,0,100,N,N,N,CP_Drtn,TT_Mile,DT_FixedDrtn,RV_OK,TK_Complete,MS-1000,Commencement date,,,,0,0,0,0,0,0,0,0,,2012-03-18 00:00,2012-03-18 00:00,,,,,,,,2012-04-29 08:00,2012-04-29 08:00,,,,,PT_Normal,,,,,wpi1bpIZPUq+9PTKdTqOvg,Ui+3UMgODkOZVYIxXiRyjA,,,N,0,0,,,2012-05-05 12:17,2012-05-16 14:02,admin,admin
2,129452,3769,19881,1191,0,0,N,N,N,CP_Drtn,TT_FinMile,DT_FixedDrtn,RV_OK,TK_NotStart,MS-1030,Project handing over,,0,0,0,0,0,0,0,0,0,0,,,,2012-10-15 16:00,2012-10-15 16:00,,2012-10-15 16:00,2012-10-15 16:00,2012-10-15 16:00,2012-10-15 16:00,2012-10-15 16:00,2012-10-15 16:00,,2012-10-15 16:00,2012-10-15 16:00,,PT_Normal,,,,,BvVq6tsi802gEOpnEaV71w,6ucjAR6YqUmx70EsHRTSag,,,Y,0,0,,,2012-05-05 12:17,2012-05-16 14:02,admin,admin
3,129453,3769,19881,1191,0,100,N,N,N,CP_Drtn,TT_Mile,DT_FixedDrtn,RV_OK,TK_Complete,MS-1020,Receive advanced payment,,,,0,0,0,0,0,0,0,0,2012-03-18 08:00,2012-03-18 00:00,2012-03-18 00:00,,,,,,,,2012-04-29 08:00,2012-04-29 08:00,,,,CS_MANDSTART,PT_Normal,,,,,huJH80K8TE+wfTI+mLfxLQ,,,,N,0,0,,,2012-05-05 12:17,2012-05-16 14:02,admin,admin
4,129454,3769,19922,1191,1,100,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_Complete,SD-H-2-10,P.C footings,,,,0,0,0,0,8,0,0,0,,2012-03-18 00:00,2012-03-18 00:00,,,,,,,,2012-03-20 08:00,2012-03-20 16:00,,,,,PT_Normal,,,,,ec3/BvdTuUS9yexp1M3Xdw,,,,N,0,0,,,2012-05-05 12:17,2012-05-16 14:02,admin,admin
5,129455,3769,19922,1191,1,100,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_Complete,SD-H-2-20,R.c footings,,,,0,0,0,0,8,0,0,0,,2012-04-04 00:00,2012-04-04 00:00,,,,,,,,2012-04-30 08:00,2012-04-30 16:00,,,,,PT_Normal,,,,,hyVrnNJb+E6er4EOy0OJbA,,,,N,0,0,,,2012-05-05 12:17,2012-05-16 14:02,admin,admin
6,129456,3769,19922,1191,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,SD-H-2-30,Ground floor columns,,456,0,8,0,0,0,8,0,0,0,,,,2012-07-22 08:00,2012-07-22 16:00,,2012-05-16 08:00,2012-05-16 16:00,2012-05-16 08:00,2012-05-16 16:00,2012-05-16 08:00,2012-05-16 16:00,,2012-07-22 08:00,2012-07-22 16:00,,PT_Normal,,,,,zGN/a9k1xUOvXFqYEeg5JA,,,,N,0,0,,,2012-05-05 12:17,2012-05-16 14:02,admin,admin
7,129457,3769,19922,1191,1,100,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_Complete,SD-H-2-40,Ground floor slabs,,,,0,0,0,0,8,0,0,0,,2012-04-29 00:00,2012-04-29 00:00,,,,,,,,2012-05-05 08:00,2012-05-05 16:00,,,,,PT_Normal,,,,,h8FT5HVyMkWCffYkHcDmWQ,,,,N,0,0,,,2012-05-05 12:17,2012-05-16 14:02,admin,admin
8,129458,3769,19922,1191,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,SD-H-2-50,first floor columns,,608,0,8,0,0,0,8,0,0,0,,,,2012-08-13 08:00,2012-08-13 16:00,,2012-05-16 08:00,2012-05-16 16:00,2012-05-16 08:00,2012-05-16 16:00,2012-05-16 08:00,2012-05-16 16:00,,2012-08-13 08:00,2012-08-13 16:00,,PT_Normal,,,,,F/g5cZWkSUyqstsvW0qfzw,,,,N,0,0,,,2012-05-05 12:17,2012-05-16 14:02,admin,admin
9,129459,3769,19922,1191,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,SD-H-2-60,First floor slab,,672,0,8,0,0,0,8,0,0,0,,,,2012-08-22 08:00,2012-08-22 16:00,,2012-05-16 08:00,2012-05-16 16:00,2012-05-16 08:00,2012-05-16 16:00,2012-05-16 08:00,2012-05-16 16:00,,2012-08-22 08:00,2012-08-22 16:00,,PT_Normal,,,,,ZxOG8iX4vkaOVxnQzVF3Uw,,,,N,0,0,,,2012-05-05 12:17,2012-05-16 14:02,admin,admin
