,task_pred_id,task_id,pred_task_id,proj_id,pred_proj_id,pred_type,lag_hr_cnt,float_path,aref,arls
0,176294,129450,129451,3769,3769,PR_FS,0,,,
1,176295,129498,129454,3769,3769,PR_FS,40,,,
2,176296,129499,129455,3769,3769,PR_FS,40,,,
3,176297,129500,129456,3769,3769,PR_FS,40,,2012-05-22 16:00,2012-07-23 08:00
4,176298,129501,129457,3769,3769,PR_FS,40,,,
5,176299,129502,129458,3769,3769,PR_FS,40,,2012-05-22 16:00,2012-08-14 08:00
6,176300,129503,129459,3769,3769,PR_FS,40,,2012-05-22 16:00,2012-08-23 08:00
7,176301,129504,129460,3769,3769,PR_FS,40,,2012-05-22 16:00,2012-09-05 08:00
8,176302,129505,129461,3769,3769,PR_FS,40,,2012-05-22 16:00,2012-09-13 08:00
9,176303,129506,129462,3769,3769,PR_FS,40,,,
10,176304,129507,129463,3769,3769,PR_FS,40,,,
11,176305,129508,129464,3769,3769,PR_FS,40,,,
12,176306,129509,129465,3769,3769,PR_FS,40,,,
13,176307,129451,129453,3769,3769,PR_FS,0,,,
14,176308,129510,129466,3769,3769,PR_FS,40,,,
15,176309,129511,129467,3769,3769,PR_FS,40,,,
16,176310,129512,129468,3769,3769,PR_FS,40,,,
17,176311,129514,129470,3769,3769,PR_FS,40,,,
18,176312,129515,129471,3769,3769,PR_FS,40,,,
19,176313,129516,129472,3769,3769,PR_FS,40,,2012-05-22 16:00,2012-08-18 08:00
20,176314,129517,129473,3769,3769,PR_FS,40,,2012-05-22 16:00,2012-09-01 08:00
21,176315,129513,129469,3769,3769,PR_FS,40,,,
22,176316,129518,129474,3769,3769,PR_FS,40,,,
23,176317,129519,129475,3769,3769,PR_FS,40,,,
24,176318,129520,129476,3769,3769,PR_FS,40,,,
25,176319,129521,129477,3769,3769,PR_FS,40,,,
26,176320,129522,129478,3769,3769,PR_FS,40,,,
27,176321,129523,129479,3769,3769,PR_FS,40,,,2012-08-01 08:00
28,176322,129524,129480,3769,3769,PR_FS,40,,2012-05-22 16:00,2012-08-18 08:00
29,176323,129525,129481,3769,3769,PR_FS,40,,2012-05-22 16:00,2012-09-01 08:00
30,176324,129534,129490,3769,3769,PR_FS,40,,,
31,176325,129535,129491,3769,3769,PR_FS,40,,,
32,176326,129536,129492,3769,3769,PR_FS,40,,,
33,176327,129537,129493,3769,3769,PR_FS,40,,,
34,176328,129538,129494,3769,3769,PR_FS,40,,,
35,176329,129539,129495,3769,3769,PR_FS,40,,,
36,176330,129540,129496,3769,3769,PR_FS,40,,2012-05-22 16:00,2012-08-18 08:00
37,176331,129541,129497,3769,3769,PR_FS,40,,2012-05-22 16:00,2012-09-01 08:00
38,176332,129526,129482,3769,3769,PR_FS,40,,,2012-10-15 08:00
39,176333,129527,129483,3769,3769,PR_FS,40,,,
40,176334,129528,129484,3769,3769,PR_FS,40,,,
41,176335,129529,129485,3769,3769,PR_FS,40,,2012-05-22 16:00,2012-10-09 08:00
42,176336,129530,129486,3769,3769,PR_FS,40,,2012-05-22 16:00,2012-10-09 08:00
43,176337,129531,129487,3769,3769,PR_FS,40,,2012-05-22 16:00,2012-07-26 08:00
44,176338,129532,129488,3769,3769,PR_FS,40,,2012-05-22 16:00,2012-08-18 08:00
45,176339,129533,129489,3769,3769,PR_FS,40,,2012-05-22 16:00,2012-09-01 08:00
46,176340,129466,129548,3769,3769,PR_FS,16,,,
47,176341,129467,129548,3769,3769,PR_FS,40,,,
48,176342,129468,129548,3769,3769,PR_FS,80,,,
49,176343,129469,129548,3769,3769,PR_FS,80,,,
50,176344,129470,129548,3769,3769,PR_FS,80,,,
51,176345,129471,129548,3769,3769,PR_FS,80,,,
52,176346,129472,129548,3769,3769,PR_FS,96,,,2012-08-16 08:00
53,176347,129473,129548,3769,3769,PR_FS,96,,,2012-08-30 08:00
54,176348,129490,129542,3769,3769,PR_FS,16,,,
55,176349,129491,129542,3769,3769,PR_FS,40,,,
56,176350,129492,129542,3769,3769,PR_FS,80,,,
57,176351,129493,129542,3769,3769,PR_FS,80,,,
58,176352,129494,129542,3769,3769,PR_FS,96,,,
59,176353,129495,129542,3769,3769,PR_FS,96,,,
60,176354,129496,129542,3769,3769,PR_FS,112,,,2012-08-16 08:00
61,176355,129497,129542,3769,3769,PR_FS,112,,,2012-08-30 08:00
62,176356,129482,129543,3769,3769,PR_FS,16,,,
63,176357,129483,129543,3769,3769,PR_FS,40,,,
64,176358,129484,129543,3769,3769,PR_FS,80,,,
65,176359,129485,129543,3769,3769,PR_FS,80,,,2012-10-08 08:00
66,176360,129486,129543,3769,3769,PR_FS,80,,,2012-10-08 08:00
67,176361,129487,129543,3769,3769,PR_FS,80,,,2012-07-25 08:00
68,176362,129488,129543,3769,3769,PR_FS,80,,,2012-08-16 08:00
69,176363,129489,129543,3769,3769,PR_FS,80,,,2012-08-30 08:00
70,176364,129557,129549,3769,3769,PR_FS,40,,,
71,176365,129558,129550,3769,3769,PR_FS,40,,,
72,176366,129559,129551,3769,3769,PR_FS,40,,,
73,176367,129560,129552,3769,3769,PR_FS,40,,,
74,176368,129561,129553,3769,3769,PR_FS,40,,2012-05-22 16:00,2012-08-09 08:00
75,176369,129562,129554,3769,3769,PR_FS,40,,,
76,176370,129563,129555,3769,3769,PR_FS,40,,2012-05-22 16:00,2012-08-18 08:00
77,176371,129564,129556,3769,3769,PR_FS,40,,2012-05-22 16:00,2012-09-01 08:00
78,176372,129549,129544,3769,3769,PR_FS,16,,,
79,176373,129550,129544,3769,3769,PR_FS,40,,,
80,176374,129551,129544,3769,3769,PR_FS,80,,,
81,176375,129552,129544,3769,3769,PR_FS,80,,,
82,176376,129553,129544,3769,3769,PR_FS,80,,,2012-08-08 08:00
83,176377,129554,129544,3769,3769,PR_FS,80,,,
84,176378,129555,129544,3769,3769,PR_FS,80,,,2012-08-16 08:00
85,176379,129556,129544,3769,3769,PR_FS,80,,,2012-08-30 08:00
86,176380,129454,129547,3769,3769,PR_FS,16,,,
87,176381,129455,129547,3769,3769,PR_FS,40,,,
88,176382,129456,129547,3769,3769,PR_FS,80,,,2012-07-22 08:00
89,176383,129457,129547,3769,3769,PR_FS,80,,,
90,176384,129458,129547,3769,3769,PR_FS,160,,,2012-08-13 08:00
91,176385,129459,129547,3769,3769,PR_FS,160,,,2012-08-22 08:00
92,176386,129460,129547,3769,3769,PR_FS,160,,,2012-09-04 08:00
93,176387,129461,129547,3769,3769,PR_FS,160,,,2012-09-12 08:00
94,176388,129612,129617,3769,3769,PR_FS,24,,,
95,176389,129462,129613,3769,3769,PR_FS,24,,,
96,176390,129463,129614,3769,3769,PR_FS,24,,,
97,176391,129464,129615,3769,3769,PR_FS,24,,,
98,176392,129465,129616,3769,3769,PR_FS,24,,,
99,176393,129617,129450,3769,3769,PR_SS,0,,,
100,176394,129611,129612,3769,3769,PR_FS,40,,,
101,176395,129575,129546,3769,3769,PR_FS,16,,2012-05-17 16:00,
102,176396,129576,129546,3769,3769,PR_FS,40,,2012-05-21 16:00,2012-05-19 08:00
103,176397,129577,129546,3769,3769,PR_FS,80,,2012-05-27 16:00,2012-06-30 08:00
104,176398,129578,129546,3769,3769,PR_FS,80,,2012-05-27 16:00,2012-07-09 08:00
105,176399,129579,129546,3769,3769,PR_FS,80,,2012-05-27 16:00,2012-07-26 08:00
106,176400,129580,129546,3769,3769,PR_FS,112,,2012-05-31 16:00,2012-07-31 08:00
107,176401,129581,129546,3769,3769,PR_FS,160,,2012-06-07 16:00,2012-08-07 08:00
108,176402,129582,129546,3769,3769,PR_FS,160,,2012-06-07 16:00,2012-08-19 08:00
109,176403,129603,129575,3769,3769,PR_FS,40,,,2012-10-13 08:00
110,176404,129604,129576,3769,3769,PR_FS,40,,2012-05-28 16:00,2012-05-26 08:00
111,176405,129605,129577,3769,3769,PR_FS,40,,2012-06-03 16:00,2012-07-12 08:00
112,176406,129606,129578,3769,3769,PR_FS,40,,2012-06-03 16:00,2012-07-22 08:00
113,176407,129607,129579,3769,3769,PR_FS,40,,2012-06-03 16:00,2012-08-08 08:00
114,176408,129608,129580,3769,3769,PR_FS,40,,2012-06-07 16:00,2012-08-18 08:00
115,176409,129609,129581,3769,3769,PR_FS,40,,2012-06-14 16:00,2012-09-01 08:00
116,176410,129610,129582,3769,3769,PR_FS,40,,2012-06-14 16:00,2012-09-12 08:00
117,176411,129589,129567,3769,3769,PR_FS,40,,,
118,176412,129590,129568,3769,3769,PR_FS,40,,,
119,176413,129591,129569,3769,3769,PR_FS,40,,2012-05-22 16:00,2012-06-30 08:00
120,176414,129592,129570,3769,3769,PR_FS,40,,,
121,176415,129593,129571,3769,3769,PR_FS,40,,2012-05-22 16:00,2012-07-28 08:00
122,176416,129594,129572,3769,3769,PR_FS,40,,2012-05-22 16:00,2012-08-08 08:00
123,176417,129595,129573,3769,3769,PR_FS,40,,2012-05-22 16:00,2012-08-25 08:00
124,176418,129596,129574,3769,3769,PR_FS,40,,2012-05-22 16:00,2012-09-06 08:00
125,176419,129597,129583,3769,3769,PR_FS,40,,2012-05-24 16:00,2012-05-20 08:00
126,176420,129598,129584,3769,3769,PR_FS,40,,2012-05-28 16:00,2012-05-26 08:00
127,176421,129599,129585,3769,3769,PR_FS,40,,2012-06-03 16:00,2012-06-14 08:00
128,176422,129600,129586,3769,3769,PR_FS,40,,2012-06-03 16:00,2012-06-24 08:00
129,176423,129601,129587,3769,3769,PR_FS,40,,2012-06-03 16:00,2012-07-16 08:00
130,176424,129602,129588,3769,3769,PR_FS,40,,2012-06-03 16:00,2012-07-26 08:00
131,176425,129567,129545,3769,3769,PR_FS,0,,,
132,176426,129568,129545,3769,3769,PR_FS,16,,,
133,176427,129569,129545,3769,3769,PR_FS,24,,,2012-06-28 08:00
134,176428,129570,129545,3769,3769,PR_FS,32,,,
135,176429,129571,129545,3769,3769,PR_FS,32,,,2012-07-26 08:00
136,176430,129572,129545,3769,3769,PR_FS,48,,,2012-08-07 08:00
137,176431,129573,129545,3769,3769,PR_FS,80,,,2012-08-23 08:00
138,176432,129574,129545,3769,3769,PR_FS,80,,,2012-09-05 08:00
139,176433,129474,129565,3769,3769,PR_FS,16,,,
140,176434,129475,129565,3769,3769,PR_FS,40,,,
141,176435,129476,129565,3769,3769,PR_FS,80,,,
142,176436,129477,129565,3769,3769,PR_FS,80,,,
143,176437,129478,129565,3769,3769,PR_FS,80,,,
144,176438,129479,129565,3769,3769,PR_FS,80,,,
145,176439,129480,129565,3769,3769,PR_FS,80,,,2012-08-16 08:00
