,taskrsrc_id,task_id,proj_id,cost_qty_link_flag,role_id,acct_id,rsrc_id,pobs_id,skill_level,pend_complete_pct,remain_qty,pend_remain_qty,target_qty,remain_qty_per_hr,target_lag_drtn_hr_cnt,target_qty_per_hr,act_ot_qty,act_reg_qty,relag_drtn_hr_cnt,ot_factor,cost_per_qty,target_cost,act_reg_cost,act_ot_cost,remain_cost,act_start_date,act_end_date,restart_date,reend_date,target_start_date,target_end_date,rem_late_start_date,rem_late_end_date,rollup_dates_flag,target_crv,remain_crv,actual_crv,ts_pend_act_end_flag,guid,rate_type,act_this_per_cost,act_this_per_qty,curv_id,rsrc_type,cost_per_qty_source_type,create_user,create_date,has_rsrchours,taskrsrc_sum_id
0,89519,129938,3769,Y,,,3770,,,,0,,43287.6,0,0,901.825,0,43287.6,0,0,1.00,43287.60,43287.60,0.00,0.00,2012-03-18 00:00,2012-03-18 00:00,,,2012-04-28 08:00,2012-05-03 16:00,,,Y,,,,N,HPfnNtvBakS9V2B3T61XRw,COST_PER_QTY,43287.60,43287.6,,RT_Mat,ST_Rsrc,admin,2012-05-05 12:17,,
1,89520,129938,3769,Y,,,3777,,,,0,,33,0,0,0.6875,0,33,0,,0.00,0.00,0.00,0.00,0.00,2012-03-18 00:00,2012-03-18 00:00,,,2012-04-28 08:00,2012-05-03 16:00,,,Y,,,,N,QZsymr1il0SzuayErDAFaw,COST_PER_QTY,0.00,33,,RT_Labor,ST_Rsrc,admin,2012-05-05 12:17,,
2,89521,130055,3769,Y,,,3770,,,,0,,64931.4,0,0,8116.425,0,64931.4,0,0,1.00,64931.40,64931.40,0.00,0.00,2012-03-19 00:00,2012-03-19 00:00,,,2012-04-09 08:00,2012-04-09 16:00,,,Y,,,,N,zrF68sKN60WKL0NeRKfOCw,COST_PER_QTY,64931.40,64931.4,,RT_Mat,ST_Rsrc,admin,2012-05-05 12:17,,
3,89522,129932,3769,Y,,,3770,,,,0,,57421.8,0,0,1196.2875,0,57421.8,0,0,1.00,57421.80,57421.80,0.00,0.00,2012-03-20 00:00,2012-04-25 00:00,,,2012-05-05 08:00,2012-05-10 16:00,,,Y,,,,N,mXP9zUL2k0u3kBwA5BGXVg,COST_PER_QTY,57421.80,57421.8,,RT_Mat,ST_Rsrc,admin,2012-05-05 12:17,,
4,89523,129942,3769,Y,,,3770,,,,0,,66992.1,0,0,1395.66875,0,66992.1,0,0,1.00,66992.10,66992.10,0.00,0.00,2012-03-25 00:00,2012-03-28 00:00,,,2012-05-12 08:00,2012-05-17 16:00,,,Y,,,,N,kTaw6x7ZFkqI+4wwgqU7HA,COST_PER_QTY,66992.10,66992.1,,RT_Mat,ST_Rsrc,admin,2012-05-05 12:17,,
5,89524,129941,3769,Y,,,3770,,,,0,,66992.1,0,0,8374.0125,0,66992.1,0,0,1.00,66992.10,66992.10,0.00,0.00,2012-04-01 00:00,2012-04-02 00:00,,,2012-04-29 08:00,2012-04-29 16:00,,,Y,,,,N,tjs3fZ8q+Ee41Q5Cw4q5Tw,COST_PER_QTY,66992.10,66992.1,,RT_Mat,ST_Rsrc,admin,2012-05-05 12:17,,
6,89525,129933,3769,Y,,,3770,,,,0,,47511,0,0,494.90625,0,47511,0,0,1.00,47511.00,47511.00,0.00,0.00,2012-04-02 00:00,2012-04-06 00:00,,,2012-05-20 08:00,2012-05-31 16:00,,,Y,,,,N,zagw1zlP/k2jIllwd+vXSQ,COST_PER_QTY,47511.00,47511,,RT_Mat,ST_Rsrc,admin,2012-05-05 12:17,,
7,89526,129944,3769,Y,,,3770,,,,0,,55429.5,0,0,1154.78125,0,55429.5,0,0,1.00,55429.50,55429.50,0.00,0.00,2012-04-06 00:00,2012-04-09 00:00,,,2012-06-02 08:00,2012-06-07 16:00,,,Y,,,,N,BhADAVsYqkONTkRinr0n+g,COST_PER_QTY,55429.50,55429.5,,RT_Mat,ST_Rsrc,admin,2012-05-05 12:17,,
8,89527,129943,3769,Y,,,3770,,,,0,,55429.5,0,0,6928.6875,0,55429.5,0,0,1.00,55429.50,55429.50,0.00,0.00,2012-04-09 00:00,2012-04-09 00:00,,,2012-05-24 08:00,2012-05-24 16:00,,,Y,,,,N,hP34Gkrl002jhOrQDJnwuQ,COST_PER_QTY,55429.50,55429.5,,RT_Mat,ST_Rsrc,admin,2012-05-05 12:17,,
9,89528,129934,3769,Y,,,3770,,,,0,,94443.5,0,0,1311.71527778,0,94443.5,0,0,1.00,94443.50,94443.50,0.00,0.00,2012-04-15 00:00,2012-04-23 00:00,,,2012-04-29 08:00,2012-05-07 16:00,,,Y,,,,N,Q0WAWdTiFEGkTc3L3rNm8Q,COST_PER_QTY,94443.50,94443.5,,RT_Mat,ST_Rsrc,admin,2012-05-05 12:17,,
10,89529,129945,3769,Y,,,3770,,,,0,,110183.85,0,0,2754.59625,0,110183.85,0,0,1.00,110183.85,110183.85,0.00,0.00,2012-04-20 00:00,2012-04-24 00:00,,,2012-05-09 08:00,2012-05-13 16:00,,,Y,,,,N,3TxyLfrZZUGwfo0aI1EHdw,COST_PER_QTY,110183.85,110183.85,,RT_Mat,ST_Rsrc,admin,2012-05-05 12:17,,
11,89530,129946,3769,Y,,,3770,,,,33055.155,,110183.85,13772.98125,0,13772.98125,0,77128.695,0,0,1.00,110183.85,77128.70,0.00,33055.15,2012-04-25 00:00,,2012-05-16 08:00,2012-05-16 10:24,2012-05-15 08:00,2012-05-15 16:00,2012-09-11 13:36,2012-09-11 16:00,Y,,,,N,zBwqy8AI8kSi29xyoFVaDQ,COST_PER_QTY,77128.70,77128.695,,RT_Mat,ST_Rsrc,admin,2012-05-05 12:17,,
12,89531,129936,3769,Y,,,3770,,,,11776,,29440,525.71428571,0,525.71428571,0,17664,0,0,1.00,29440.00,17664.00,0.00,11776.00,2012-05-10 00:00,,2012-05-16 08:00,2012-05-19 14:24,2012-05-22 08:00,2012-05-28 16:00,2012-09-24 09:36,2012-09-26 16:00,Y,,,,N,7vA21Q2t0U+N7Puvm41TMw,COST_PER_QTY,17664.00,17664,,RT_Mat,ST_Rsrc,admin,2012-05-05 12:17,,
13,89532,129937,3769,Y,,,3770,,,,39576,,39576,989.4,0,989.4,0,0,0,0,1.00,39576.00,0.00,0.00,39576.00,,,2012-07-29 08:00,2012-08-02 16:00,2012-07-29 08:00,2012-08-02 16:00,2012-09-29 08:00,2012-10-03 16:00,Y,,,,N,3woczckJkkCp53l++jOBCA,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-05-05 12:17,,
14,89533,129935,3769,Y,,,3770,,,,17366,,17366,271.34375,0,271.34375,0,0,0,0,1.00,17366.00,0.00,0.00,17366.00,,,2012-06-09 10:24,2012-06-18 10:24,2012-06-09 10:24,2012-06-18 10:24,2012-10-06 08:00,2012-10-14 16:00,Y,,,,N,KYa/0CsOl0WzpvKMQMrMPw,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-05-05 12:17,,
15,89534,130486,3769,Y,,,3770,,,,28420,,28420,3552.5,0,3552.5,0,0,0,0,1.00,28420.00,0.00,0.00,28420.00,,,2012-08-14 08:00,2012-08-14 16:00,2012-08-14 08:00,2012-08-14 16:00,2012-10-15 08:00,2012-10-15 16:00,Y,,,,N,YowUHHG+tECzPslrPIEkeA,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-05-05 12:17,,
16,89535,129953,3769,Y,,,3770,,,,0,,51945.12,0,0,1298.628,0,51945.12,0,0,1.00,51945.12,51945.12,0.00,0.00,2012-03-18 00:00,2012-03-18 00:00,,,2012-04-01 08:00,2012-04-05 16:00,,,Y,,,,N,SjMSpQZbOkWbI02i9ll+MA,COST_PER_QTY,51945.12,51945.12,,RT_Mat,ST_Rsrc,admin,2012-05-05 12:17,,
17,89536,130054,3769,Y,,,3770,,,,0,,77917.68,0,0,9739.71,0,77917.68,0,0,1.00,77917.68,77917.68,0.00,0.00,2012-03-18 00:00,2012-03-18 00:00,,,2012-04-09 08:00,2012-04-09 16:00,,,Y,,,,N,Glsu6ZEXmU+9KPvit6IvRQ,COST_PER_QTY,77917.68,77917.68,,RT_Mat,ST_Rsrc,admin,2012-05-05 12:17,,
18,89537,129947,3769,Y,,,3770,,,,0,,68906.16,0,0,1230.46714286,0,68906.16,0,0,1.00,68906.16,68906.16,0.00,0.00,2012-03-19 00:00,2012-03-24 00:00,,,2012-04-29 08:00,2012-05-05 16:00,,,Y,,,,N,+CPP+e33m0ijKPZ9+LBz5g,COST_PER_QTY,68906.16,68906.16,,RT_Mat,ST_Rsrc,admin,2012-05-05 12:17,,
19,89538,129957,3769,Y,,,3770,,,,0,,80390.52,0,0,1435.545,0,80390.52,0,0,1.00,80390.52,80390.52,0.00,0.00,2012-03-25 00:00,2012-03-28 00:00,,,2012-05-07 08:00,2012-05-13 16:00,,,Y,,,,N,8QuyO/DCVUeRiOJUs3bajQ,COST_PER_QTY,80390.52,80390.52,,RT_Mat,ST_Rsrc,admin,2012-05-05 12:17,,
