,actv_code_id,parent_actv_code_id,actv_code_type_id,actv_code_name,short_name,seq_num,color
0,7377,,149,Petrofac Phase,745,0,0000FF
1,7378,7377,149,Foundation Handover,FH,3,0000FF
2,7417,7377,149,Shop Fabrication,745.F,0,0000FF
3,7418,7417,149,2401,2401,1001,0000FF
4,7419,7417,149,3208,3208,1101,0000FF
5,7420,7417,149,3201,3201,1201,0000FF
6,7421,7417,149,3202,3202,1301,0000FF
7,7422,7417,149,505,505,1401,0000FF
8,7423,7417,149,506,506,1501,0000FF
9,7424,7417,149,520,520,1601,0000FF
10,7425,7417,149,521,521,1701,0000FF
11,7426,7417,149,535,535,1801,0000FF
12,7427,7417,149,515,515,1901,0000FF
13,7428,7417,149,511,511,2001,0000FF
14,7429,7417,149,510,510,2101,0000FF
15,7430,7417,149,600,600,2201,0000FF
16,7431,7417,149,601,601,2301,0000FF
17,7432,7417,149,602,602,2401,0000FF
18,7433,7417,149,605,605,2501,0000FF
19,7434,7417,149,606,606,2601,0000FF
20,7435,7417,149,516,516,2701,0000FF
21,7436,7417,149,525,525,2801,0000FF
22,7437,7417,149,526,526,2901,0000FF
23,7438,7417,149,3491,3491,3001,0000FF
24,7439,7417,149,3490,3490,3101,0000FF
25,7440,7377,149,Site,745.S,2,0000FF
26,7441,7440,149,2401,2401,11,0000FF
27,7442,7440,149,3208,3208,101,0000FF
28,7443,7440,149,3201,3201,201,0000FF
29,7444,7440,149,3202,3202,301,0000FF
30,7445,7440,149,505,505,401,0000FF
31,7446,7440,149,506,506,501,0000FF
32,7447,7440,149,520,520,601,0000FF
33,7448,7440,149,521,521,701,0000FF
34,7449,7440,149,535,535,801,0000FF
35,7450,7440,149,515,515,901,0000FF
36,7451,7440,149,511,511,1001,0000FF
37,7452,7440,149,510,510,1101,0000FF
38,7453,7440,149,600,600,1201,0000FF
39,7454,7440,149,601,601,1301,0000FF
40,7455,7440,149,602,602,1401,0000FF
41,7456,7440,149,605,605,1501,0000FF
42,7457,7440,149,606,606,1601,0000FF
43,7458,7440,149,516,516,1701,0000FF
44,7459,7440,149,525,525,1801,0000FF
45,7460,7440,149,526,526,1901,0000FF
46,7461,7440,149,3491,3491,2001,0000FF
47,7462,7440,149,3490,3490,2101,0000FF
48,7463,7440,149,2400,2400,10,0000FF
49,7464,7440,149,2310,2310,9,0000FF
50,7465,7440,149,2311,2311,8,0000FF
51,7466,7440,149,725,725,7,0000FF
52,7467,7440,149,735,735,6,0000FF
53,7468,7440,149,705,705,5,0000FF
54,7469,7440,149,700,700,4,0000FF
55,7470,7440,149,720,720,3,0000FF
56,7471,7440,149,721,721,2,0000FF
57,7472,7440,149,710,710,1,0000FF
58,7473,7440,149,715,715,0,0000FF
59,7606,7378,149,715,715,0,0000FF
60,7607,7378,149,710,710,1,0000FF
61,7608,7378,149,721,721,2,0000FF
62,7609,7378,149,720,720,3,0000FF
63,7610,7378,149,700,700,4,0000FF
64,7611,7378,149,705,705,5,0000FF
65,7612,7378,149,735,735,6,0000FF
66,7613,7378,149,725,725,7,0000FF
67,7614,7378,149,2311,2311,8,0000FF
68,7615,7378,149,2310,2310,9,0000FF
69,7617,7378,149,2401,2401,11,0000FF
70,7618,7378,149,3208,3208,12,0000FF
71,7619,7378,149,3201,3201,13,0000FF
72,7620,7378,149,3202,3202,14,0000FF
73,7621,7378,149,505,505,15,0000FF
74,7622,7378,149,506,506,16,0000FF
75,7623,7378,149,520,520,17,0000FF
76,7624,7378,149,521,521,18,0000FF
77,7625,7378,149,535,535,19,0000FF
78,7626,7378,149,515,515,20,0000FF
79,7627,7378,149,511,511,21,0000FF
80,7628,7378,149,510,510,22,0000FF
81,7629,7378,149,600,600,23,0000FF
82,7631,7378,149,602,602,25,0000FF
83,7632,7378,149,605,605,26,0000FF
84,7633,7378,149,606,606,27,0000FF
85,7634,7378,149,516,516,28,0000FF
86,7635,7378,149,525,525,29,0000FF
87,7636,7378,149,526,526,30,0000FF
88,7637,7378,149,3491,3491,31,0000FF
89,7638,7378,149,3490,3490,32,0000FF
90,7639,7417,149,715,715,0,0000FF
91,7640,7417,149,710,710,1,0000FF
92,7641,7417,149,721,721,101,0000FF
93,7642,7417,149,720,720,201,0000FF
94,7643,7417,149,700,700,301,0000FF
95,7644,7417,149,705,705,401,0000FF
96,7645,7417,149,735,735,501,0000FF
97,7646,7417,149,725,725,601,0000FF
98,7647,7417,149,2311,2311,701,0000FF
99,7648,7417,149,2310,2310,801,0000FF
