,pobs_id,pobs_parent_id,seq_num,pobs_name,pobs_descr,pobs_manager
0,100,,0,POBS_Root,Performing Organization_Root,
1,101,100,0,P,Performing Organization,
2,102,100,100,P-1,Performing Organization,
3,103,100,200,P-2,Performing Organization,
4,104,100,300,P-3,Performing Organization,
5,105,100,400,P-4,Performing Organization,
6,106,100,500,P-5,Performing Organization,
7,107,100,600,P-6,Performing Organization,
8,108,100,0,"?><,./;'[]\=-`","?><,./;'[]\=-`","?><,./;'[]\=-`"
9,109,100,0,"?&gt;&lt;,./;'[]\=-`","?&gt;&lt;,./;'[]\=-`","?&gt;&lt;,./;'[]\=-`"
10,110,100,0,"?&amp;gt;&amp;lt;,./;'[]\=-`","?&amp;gt;&amp;lt;,./;'[]\=-`","?&amp;gt;&amp;lt;,./;'[]\=-`"
11,160,100,0,?><../;'[]\=-`,?><../;'[]\=-`,?><../;'[]\=-`
12,161,100,0,?&gt;&lt;../;'[]\=-`,?&gt;&lt;../;'[]\=-`,?&gt;&lt;../;'[]\=-`
13,163,100,0,P-7,Performing Organization,
14,164,100,0,P-8,Performing Organization,
15,165,100,0,P101,P101 xXxXxXxXxXxXxXxXxX,
16,166,100,100,P102,P102 xXxXxXxXxXxXxXxXxX,
17,167,100,200,P103,P103 xXxXxXxXxXxXxXxXxX,
18,168,100,300,P104,P104 xXxXxXxXxXxXxXxXxX,
19,169,100,400,P105,P105 xXxXxXxXxXxXxXxXxX,
20,170,100,500,P106,P106 xXxXxXxXxXxXxXxXxX,
21,171,100,600,P107,P107 xXxXxXxXxXxXxXxXxX,
22,172,100,0,P108 xXxXxXxXx,P108 xXxXxXxXx,P108 xXxXxXxXx
23,173,100,0,"?><,./;'[]\=-`?><,./;'[]\=-`","?><,./;'[]\=-`",
24,174,100,0,?><,./;'[]\=-`,?><
25,175,100,0,?&gt;&lt;,./;'[]\=-`,?&gt;&lt;
