,wbs_id,proj_id,obs_id,seq_num,proj_node_flag,sum_data_flag,status_code,wbs_short_name,wbs_name,phase_id,parent_wbs_id,ev_user_pct,ev_etc_user_value,orig_cost,indep_remain_total_cost,ann_dscnt_rate_pct,dscnt_period_type,indep_remain_work_qty,anticip_start_date,anticip_end_date,ev_compute_type,ev_etc_compute_type,guid,tmpl_guid,plan_open_state
0,26015,4512,540,200,Y,N,WS_Open,JF721-Extension-1,Baseline-1 Overall Project (WATER STORAGE TANKS (5 UNITS) FOR MA'ADEN PIPELINE PROJECT),1247,26014,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,gjaRdVpsdE6TpWMRf383aA,,
1,26016,4512,540,0,N,N,WS_Open,1,"Master Pump Station (Tank #1,#2,#3)",1253,26015,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,AozP9ryx1EGSuDoZAgdLeg,,
2,26017,4512,540,1,N,N,WS_Open,2,ADWIHI SITE,1253,26015,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,dc99WQEImUmzLhWhZzWVdA,ZKx13TDyCkylKK5BfjjcKg,
3,26018,4512,540,2,N,N,WS_Open,3,TANK#3 100 A,1253,26016,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,RM1WSQIw2kKmTRjMMpEWQw,w4fxJn7p5k2aBHUrJLxj5A,
4,26019,4512,540,0,N,N,WS_Open,1,TANK#4 101 B,1253,26017,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,OhImOrLwH0qViO0zyFLA6Q,w4fxJn7p5k2aBHUrJLxj5A,
5,26020,4512,540,0,N,N,WS_Open,1,TANK#1 100 C,1253,26016,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,B3xcOfzjIkGz5t5dG1vCcg,,
6,26021,4512,540,1,N,N,WS_Open,2,TANK#5 101 C,1253,26017,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,kEyn0MyblkqUp29d4R/JRQ,MMOkCLnfT0KWEvvhM3uq+g,
7,26022,4512,540,1,N,N,WS_Open,2,TANK#2 100 B,1253,26016,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,jPRWqa1Adku3KC79emTBzA,w4fxJn7p5k2aBHUrJLxj5A,
8,26023,4512,540,100,N,N,WS_Open,1,ENGINEERING,1246,26019,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,zWqGbyTaN023MfvIqzR6yA,h+WsP8yybECUDE+eC7xCbw,
9,26024,4512,540,300,N,N,WS_Open,3,"CONSTRUCTION (INCLUDING SHOP FABRICATION,SITE CONSTRUCTION,INSTALLATION WORKS,MOBILIZATION,PAINTING)",1249,26022,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,ZfaBUnmUQkC3mAlo+rGIpg,zBgWt/DdM06fBYSZZzbEtg,
