,rsrc_id,parent_rsrc_id,clndr_id,role_id,shift_id,user_id,pobs_id,guid,rsrc_seq_num,email_addr,employee_code,office_phone,other_phone,rsrc_name,rsrc_short_name,rsrc_title_name,def_qty_per_hr,cost_qty_type,ot_factor,active_flag,auto_compute_act_flag,def_cost_qty_link_flag,ot_flag,curr_id,unit_id,rsrc_type,location_id,rsrc_notes,load_tasks_flag,level_flag,last_checksum
0,6900,6901,6590,1568,,,,OI70w2VtRkOIJvm2LwEYaA,0,,,,,Site Manager,SM,,1,QT_Hour,,Y,Y,N,N,1,,RT_Labor,,,,,
1,6901,,6590,1568,,,,+sqlK8Jemka2xjWogjMtHw,1,,,,,Site Manager,SM-1,,1,QT_Hour,,Y,Y,N,N,1,,RT_Labor,,,,,
2,6902,6901,6590,,,,,hI1AvjvcZkWLG0D5BTIUZg,101,,,,,Third Party,R-42,,1,QT_Hour,,Y,Y,N,N,1,,RT_Labor,,,,,
3,6903,6900,6590,,,,,6ROS52rLgEeZPTIlLW7Dog,3,,,,,Non-Labor,R-2,,1,QT_Hour,,Y,Y,N,N,1,,RT_Labor,,,,,
4,6904,6899,6591,,,,,vJ5pjphInEuF8Tt3QL0jFA,22500,,,,,"Adwhi Site (Tank #1,#2)",P4.2,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
5,6905,6901,6590,,,,,b79IbCIEzkqlDJtw8P2gZw,2,,,,,Labor,R-40,,1.25,QT_Hour,1.5,Y,Y,N,Y,1,,RT_Equip,,,,,
6,6906,6899,6591,,,,,7BqmetfoR0u9gQUrhQH21Q,21600,,,,,"Master Pump Station (Tank #1,#2,#3)",P4.1,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
7,6907,6903,6590,,,,,PFoJByGg90WQ/P8JfbWmHA,1,,,,,Equipment,E-1,,1.25,QT_Hour,,Y,Y,N,N,1,,RT_Equip,,,,,
8,6908,6906,6591,,,,,9pnJ7uUsO06YebCiZ2Ks3w,21600,,,,,Tank #2,P4.1.2,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
9,6909,6904,6591,,,,,hJTf0iAmKUe/KCmuljTghg,22500,,,,,Tank #1,P4.2.1,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
10,6910,6904,6591,,,,,6zTL6kV+2UynwT/YqiW6AQ,22500,,,,,Tank #2,P4.2.2,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
