,task_id,actv_code_type_id,actv_code_id,proj_id
0,141824,149,7472,6971
1,141825,149,7607,6971
2,141826,149,7472,6971
3,141827,149,7472,6971
4,141828,149,7472,6971
5,141829,149,7640,6971
6,141830,149,7640,6971
7,141831,149,7640,6971
8,141832,149,7640,6971
9,141833,149,7640,6971
10,141834,149,7640,6971
11,141835,149,7640,6971
12,141836,149,7640,6971
13,141837,149,7640,6971
14,141838,149,7640,6971
15,141839,149,7640,6971
16,141840,149,7640,6971
17,141841,149,7640,6971
18,141842,149,7640,6971
19,141843,149,7640,6971
20,141844,149,7640,6971
21,141845,149,7640,6971
22,141846,149,7640,6971
23,141847,149,7640,6971
24,141848,149,7640,6971
25,141849,149,7640,6971
26,141850,149,7472,6971
27,141851,149,7472,6971
28,141852,149,7472,6971
29,141853,149,7472,6971
30,141854,149,7472,6971
31,141855,149,7472,6971
32,141856,149,7472,6971
33,141857,149,7472,6971
34,141858,149,7472,6971
35,141859,149,7472,6971
36,141860,149,7472,6971
37,141861,149,7472,6971
38,141862,149,7472,6971
39,141863,149,7472,6971
40,141864,149,7472,6971
41,141865,149,7472,6971
42,141866,149,7472,6971
43,141867,149,7472,6971
44,141868,149,7472,6971
45,141869,149,7472,6971
46,141870,149,7472,6971
47,141871,149,7472,6971
48,141872,149,7472,6971
49,141873,149,7472,6971
50,141874,149,7472,6971
51,141875,149,7472,6971
52,141876,149,7472,6971
53,141877,149,7472,6971
54,141878,149,7472,6971
55,141879,149,7472,6971
56,141880,149,7472,6971
57,141881,149,7472,6971
58,141882,149,7472,6971
59,141883,149,7472,6971
60,141884,149,7472,6971
61,141885,149,7472,6971
62,141886,149,7472,6971
63,141887,149,7472,6971
64,141888,149,7472,6971
65,141889,149,7472,6971
66,141890,149,7472,6971
67,141891,149,7472,6971
68,141892,149,7472,6971
69,141893,149,7472,6971
70,141894,149,7472,6971
71,141895,149,7472,6971
72,141896,149,7472,6971
73,141897,149,7472,6971
74,141898,149,7472,6971
75,141899,149,7472,6971
76,141900,149,7472,6971
77,141901,149,7472,6971
78,141902,149,7472,6971
79,141903,149,7472,6971
80,141904,149,7472,6971
81,141905,149,7472,6971
82,141906,149,7472,6971
83,141907,149,7472,6971
84,141908,149,7472,6971
85,141909,149,7472,6971
86,141910,149,7472,6971
87,141911,149,7472,6971
88,141912,149,7472,6971
89,141913,149,7472,6971
90,141914,149,7472,6971
91,141915,149,7471,6971
92,141916,149,7608,6971
93,141917,149,7471,6971
94,141918,149,7471,6971
95,141919,149,7471,6971
96,141920,149,7471,6971
97,141921,149,7471,6971
98,141922,149,7471,6971
99,141923,149,7471,6971
100,141924,149,7471,6971
101,141925,149,7471,6971
102,141926,149,7471,6971
103,141927,149,7471,6971
104,141928,149,7471,6971
105,141929,149,7471,6971
106,141930,149,7471,6971
107,141931,149,7471,6971
108,141932,149,7471,6971
109,141933,149,7471,6971
110,141934,149,7471,6971
111,141935,149,7471,6971
112,141936,149,7471,6971
113,141937,149,7471,6971
114,141938,149,7471,6971
115,141939,149,7471,6971
116,141940,149,7471,6971
117,141941,149,7471,6971
118,141942,149,7471,6971
119,141943,149,7471,6971
120,141944,149,7471,6971
121,141945,149,7471,6971
122,141946,149,7471,6971
123,141947,149,7471,6971
124,141948,149,7471,6971
125,141949,149,7471,6971
126,141950,149,7471,6971
127,141951,149,7471,6971
128,141952,149,7471,6971
129,141953,149,7471,6971
130,141954,149,7471,6971
131,141955,149,7471,6971
132,141956,149,7471,6971
133,141957,149,7471,6971
134,141958,149,7471,6971
135,141959,149,7471,6971
136,141960,149,7471,6971
137,141961,149,7471,6971
138,141962,149,7471,6971
139,141963,149,7471,6971
140,141964,149,7471,6971
141,141965,149,7471,6971
142,141966,149,7471,6971
143,141967,149,7471,6971
144,141968,149,7471,6971
145,141969,149,7471,6971
146,141970,149,7471,6971
147,141971,149,7471,6971
148,141972,149,7471,6971
149,141973,149,7471,6971
150,141974,149,7471,6971
151,141975,149,7471,6971
152,141976,149,7471,6971
153,141977,149,7471,6971
154,141978,149,7471,6971
155,141979,149,7471,6971
156,141980,149,7641,6971
157,141981,149,7641,6971
158,141982,149,7641,6971
159,141983,149,7641,6971
