,task_pred_id,task_id,pred_task_id,proj_id,pred_proj_id,pred_type,lag_hr_cnt,float_path,aref,arls
0,40803,102056,102055,4512,4512,PR_FS,0,,2012-07-02 11:00,2012-08-18 08:00
1,40804,102057,102056,4512,4512,PR_FS,0,,2012-07-08 12:00,2012-08-27 09:00
2,40805,102058,102057,4512,4512,PR_FS,0,,2012-07-09 10:00,2012-08-28 07:00
3,40806,102059,102058,4512,4512,PR_FS,0,,2012-07-15 11:00,2012-09-03 08:00
4,40807,102062,102061,4512,4512,PR_FS,0,,2012-07-18 13:00,2012-09-25 11:00
5,40808,102063,102062,4512,4512,PR_FS,0,,2012-07-23 08:00,2012-09-29 16:00
6,40809,102064,102063,4512,4512,PR_FS,0,,2012-07-23 16:00,2012-09-30 14:00
7,40810,102065,102064,4512,4512,PR_FS,0,,2012-07-25 12:00,2012-10-03 08:00
8,40811,102085,102084,4512,4512,PR_FS,0,,2012-07-03 17:00,2012-09-05 12:00
9,40812,102087,102086,4512,4512,PR_FS,0,,2012-07-27 10:30,2012-12-28 09:30
10,40813,102089,102088,4512,4512,PR_FS,0,,2013-05-04 16:00,2013-06-20 08:00
11,40814,102081,102080,4512,4512,PR_FS,0,,2012-07-12 12:00,2012-10-02 10:00
12,40815,102083,102082,4512,4512,PR_FS,0,,2012-07-27 10:30,2012-12-28 09:30
13,40816,102082,102086,4512,4512,PR_SS,0,,2012-07-24 14:00,2012-09-29 08:00
14,40817,102111,102082,4512,4512,PR_SS,0,,2012-07-24 14:00,2012-09-29 08:00
15,40818,102112,102111,4512,4512,PR_FS,0,,2012-07-27 10:30,2012-12-28 09:30
16,40819,102114,102113,4512,4512,PR_FS,0,,2013-05-29 13:00,2013-07-15 10:00
17,40820,102091,102090,4512,4512,PR_FS,0,,2012-07-20 11:30,2012-09-08 11:00
18,40821,102070,102069,4512,4512,PR_FS,0,,2012-08-01 11:00,2012-12-17 08:00
19,40822,102097,102069,4512,4512,PR_SS,0,,2012-07-27 10:30,2012-09-29 08:00
20,40823,102098,102097,4512,4512,PR_FS,0,,2012-08-01 11:00,2012-10-09 09:00
21,40824,102123,102122,4512,4512,PR_FS,0,,2012-08-08 10:00,2012-10-25 11:00
22,40825,102072,102070,4512,4512,PR_FS,0,,2012-08-15 17:00,2012-12-31 14:00
