,taskrsrc_id,task_id,proj_id,cost_qty_link_flag,role_id,acct_id,rsrc_id,pobs_id,skill_level,remain_qty,target_qty,remain_qty_per_hr,target_lag_drtn_hr_cnt,target_qty_per_hr,act_ot_qty,act_reg_qty,relag_drtn_hr_cnt,ot_factor,cost_per_qty,target_cost,act_reg_cost,act_ot_cost,remain_cost,act_start_date,act_end_date,restart_date,reend_date,target_start_date,target_end_date,rem_late_start_date,rem_late_end_date,rollup_dates_flag,target_crv,remain_crv,actual_crv,ts_pend_act_end_flag,guid,rate_type,act_this_per_cost,act_this_per_qty,curv_id,rsrc_type,cost_per_qty_source_type,create_user,create_date,has_rsrchours,taskrsrc_sum_id
0,83241,101717,4512,Y,,,7070,,,0.6,0.6,0.025,0,0.025,0,0,0,0,124569.9100,74741.9460,0.0000,0.0000,74741.9460,,,2012-07-01 13:00,2012-07-03 17:00,2012-07-01 13:00,2012-07-03 17:00,2012-07-30 15:00,2012-08-02 09:00,Y,,,,N,OSPO8ziydk22NJA2ZvIOyA,COST_PER_QTY,0.0000,0,,RT_Mat,ST_Rsrc,admin,2013-11-05 11:09,,
1,83242,101718,4512,Y,,,7070,,,0.4,0.4,0.00714286,0,0.00714286,0,0,0,0,124569.9100,49827.9640,0.0000,0.0000,49827.9640,,,2012-07-04 07:00,2012-07-10 08:00,2012-07-04 07:00,2012-07-10 08:00,2012-08-02 09:00,2012-08-08 10:00,Y,,,,N,4WaMbMTvt0Sb2PnAyvUSNw,COST_PER_QTY,0.0000,0,,RT_Mat,ST_Rsrc,admin,2013-11-05 11:09,,
2,83243,101719,4512,Y,,,7030,,,0.1,0.1,0.00416667,0,0.00416667,0,0,0,0,49827.9600,4982.7960,0.0000,0.0000,4982.7960,,,2012-07-24 14:00,2012-07-27 10:30,2012-07-24 14:00,2012-07-27 10:30,2012-09-03 16:00,2012-09-06 10:00,Y,,,,N,I1eLHGN850S53MsrgHjGcA,COST_PER_QTY,0.0000,0,,RT_Mat,ST_Rsrc,admin,2013-11-05 11:09,,
3,83244,101720,4512,Y,,,7030,,,0.2,0.2,0.00092593,0,0.00092593,0,0,0,0,49827.9600,9965.5920,0.0000,0.0000,9965.5920,,,2012-07-27 10:30,2012-08-22 14:00,2012-07-27 10:30,2012-08-22 14:00,2012-12-22 11:00,2013-01-14 12:00,Y,,,,N,UmOXhsvBeEysrzkiDUka9A,COST_PER_QTY,0.0000,0,,RT_Mat,ST_Rsrc,admin,2013-11-05 11:09,,
4,83245,101721,4512,Y,1581,,6965,,3,500,500,2.08333333,0,2.08333333,0,0,0,1.5,,0.0000,0.0000,0.0000,0.0000,,,2013-04-25 08:00,2013-05-21 08:00,2013-04-25 08:00,2013-05-21 08:00,2013-05-24 12:30,2013-06-19 10:00,Y,,,,N,AV1WAOImvkaE7bUdOSKU8Q,COST_PER_QTY,0.0000,0,,RT_Labor,ST_Rsrc,admin,2013-11-05 11:09,,
5,83246,101721,4512,Y,1578,,6964,,3,250,250,1.04166667,0,1.04166667,0,0,0,1.5,,0.0000,0.0000,0.0000,0.0000,,,2013-04-25 08:00,2013-05-21 08:00,2013-04-25 08:00,2013-05-21 08:00,2013-05-24 12:30,2013-06-19 10:00,Y,,,,N,jq2bK+UNfEGeMmlhSawNeg,COST_PER_QTY,0.0000,0,,RT_Labor,ST_Rsrc,admin,2013-11-05 11:09,,
6,83247,101721,4512,Y,1574,,6942,,2,250,250,1.04166667,0,1.04166667,0,0,0,1.5,,0.0000,0.0000,0.0000,0.0000,,,2013-04-25 08:00,2013-05-21 08:00,2013-04-25 08:00,2013-05-21 08:00,2013-05-24 12:30,2013-06-19 10:00,Y,,,,N,u3uV8RssXUmuTqkPtHH9JA,COST_PER_QTY,0.0000,0,,RT_Labor,ST_Rsrc,admin,2013-11-05 11:09,,
7,83248,101721,4512,Y,,,6921,,,250,250,1.04166667,0,1.04166667,0,0,0,,,0.0000,0.0000,0.0000,0.0000,,,2013-04-25 08:00,2013-05-21 08:00,2013-04-25 08:00,2013-05-21 08:00,2013-05-24 12:30,2013-06-19 10:00,Y,,,,N,JaZ1w0qaAEGIjO0b+P0Mbg,COST_PER_QTY,0.0000,0,,RT_Equip,ST_Rsrc,admin,2013-11-05 11:09,,
8,83249,101721,4512,Y,1575,,6951,,3,250,250,1.04166667,0,1.04166667,0,0,0,1.5,,0.0000,0.0000,0.0000,0.0000,,,2013-04-25 08:00,2013-05-21 08:00,2013-04-25 08:00,2013-05-21 08:00,2013-05-24 12:30,2013-06-19 10:00,Y,,,,N,GiPBGCMbv0ynBkjkyM97aQ,COST_PER_QTY,0.0000,0,,RT_Labor,ST_Rsrc,admin,2013-11-05 11:09,,
9,83250,101721,4512,Y,1577,,6967,,3,250,250,1.04166667,0,1.04166667,0,0,0,1.5,,0.0000,0.0000,0.0000,0.0000,,,2013-04-25 08:00,2013-05-21 08:00,2013-04-25 08:00,2013-05-21 08:00,2013-05-24 12:30,2013-06-19 10:00,Y,,,,N,gw4+cY7Sg0WehxFcY74FSQ,COST_PER_QTY,0.0000,0,,RT_Labor,ST_Rsrc,admin,2013-11-05 11:09,,
10,83251,101721,4512,Y,,,6925,,,250,250,1.04166667,0,1.04166667,0,0,0,,,0.0000,0.0000,0.0000,0.0000,,,2013-04-25 08:00,2013-05-21 08:00,2013-04-25 08:00,2013-05-21 08:00,2013-05-24 12:30,2013-06-19 10:00,Y,,,,N,ns0jN3x34U+cvjJPlQ8yYA,COST_PER_QTY,0.0000,0,,RT_Equip,ST_Rsrc,admin,2013-11-05 11:09,,
11,83252,101721,4512,Y,,,6922,,,250,250,1.04166667,0,1.04166667,0,0,0,,,0.0000,0.0000,0.0000,0.0000,,,2013-04-25 08:00,2013-05-21 08:00,2013-04-25 08:00,2013-05-21 08:00,2013-05-24 12:30,2013-06-19 10:00,Y,,,,N,mxHuuVUBJk2f7rh2ZFgvow,COST_PER_QTY,0.0000,0,,RT_Equip,ST_Rsrc,admin,2013-11-05 11:09,,
12,83253,101721,4512,Y,1571,,6915,,2,250,250,1.04166667,0,1.04166667,0,0,0,1.5,,0.0000,0.0000,0.0000,0.0000,,,2013-04-25 08:00,2013-05-21 08:00,2013-04-25 08:00,2013-05-21 08:00,2013-05-24 12:30,2013-06-19 10:00,Y,,,,N,89WNZHmBu02SmeR+pL5LzA,COST_PER_QTY,0.0000,0,,RT_Labor,ST_Rsrc,admin,2013-11-05 11:09,,
13,83254,101721,4512,Y,1572,,6935,,3,250,250,1.04166667,0,1.04166667,0,0,0,1.5,,0.0000,0.0000,0.0000,0.0000,,,2013-04-25 08:00,2013-05-21 08:00,2013-04-25 08:00,2013-05-21 08:00,2013-05-24 12:30,2013-06-19 10:00,Y,,,,N,9eW9qP1bf02bOzD4NLjPcA,COST_PER_QTY,0.0000,0,,RT_Labor,ST_Rsrc,admin,2013-11-05 11:09,,
14,83255,101721,4512,Y,1573,,6928,,3,250,250,1.04166667,0,1.04166667,0,0,0,1.5,,0.0000,0.0000,0.0000,0.0000,,,2013-04-25 08:00,2013-05-21 08:00,2013-04-25 08:00,2013-05-21 08:00,2013-05-24 12:30,2013-06-19 10:00,Y,,,,N,jtOFUBA4W0y44/vRezZxMg,COST_PER_QTY,0.0000,0,,RT_Labor,ST_Rsrc,admin,2013-11-05 11:09,,
