,wbs_memo_id,proj_id,memo_type_id,wbs_id,wbs_memo
0,5939,4512,727,26016,<HTML><BODY bgColor=#ffffff><P>RECIEVED TANK COORIDNATES <U><STRONG>7TH OF OCTOBER 2012</STRONG></U>&nbsp;FROM RADICON </P><P>WAITING FOR JUSTIFICATION LETTER FROM RADICON TO PRESENT TO MA'ADEN FOR PROJECT TIME EXTENSION</P></BODY></HTML>
1,5940,4512,20,26016,"<HTML><BODY bgColor=#ffffff>DESIGN,ENGINEERING,SUPPLY OF MATERIALS,MANUFACTURING,PREFABRICATION,ASSUMBLY,PAINTING&amp;COATING,ERECTION,SHOP TESTING,INSPECTION,PACKING AND DELIEVERY TO SITE,OPERATING &amp; MAINTENANCE MANUALS AND SPARE PARTS PACKADGE</BODY></HTML>"
2,5941,4512,20,26018,"<HTML><BODY bgColor=#ffffff>DESIGN,ENGINEERING,SUPPLY OF MATERIALS,MANUFACTURING,PREFABRICATION,ASSUMBLY,PAINTING&amp;COATING,ERECTION,SHOP TESTING,INSPECTION,PACKING AND DELIEVERY TO SITE,OPERATING &amp; MAINTENANCE MANUALS AND SPARE PARTS PACKADGE</BODY></HTML>"
3,5942,4512,20,26022,"<HTML><BODY bgColor=#ffffff>DESIGN,ENGINEERING,SUPPLY OF MATERIALS,MANUFACTURING,PREFABRICATION,ASSUMBLY,PAINTING&amp;COATING,ERECTION,SHOP TESTING,INSPECTION,PACKING AND DELIEVERY TO SITE,OPERATING &amp; MAINTENANCE MANUALS AND SPARE PARTS PACKADGE</BODY></HTML>"
4,5943,4512,20,26020,"<HTML><BODY bgColor=#ffffff>DESIGN,ENGINEERING,SUPPLY OF MATERIALS,MANUFACTURING,PREFABRICATION,ASSUMBLY,PAINTING&amp;COATING,ERECTION,SHOP TESTING,INSPECTION,PACKING AND DELIEVERY TO SITE,OPERATING &amp; MAINTENANCE MANUALS AND SPARE PARTS PACKADGE</BODY></HTML>"
5,5944,4512,727,26017,<HTML><BODY bgColor=#ffffff><P>RECIEVED TANK COORIDNATES <U><STRONG>4TH OF OCTOBER 2012</STRONG></U> FROM RADICON</P><P>WAITING FOR JUSTIFICATION LETTER FROM RADICON TO PRESENT TO MA'ADEN FOR PROJECT TIME EXTENSION</P>  </BODY></HTML>
6,5945,4512,20,26017,"<HTML><BODY bgColor=#ffffff>DESIGN,ENGINEERING,SUPPLY OF MATERIALS,MANUFACTURING,PREFABRICATION,ASSUMBLY,PAINTING&amp;COATING,ERECTION,SHOP TESTING,INSPECTION,PACKING AND DELIEVERY TO SITE,OPERATING &amp; MAINTENANCE MANUALS AND SPARE PARTS PACKADGE</BODY></HTML>"
7,5946,4512,20,26019,"<HTML><BODY bgColor=#ffffff>DESIGN,ENGINEERING,SUPPLY OF MATERIALS,MANUFACTURING,PREFABRICATION,ASSUMBLY,PAINTING&amp;COATING,ERECTION,SHOP TESTING,INSPECTION,PACKING AND DELIEVERY TO SITE,OPERATING &amp; MAINTENANCE MANUALS AND SPARE PARTS PACKADGE</BODY></HTML>"
8,5947,4512,20,26021,"<HTML><BODY bgColor=#ffffff>DESIGN,ENGINEERING,SUPPLY OF MATERIALS,MANUFACTURING,PREFABRICATION,ASSUMBLY,PAINTING&amp;COATING,ERECTION,SHOP TESTING,INSPECTION,PACKING AND DELIEVERY TO SITE,OPERATING &amp; MAINTENANCE MANUALS AND SPARE PARTS PACKADGE</BODY></HTML>"
9,6746,6764,727,35198,<HTML><BODY bgColor=#ffffff><P>RECIEVED TANK COORIDNATES <U><STRONG>7TH OF OCTOBER 2012</STRONG></U>&nbsp;FROM RADICON </P><P>WAITING FOR JUSTIFICATION LETTER FROM RADICON TO PRESENT TO MA'ADEN FOR PROJECT TIME EXTENSION</P></BODY></HTML>
10,6747,6764,20,35198,"<HTML><BODY bgColor=#ffffff>DESIGN,ENGINEERING,SUPPLY OF MATERIALS,MANUFACTURING,PREFABRICATION,ASSUMBLY,PAINTING&amp;COATING,ERECTION,SHOP TESTING,INSPECTION,PACKING AND DELIEVERY TO SITE,OPERATING &amp; MAINTENANCE MANUALS AND SPARE PARTS PACKADGE</BODY></HTML>"
