,task_id,proj_id,wbs_id,clndr_id,est_wt,phys_complete_pct,rev_fdbk_flag,lock_plan_flag,auto_compute_act_flag,complete_pct_type,task_type,duration_type,review_type,status_code,task_code,task_name,rsrc_id,total_float_hr_cnt,free_float_hr_cnt,remain_drtn_hr_cnt,act_work_qty,remain_work_qty,target_work_qty,target_drtn_hr_cnt,target_equip_qty,act_equip_qty,remain_equip_qty,cstr_date,act_start_date,act_end_date,late_start_date,late_end_date,expect_end_date,early_start_date,early_end_date,restart_date,reend_date,target_start_date,target_end_date,review_end_date,rem_late_start_date,rem_late_end_date,cstr_type,priority_type,suspend_date,resume_date,float_path,float_path_order,guid,tmpl_guid,cstr_date2,cstr_type2,driving_path_flag,act_this_per_work_qty,act_this_per_equip_qty,external_early_start_date,external_late_end_date,create_date,update_date,create_user,update_user
0,153280,6251,24832,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1000,Excavation,,8,0,376,0,0,0,376,0,0,0,,,,2012-08-11 08:00,2012-09-26 17:00,,2012-08-10 08:00,2012-09-25 17:00,2012-08-10 08:00,2012-09-25 17:00,2012-08-10 08:00,2012-09-25 17:00,,2012-08-11 08:00,2012-09-26 17:00,,PT_Normal,,,,,L/Se6nhDrUO8gd0Mt+quNg,,,,Y,0,0,,,2012-08-05 01:36,2012-08-05 10:39,admin,admin
1,153281,6251,24832,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1010,Lean concrete under foundation,,8,0,376,0,0,0,376,0,0,0,,,,2012-08-17 08:00,2012-10-02 17:00,,2012-08-16 08:00,2012-10-01 17:00,2012-08-16 08:00,2012-10-01 17:00,2012-08-16 08:00,2012-10-01 17:00,,2012-08-17 08:00,2012-10-02 17:00,,PT_Normal,,,,,5H1Wf0HfFUSjxo/FV8ITcA,,,,Y,0,0,,,2012-08-05 01:36,2012-08-05 10:39,admin,admin
2,153282,6251,24832,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1020,R.C foundation,,8,0,376,0,0,0,376,0,0,0,,,,2012-08-20 08:00,2012-10-05 17:00,,2012-08-19 08:00,2012-10-04 17:00,2012-08-19 08:00,2012-10-04 17:00,2012-08-19 08:00,2012-10-04 17:00,,2012-08-20 08:00,2012-10-05 17:00,,PT_Normal,,,,,go2fcu+xSUil0atA9z5SCQ,,,,Y,0,0,,,2012-08-05 01:36,2012-08-05 10:39,admin,admin
3,153283,6251,24832,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1030,R.C for retaining wall,,56,48,376,0,0,0,376,0,0,0,,,,2012-08-29 08:00,2012-10-14 17:00,,2012-08-22 08:00,2012-10-07 17:00,2012-08-22 08:00,2012-10-07 17:00,2012-08-22 08:00,2012-10-07 17:00,,2012-08-29 08:00,2012-10-14 17:00,,PT_Normal,,,,,RoXiPh/FBkan+v702kG8Eg,,,,N,0,0,,,2012-08-05 01:36,2012-08-05 10:39,admin,admin
4,153284,6251,24832,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1040,Masonry works for brick wall,,8,0,376,0,0,0,376,0,0,0,,,,2012-08-26 08:00,2012-10-11 17:00,,2012-08-25 08:00,2012-10-10 17:00,2012-08-25 08:00,2012-10-10 17:00,2012-08-25 08:00,2012-10-10 17:00,,2012-08-26 08:00,2012-10-11 17:00,,PT_Normal,,,,,CsyLCueZN0epePK3svH/zA,,,,Y,0,0,,,2012-08-05 01:36,2012-08-05 10:39,admin,admin
5,153285,6251,24832,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1050,Concrete beam over brick wall,,8,0,376,0,0,0,376,0,0,0,,,,2012-08-29 08:00,2012-10-14 17:00,,2012-08-28 08:00,2012-10-13 17:00,2012-08-28 08:00,2012-10-13 17:00,2012-08-28 08:00,2012-10-13 17:00,,2012-08-29 08:00,2012-10-14 17:00,,PT_Normal,,,,,3RT5ngVKcUS8Nsmna4i/NQ,,,,Y,0,0,,,2012-08-05 01:36,2012-08-05 10:39,admin,admin
6,153286,6251,24832,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1060,Bituminous insulation,,8,0,376,0,0,0,376,0,0,0,,,,2012-09-01 08:00,2012-10-17 17:00,,2012-08-31 08:00,2012-10-16 17:00,2012-08-31 08:00,2012-10-16 17:00,2012-08-31 08:00,2012-10-16 17:00,,2012-09-01 08:00,2012-10-17 17:00,,PT_Normal,,,,,pWkqffx5u0iDh9MWPNruqQ,,,,Y,0,0,,,2012-08-05 01:36,2012-08-05 10:39,admin,admin
7,153287,6251,24832,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1070,Backfilling around foundations,,8,0,384,0,0,0,384,0,0,0,,,,2012-09-04 08:00,2012-10-21 17:00,,2012-09-03 08:00,2012-10-20 17:00,2012-09-03 08:00,2012-10-20 17:00,2012-09-03 08:00,2012-10-20 17:00,,2012-09-04 08:00,2012-10-21 17:00,,PT_Normal,,,,,eQ5XS2RBjUqCM4KzmNpo/A,,,,Y,0,0,,,2012-08-05 01:36,2012-08-05 10:39,admin,admin
8,153289,6251,24827,794,0,0,N,N,N,CP_Drtn,TT_Mile,DT_FixedDrtn,RV_OK,TK_NotStart,A1080,Letter of acceptance,,8,0,0,0,0,0,0,0,0,0,,,,2012-08-08 08:00,2012-08-08 08:00,,2012-08-07 08:00,2012-08-07 08:00,2012-08-07 08:00,2012-08-07 08:00,2012-08-07 08:00,2012-08-07 08:00,,2012-08-08 08:00,2012-08-08 08:00,,PT_Normal,,,,,jTWkq2Nhy0mbZzLOj90EwA,,,,Y,0,0,,,2012-08-05 01:41,2012-08-05 13:20,admin,admin
9,153290,6251,24827,794,0,0,N,N,N,CP_Drtn,TT_Mile,DT_FixedDrtn,RV_OK,TK_NotStart,A1090,Site handing over,,8,0,0,0,0,0,0,0,0,0,,,,2012-08-08 08:00,2012-08-08 08:00,,2012-08-07 08:00,2012-08-07 08:00,2012-08-07 08:00,2012-08-07 08:00,2012-08-07 08:00,2012-08-07 08:00,,2012-08-08 08:00,2012-08-08 08:00,,PT_Normal,,,,,9L/JOb0Qxk+4fGuarsxxvg,,,,Y,0,0,,,2012-08-05 01:41,2012-08-05 13:20,admin,admin
