,task_pred_id,task_id,pred_task_id,proj_id,pred_proj_id,pred_type,lag_hr_cnt,float_path,aref,arls
0,236730,153282,153281,6251,6251,PR_SS,24,,2012-08-18 17:00,2012-07-01 08:00
1,236731,153283,153282,6251,6251,PR_SS,24,,2012-08-21 17:00,2012-07-10 08:00
2,236733,153285,153284,6251,6251,PR_SS,24,,2012-08-27 17:00,2012-07-10 08:00
3,236734,153286,153285,6251,6251,PR_SS,24,,2012-08-30 17:00,2012-07-13 08:00
4,236735,153287,153286,6251,6251,PR_SS,24,,2012-09-02 17:00,2012-07-16 08:00
5,236736,153280,153295,6251,6251,PR_SS,24,,2012-08-09 17:00,2012-08-03 08:00
6,236741,153302,153282,6251,6251,PR_SS,24,,2012-08-21 17:00,2012-07-04 08:00
7,236742,153284,153302,6251,6251,PR_SS,24,,2012-08-24 17:00,2012-07-07 08:00
8,236743,153286,153283,6251,6251,PR_SS,24,,2012-08-24 17:00,2012-07-13 08:00
9,236748,153290,153289,6251,6251,PR_FS,0,,2012-08-07 08:00,2012-08-08 08:00
10,236749,153291,153290,6251,6251,PR_FS,0,,2012-08-07 08:00,2012-08-08 08:00
11,236750,153293,153291,6251,6251,PR_FS,0,,2012-08-07 08:00,2012-08-08 08:00
12,236751,153299,153293,6251,6251,PR_FS,0,,2012-08-07 08:00,2012-08-08 08:00
13,236752,153295,153299,6251,6251,PR_FS,0,,2012-08-07 08:00,2012-08-08 08:00
14,236753,153296,153287,6251,6251,PR_FF,0,,2012-10-17 08:00,2012-10-21 17:00
15,236755,153307,153306,6251,6251,PR_FS,0,,2012-08-07 17:00,2012-08-13 08:00
16,236756,153306,153295,6251,6251,PR_SS,0,,2012-08-07 08:00,2012-08-07 08:00
17,236757,153308,153280,6251,6251,PR_SS,24,,2012-08-12 17:00,2012-06-25 08:00
18,236758,153281,153308,6251,6251,PR_SS,24,,2012-08-15 17:00,2012-06-28 08:00
19,236759,153308,153307,6251,6251,PR_FS,0,,2012-08-08 17:00,2012-08-14 08:00
20,236832,153292,153287,6251,6251,PR_FS,0,,2012-10-20 17:00,"2012-10-21 17:00
%E"
