,actv_code_id,parent_actv_code_id,actv_code_type_id,actv_code_name,short_name,seq_num
0,12882,,8366,P.C For Footings,P.C For Footings,2
1,12883,,8366,R.C For Footings,R.C For Footings,3
2,12884,,8366,Piles,Piles,1
3,12885,,8366,Excavation,Excavation,0
4,12886,,8366,Backfill Works,Backfill Works,100
5,12887,,8366,Insulation Works,Insulation Works,200
6,12888,,8366,Slab On Grade,Slab On Grade,300
7,12889,,8366,Columns,Columns,400
8,12890,,8366,Slab,Slab,500
9,12891,,8366,Steel Bridge,Steel Bridge,600
10,12892,,8366,Demolishing Works,Demolishing Works,700
11,12893,,8366,Strengthening Works,Strengthening Works,800
