,wbs_id,proj_id,obs_id,seq_num,est_wt,proj_node_flag,sum_data_flag,status_code,wbs_short_name,wbs_name,phase_id,parent_wbs_id,ev_user_pct,ev_etc_user_value,orig_cost,indep_remain_total_cost,ann_dscnt_rate_pct,dscnt_period_type,indep_remain_work_qty,anticip_start_date,anticip_end_date,ev_compute_type,ev_etc_compute_type,guid,tmpl_guid,plan_open_state
0,18111,3211,565,608,1,Y,N,WS_Open,TERMINAL-2,Terminal Building 2,,10472,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,Kiv42jlYL0CgmZDxKGE64A,,
1,18113,3211,565,0,1,N,N,WS_Open,1,Project Start,,18111,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,SxxFrzblKkG1IHLLVuUQpA,,
2,18114,3211,565,1,1,N,N,WS_Open,2,Building A,,18111,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,aJO6+3rY4kaH5VHNhRkSXQ,,
3,18115,3211,565,500,1,N,N,WS_Open,7,Project End,,18111,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,NBNReNHnlEG7ggVb5mC4LQ,,
4,18119,3211,565,1,1,N,N,WS_Open,5,Part 2,,18114,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,ZCNEs+XVpkeGo060bTKl2g,,
5,18120,3211,565,700,1,N,N,WS_Open,6,Building A Finish,,18114,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,nYdJghnAPkeSiGC0thhCpQ,,
6,18121,3211,565,2,1,N,N,WS_Open,1,Part 3,,18114,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,ITKAux+KfECDPNZfffEzuA,2Oy+bXcQ8keLSDJFtqaOhQ,
7,18122,3211,565,600,1,N,N,WS_Open,3,Part 4,,18114,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,o+ykM2LOqEiHhZkV3Y4p3g,HzokKlDV3Uev+w8oyMk+Dg,
8,18126,3211,565,0,1,N,N,WS_Open,4,Part 1,,18114,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,wc1HY5zvIkiqlIljlTHOiA,,
9,18134,3211,565,1,1,N,N,WS_Open,2,Second Basement Floor,,18119,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,kHoyE4JhAEOZgFqchaJ2qg,/RdUZ4DVmUqyeGtOhaSzJA,
10,18135,3211,565,0,1,N,N,WS_Open,1,Foundations (-1.4),,18126,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,GGDGcHwfq0uFIHpxfmpEZA,,
11,18137,3211,565,0,1,N,N,WS_Open,1,Foundations,,18119,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,gbG+ksdax0CAzvrz44ottg,IHQeWPV2fEiz5o7BJIY/sA,
12,18138,3211,565,2,1,N,N,WS_Open,3,First Basement Floor,,18119,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,q6TsyqQVR0KAySlRX8k2qw,JelJ6nfI70mQzaOVBnynNA,
13,18139,3211,565,102,1,N,N,WS_Open,4,Ground Floor,,18119,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,wpswFvxS8E6wA3/Ficrm4A,,
14,18140,3211,565,1,1,N,N,WS_Open,2,First Basement Floor,,18121,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,2m2DiyJ+UUisZIQ1d3oEMg,/RdUZ4DVmUqyeGtOhaSzJA,
15,18141,3211,565,2,1,N,N,WS_Open,4,Ground Floor,,18121,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,Z3qR0MeH9UyG33DYqJnA6w,u0j2aX/5g0mD5tjonwTTAQ,
16,18142,3211,565,0,1,N,N,WS_Open,1,Foundations & SOG Works,,18121,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,WYBCzlviYkW1wUWSf8aJdg,IHQeWPV2fEiz5o7BJIY/sA,
17,18143,3211,565,102,1,N,N,WS_Open,4,Backfill And Insulation,,18126,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,ghmUCj34YU2wmvoINBG02w,,
18,18144,3211,565,102,1,N,N,WS_Open,5,First Floor,,18122,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,y4impe3/e0CbE3Es9vR/NA,ILAqKys/Wk+JPIfyFXrSnA,
19,18146,3211,565,1,1,N,N,WS_Open,3,Foundations (+3),,18126,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,p153DpRVjUKWqw4qTDdAWA,IHQeWPV2fEiz5o7BJIY/sA,
20,18147,3211,565,3,1,N,N,WS_Open,4,Ground Floor,,18122,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,IKXAtIYG60eXNPDFhFEn3Q,u0j2aX/5g0mD5tjonwTTAQ,
21,18152,3211,565,0,1,N,N,WS_Open,1,Foundations,,18122,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,xG/neDY6O0mLdmrIkW1WkQ,5M4owGbRE0OKtHm49m87SQ,
