,task_id,proj_id,wbs_id,clndr_id,est_wt,phys_complete_pct,rev_fdbk_flag,lock_plan_flag,auto_compute_act_flag,complete_pct_type,task_type,duration_type,review_type,status_code,task_code,task_name,rsrc_id,total_float_hr_cnt,free_float_hr_cnt,remain_drtn_hr_cnt,act_work_qty,remain_work_qty,target_work_qty,target_drtn_hr_cnt,target_equip_qty,act_equip_qty,remain_equip_qty,cstr_date,act_start_date,act_end_date,late_start_date,late_end_date,expect_end_date,early_start_date,early_end_date,restart_date,reend_date,target_start_date,target_end_date,review_end_date,rem_late_start_date,rem_late_end_date,cstr_type,priority_type,suspend_date,resume_date,float_path,float_path_order,guid,tmpl_guid,cstr_date2,cstr_type2,driving_path_flag,act_this_per_work_qty,act_this_per_equip_qty,external_early_start_date,external_late_end_date,create_date,update_date,create_user,update_user
0,119995,3211,18113,794,0,0,N,N,N,CP_Drtn,TT_Mile,DT_FixedDrtn,RV_OK,TK_NotStart,A1010,Project Start,,0,0,0,0,0,0,0,0,0,0,2012-05-01 08:00,,,2012-05-01 08:00,2012-05-01 08:00,,2012-05-01 08:00,2012-05-01 08:00,2012-05-01 08:00,2012-05-01 08:00,2012-05-01 08:00,2012-05-01 08:00,,2012-05-01 08:00,2012-05-01 08:00,CS_MSOB,PT_Normal,,,,,kE7Ji32KpUOPL8EScLb3pw,,,,Y,0,0,,,2012-04-22 09:40,2012-04-22 10:21,admin,admin
1,120010,3211,18135,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,BA-P1-10,Excavation  till Level  (-1.4),,8,0,184,0,0,0,184,0,0,0,,,,2012-05-02 08:00,2012-05-24 17:00,,2012-05-01 08:00,2012-05-23 17:00,2012-05-01 08:00,2012-05-23 17:00,2012-05-01 08:00,2012-05-23 17:00,,2012-05-02 08:00,2012-05-24 17:00,,PT_Normal,,,,,y8x1R9Y930S2rp149qiYlg,,,,Y,0,0,,,2012-04-22 09:40,2012-04-22 10:21,admin,admin
2,120011,3211,18135,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,BA-P1-30,Piles Work,,8,0,160,0,0,0,160,0,0,0,,,,2012-05-25 08:00,2012-06-13 17:00,,2012-05-24 08:00,2012-06-12 17:00,2012-05-24 08:00,2012-06-12 17:00,2012-05-24 08:00,2012-06-12 17:00,,2012-05-25 08:00,2012-06-13 17:00,,PT_Normal,,,,,nN4Y1BwHDUu9FEp+8sPtxQ,,,,Y,0,0,,,2012-04-22 09:40,2012-04-22 10:21,admin,admin
3,120012,3211,18135,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,BA-P1-40,P.C For Footings,,8,0,200,0,0,0,200,0,0,0,,,,2012-06-04 08:00,2012-06-28 17:00,,2012-06-03 08:00,2012-06-27 17:00,2012-06-03 08:00,2012-06-27 17:00,2012-06-03 08:00,2012-06-27 17:00,,2012-06-04 08:00,2012-06-28 17:00,,PT_Normal,,,,,20psqwu1mEmAG+Eu5renAw,6U4Y/9E5YkKoyHftOu6YOg,,,Y,0,0,,,2012-04-22 09:40,2012-04-22 10:21,admin,admin
4,120013,3211,18135,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,BA-P1-50,R.C For Footings,,8,0,320,0,0,0,320,0,0,0,,,,2012-06-14 08:00,2012-07-23 17:00,,2012-06-13 08:00,2012-07-22 17:00,2012-06-13 08:00,2012-07-22 17:00,2012-06-13 08:00,2012-07-22 17:00,,2012-06-14 08:00,2012-07-23 17:00,,PT_Normal,,,,,9Aajy9mFBEWfHv8b3nEtYQ,z1sYfzi1bkW7xKaDf3rnDg,,,Y,0,0,,,2012-04-22 09:40,2012-04-22 10:21,admin,admin
5,120014,3211,18143,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,BA-P1-70,Insulation Works For R.C Footings (-1.4),,8,0,120,0,0,0,120,0,0,0,,,,2012-08-13 08:00,2012-08-27 17:00,,2012-08-12 08:00,2012-08-26 17:00,2012-08-12 08:00,2012-08-26 17:00,2012-08-12 08:00,2012-08-26 17:00,,2012-08-13 08:00,2012-08-27 17:00,,PT_Normal,,,,,U3yxu73TrEe6VkDMbpxbug,,,,Y,0,0,,,2012-04-22 09:40,2012-04-22 10:21,admin,admin
6,120015,3211,18157,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,BA-P1-160,P.C SOG,,568,0,120,0,0,0,120,0,0,0,,,,2013-02-09 08:00,2013-02-23 17:00,,2012-11-30 08:00,2012-12-14 17:00,2012-11-30 08:00,2012-12-14 17:00,2012-11-30 08:00,2012-12-14 17:00,,2013-02-09 08:00,2013-02-23 17:00,,PT_Normal,,,,,KsF3eWeYUkOayAIt9XCMAQ,,,,N,0,0,,,2012-04-22 09:40,2012-04-22 10:21,admin,admin
7,120016,3211,18157,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,BA-P1-60,Columns And Retaining Wall,,8,0,160,0,0,0,160,0,0,0,,,,2012-07-24 08:00,2012-08-12 17:00,,2012-07-23 08:00,2012-08-11 17:00,2012-07-23 08:00,2012-08-11 17:00,2012-07-23 08:00,2012-08-11 17:00,,2012-07-24 08:00,2012-08-12 17:00,,PT_Normal,,,,,hawS1jxs80qAcUU/jxYlHA,,,,Y,0,0,,,2012-04-22 09:40,2012-04-22 10:21,admin,admin
8,120017,3211,18146,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,BA-P1-20,Excavation  till Level  (+3),,16,0,240,0,0,0,240,0,0,0,,,,2012-05-03 08:00,2012-06-01 17:00,,2012-05-01 08:00,2012-05-30 17:00,2012-05-01 08:00,2012-05-30 17:00,2012-05-01 08:00,2012-05-30 17:00,,2012-05-03 08:00,2012-06-01 17:00,,PT_Normal,,,,,gwnjzwawUEu+tS6lNn7V4Q,zWld8FrnEU6QJXaZ2NrJjQ,,,N,0,0,,,2012-04-22 09:40,2012-04-22 10:21,admin,admin
9,120018,3211,18146,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,BA-P1-90,P.C For Footings,,8,0,200,0,0,0,200,0,0,0,,,,2012-09-02 08:00,2012-09-26 17:00,,2012-09-01 08:00,2012-09-25 17:00,2012-09-01 08:00,2012-09-25 17:00,2012-09-01 08:00,2012-09-25 17:00,,2012-09-02 08:00,2012-09-26 17:00,,PT_Normal,,,,,YcEMgIFho0avw5RyWNVDUw,pqfmu/7qdUGFvsdZll/XUQ,,,Y,0,0,,,2012-04-22 09:40,2012-04-22 10:21,admin,admin
