,task_id,actv_code_type_id,actv_code_id,proj_id
0,120010,8366,12885,3211
1,120011,8366,12884,3211
2,120012,8366,12882,3211
3,120013,8366,12883,3211
4,120014,8366,12887,3211
5,120015,8366,12888,3211
6,120016,8366,12889,3211
7,120017,8366,12885,3211
8,120018,8366,12882,3211
9,120019,8366,12883,3211
10,120020,8366,12886,3211
11,120021,8366,12889,3211
12,120022,8366,12885,3211
13,120023,8366,12884,3211
14,120024,8366,12882,3211
15,120025,8366,12883,3211
16,120026,8366,12887,3211
17,120027,8366,12888,3211
18,120028,8366,12889,3211
19,120029,8366,12890,3211
20,120030,8366,12886,3211
21,120031,8366,12889,3211
22,120032,8366,12889,3211
23,120033,8366,12885,3211
24,120034,8366,12882,3211
25,120035,8366,12883,3211
26,120036,8366,12887,3211
27,120037,8366,12888,3211
28,120038,8366,12889,3211
29,120039,8366,12890,3211
30,120040,8366,12886,3211
31,120041,8366,12889,3211
32,120042,8366,12890,3211
33,120043,8366,12889,3211
34,120044,8366,12890,3211
35,120045,8366,12885,3211
36,120046,8366,12882,3211
37,120047,8366,12883,3211
38,120048,8366,12887,3211
39,120049,8366,12888,3211
40,120050,8366,12889,3211
41,120051,8366,12890,3211
42,120052,8366,12886,3211
43,120053,8366,12889,3211
44,120054,8366,12889,3211
45,120055,8366,12890,3211
46,120056,8366,12889,3211
47,120057,8366,12890,3211
48,120058,8366,12892,3211
49,120060,8366,12886,3211
50,120061,8366,12887,"3211
%E"
