,task_pred_id,task_id,pred_task_id,proj_id,pred_proj_id,pred_type,lag_hr_cnt,float_path,aref,arls
0,152686,120010,119995,3211,3211,PR_FS,0,,2012-05-01 08:00,2012-05-02 08:00
1,152687,120011,120010,3211,3211,PR_FS,0,,2012-05-23 17:00,2012-05-25 08:00
2,152688,120012,120011,3211,3211,PR_SS,80,,2012-06-02 17:00,2012-05-05 08:00
3,152689,120019,120018,3211,3211,PR_SS,80,,2012-09-10 17:00,2012-08-08 08:00
4,152690,120020,120014,3211,3211,PR_FS,0,,2012-08-26 17:00,2012-08-28 08:00
5,152691,120021,120019,3211,3211,PR_SS,80,,2012-09-20 17:00,2012-08-18 08:00
6,152692,120023,120022,3211,3211,PR_FS,0,,2012-06-22 17:00,2012-07-19 08:00
7,152693,120024,120023,3211,3211,PR_FS,0,,2012-08-01 17:00,2012-08-28 08:00
8,152694,120025,120024,3211,3211,PR_SS,80,,2012-08-11 17:00,2012-08-08 08:00
9,152695,120027,120029,3211,3211,PR_FS,120,,2012-12-09 17:00,2013-01-23 08:00
10,152696,120030,120026,3211,3211,PR_FS,0,,2012-09-25 17:00,2012-10-22 08:00
11,152697,120029,120030,3211,3211,PR_FS,80,,2012-11-09 17:00,2012-11-01 08:00
12,152698,120028,120025,3211,3211,PR_FS,0,,2012-08-31 17:00,2012-09-27 08:00
13,152699,120026,120028,3211,3211,PR_FS,0,,2012-09-15 17:00,2012-10-12 08:00
14,152700,120031,120029,3211,3211,PR_FS,0,,2012-11-24 17:00,2012-11-26 08:00
15,152701,120035,120034,3211,3211,PR_FS,0,,2012-07-28 17:00,2012-07-31 08:00
16,152702,120038,120035,3211,3211,PR_FS,0,,2012-08-15 17:00,2012-08-18 08:00
17,152703,120037,120039,3211,3211,PR_FS,120,,2012-11-23 17:00,2013-01-25 08:00
18,152704,120040,120036,3211,3211,PR_FS,0,,2012-09-24 17:00,2012-09-27 08:00
19,152705,120039,120040,3211,3211,PR_FS,0,,2012-10-09 17:00,2012-10-12 08:00
20,152706,120034,120033,3211,3211,PR_FS,112,,2012-07-13 17:00,2012-07-02 08:00
21,152707,120036,120038,3211,3211,PR_FS,0,,2012-09-09 17:00,2012-09-12 08:00
22,152708,120042,120041,3211,3211,PR_FS,16,,2012-12-03 17:00,2012-12-04 08:00
23,152709,120044,120043,3211,3211,PR_FS,16,,2013-01-27 17:00,2013-01-28 08:00
24,152710,120041,120039,3211,3211,PR_FS,24,,2012-11-11 17:00,2012-11-11 08:00
25,152711,120043,120042,3211,3211,PR_FS,24,,2013-01-05 17:00,2013-01-05 08:00
26,152712,120047,120046,3211,3211,PR_SS,80,,2012-07-22 17:00,2012-06-29 08:00
27,152713,120049,120051,3211,3211,PR_FS,120,,2012-10-22 17:00,2013-01-23 08:00
28,152714,120052,120048,3211,3211,PR_FS,0,,2012-09-05 17:00,2012-09-07 08:00
29,152715,120051,120052,3211,3211,PR_FS,0,,2012-09-17 17:00,2012-09-19 08:00
30,152716,120050,120047,3211,3211,PR_FS,0,,2012-08-11 17:00,2012-08-13 08:00
31,152717,120048,120050,3211,3211,PR_FS,0,,2012-08-26 17:00,2012-08-28 08:00
32,152718,120053,120051,3211,3211,PR_FS,0,,2012-10-07 17:00,2012-10-09 08:00
33,152719,120055,120054,3211,3211,PR_FS,0,,2012-12-29 17:00,2012-12-31 08:00
34,152720,120046,120045,3211,3211,PR_FS,0,,2012-07-12 17:00,2012-07-14 08:00
35,152721,120057,120056,3211,3211,PR_FS,0,,2013-02-07 17:00,2013-02-09 08:00
36,152722,120056,120055,3211,3211,PR_FS,0,,2013-01-23 17:00,2013-01-25 08:00
37,152723,120058,120057,3211,3211,PR_FS,0,,2013-02-27 17:00,2013-02-28 17:00
38,152724,120058,120044,3211,3211,PR_FS,0,,2013-02-26 17:00,2013-02-28 17:00
39,152725,120014,120016,3211,3211,PR_FS,0,,2012-08-11 17:00,2012-08-13 08:00
40,152728,120018,120020,3211,3211,PR_SS,40,,2012-08-31 17:00,2012-08-08 08:00
41,152729,120061,120021,3211,3211,PR_FS,0,,2012-10-10 17:00,2012-10-12 08:00
42,152730,120060,120061,3211,3211,PR_FS,0,,2012-10-15 17:00,2012-10-17 08:00
43,152731,120018,120012,3211,3211,PR_SS,40,,2012-06-07 17:00,2012-08-03 08:00
44,152732,120013,120012,3211,3211,PR_SS,80,,2012-06-12 17:00,2012-05-10 08:00
45,152733,120016,120013,3211,3211,PR_FS,0,,2012-07-22 17:00,2012-07-24 08:00
46,152734,120045,120022,3211,3211,PR_FS,0,,2012-06-22 17:00,2012-06-24 08:00
47,152735,120033,120017,3211,3211,PR_FS,0,,2012-05-30 17:00,2012-06-02 08:00
48,152736,120022,120010,3211,3211,PR_FS,0,,2012-05-23 17:00,2012-05-25 08:00
49,152737,120017,120010,3211,3211,PR_SS,0,,2012-05-01 08:00,2012-04-10 08:00
50,152825,120138,120058,3211,3211,PR_FS,0,,2013-02-27 17:00,2013-02-28 17:00
51,152826,120139,120015,3211,3211,PR_SS,40,,2012-12-04 17:00,2013-01-25 08:00
52,152827,120058,120139,3211,3211,PR_FS,0,,2012-12-19 17:00,2013-02-28 17:00
53,152828,120140,120027,3211,3211,PR_SS,56,,2012-12-16 17:00,2013-01-23 08:00
54,152829,120058,120140,3211,3211,PR_FS,0,,2012-12-31 17:00,2013-02-28 17:00
55,152830,120141,120037,3211,3211,PR_SS,40,,2012-11-28 17:00,2013-01-25 08:00
56,152831,120058,120141,3211,3211,PR_FS,0,,2012-12-13 17:00,2013-02-28 17:00
57,152832,120142,120049,3211,3211,PR_SS,56,,2012-10-29 17:00,2013-01-23 08:00
58,152833,120058,120142,3211,3211,PR_FS,0,,2012-11-13 17:00,2013-02-28 17:00
59,152836,120147,120039,3211,3211,PR_SS,0,,2012-10-10 08:00,2012-09-22 08:00
60,152837,120149,120055,3211,3211,PR_SS,0,,2012-12-30 08:00,2012-12-16 08:00
61,152839,120144,120060,3211,3211,PR_FS,0,,2012-10-20 17:00,2012-12-28 08:00
62,152840,120015,120144,3211,3211,PR_FS,120,,2012-11-29 17:00,2013-01-25 08:00
63,152841,120032,120145,3211,3211,PR_FS,0,,2013-01-23 17:00,2013-01-25 08:00
64,152842,120148,120032,3211,3211,PR_FS,0,,2013-02-07 17:00,2013-02-09 08:00
65,152843,120058,120148,3211,3211,PR_FS,0,,2013-02-27 17:00,2013-02-28 17:00
66,152844,120032,120144,3211,3211,PR_FS,24,,2012-11-17 17:00,2013-01-22 08:00
67,152845,120037,120147,3211,3211,PR_FS,120,,2012-11-13 17:00,2013-01-25 08:00
68,152846,120041,120147,3211,3211,PR_FS,24,,2012-11-01 17:00,2012-11-11 08:00
69,152847,120054,120146,3211,3211,PR_FS,0,,2012-12-11 17:00,2012-12-13 08:00
70,152848,120056,120149,3211,3211,PR_FS,0,,2013-01-13 17:00,2013-01-25 08:00
71,152852,120030,120060,3211,3211,PR_FS,0,,2012-10-20 17:00,2012-10-22 08:00
72,152960,120015,120060,3211,3211,PR_FS,120,,2012-11-04 17:00,2013-01-25 08:00
73,152961,120032,120060,3211,3211,PR_FS,24,,2012-10-23 17:00,2013-01-22 08:00
74,152962,120032,120031,3211,3211,PR_FS,40,,2012-12-24 17:00,2013-01-20 08:00
75,152963,120145,120031,3211,3211,PR_FS,0,,2012-12-19 17:00,2012-12-21 08:00
76,152964,120054,120053,3211,3211,PR_FS,0,,2012-10-27 17:00,2012-12-13 08:00
77,152965,120146,120237,3211,3211,PR_SS,0,,2012-10-28 08:00,2012-10-04 08:00
78,152966,120237,120053,3211,3211,PR_FS,0,,2012-10-27 17:00,2012-10-29 08:00
79,152967,120054,120237,3211,3211,PR_FS,0,,2012-11-21 17:00,2012-12-13 08:00
80,152968,120238,120144,3211,3211,PR_SS,0,,2012-10-21 08:00,2012-12-21 08:00
81,152969,120015,120238,3211,3211,PR_FS,0,,2012-11-14 17:00,2013-02-09 08:00
82,152970,120239,120145,3211,3211,PR_SS,0,,2012-12-20 08:00,2012-11-21 08:00
83,152971,120032,120239,3211,3211,PR_FS,0,,2013-01-18 17:00,2013-01-25 08:00
