,taskrsrc_id,task_id,proj_id,cost_qty_link_flag,role_id,acct_id,rsrc_id,pobs_id,skill_level,pend_complete_pct,remain_qty,pend_remain_qty,target_qty,remain_qty_per_hr,target_lag_drtn_hr_cnt,target_qty_per_hr,act_ot_qty,act_reg_qty,relag_drtn_hr_cnt,ot_factor,cost_per_qty,target_cost,act_reg_cost,act_ot_cost,remain_cost,act_start_date,act_end_date,restart_date,reend_date,target_start_date,target_end_date,rem_late_start_date,rem_late_end_date,rollup_dates_flag,target_crv,remain_crv,actual_crv,ts_pend_act_end_flag,guid,rate_type,act_this_per_cost,act_this_per_qty,curv_id,rsrc_type,cost_per_qty_source_type,create_user,create_date,has_rsrchours,taskrsrc_sum_id
0,81303,120010,3211,Y,,,3936,,,,20547,,20547,111.66847826,0,111.66847826,0,0,0,,,0.00,0.00,0.00,0.00,,,2012-05-01 08:00,2012-05-23 17:00,2012-05-01 08:00,2012-05-23 17:00,2012-05-02 08:00,2012-05-24 17:00,Y,,,,N,of0PyM+nMkmj3YMhAdl5iQ,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-04-22 09:40,,
1,81304,120017,3211,Y,,,3936,,,,20547,,20547,85.6125,0,85.6125,0,0,0,,,0.00,0.00,0.00,0.00,,,2012-05-01 08:00,2012-05-30 17:00,2012-05-01 08:00,2012-05-30 17:00,2012-05-03 08:00,2012-06-01 17:00,Y,,,,N,aDqJNnCGPUSckWsK+neOkQ,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-04-22 09:40,,
2,81305,120012,3211,Y,,,3935,,,,1823.5,,1823.5,9.1175,0,9.1175,0,0,0,,,0.00,0.00,0.00,0.00,,,2012-06-03 08:00,2012-06-27 17:00,2012-06-03 08:00,2012-06-27 17:00,2012-06-04 08:00,2012-06-28 17:00,Y,,,,N,14POCK/wakSoda+Pg4Jy5Q,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-04-22 09:40,,
3,81306,120018,3211,Y,,,3935,,,,1823.5,,1823.5,9.1175,0,9.1175,0,0,0,,,0.00,0.00,0.00,0.00,,,2012-09-01 08:00,2012-09-25 17:00,2012-09-01 08:00,2012-09-25 17:00,2012-09-02 08:00,2012-09-26 17:00,Y,,,,N,aeU8geGpmEKeEheTnXLsKQ,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-04-22 09:40,,
4,81307,120013,3211,Y,,,3933,,,,408.1,,408.1,1.2753125,0,1.2753125,0,0,0,,,0.00,0.00,0.00,0.00,,,2012-06-13 08:00,2012-07-22 17:00,2012-06-13 08:00,2012-07-22 17:00,2012-06-14 08:00,2012-07-23 17:00,Y,,,,N,rE2r0DLxuU+lqPP4AVpmqw,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-04-22 09:40,,
5,81308,120019,3211,Y,,,3933,,,,408.1,,408.1,2.0405,0,2.0405,0,0,0,,,0.00,0.00,0.00,0.00,,,2012-09-11 08:00,2012-10-05 17:00,2012-09-11 08:00,2012-10-05 17:00,2012-09-12 08:00,2012-10-06 17:00,Y,,,,N,ZZABrrjUx0eWEYejsegY1g,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-04-22 09:40,,
6,81309,120020,3211,Y,,,3934,,,,18438,,18438,115.2375,0,115.2375,0,0,0,,,0.00,0.00,0.00,0.00,,,2012-08-27 08:00,2012-09-15 17:00,2012-08-27 08:00,2012-09-15 17:00,2012-08-28 08:00,2012-09-16 17:00,Y,,,,N,Hw5J0nKBPU26oIHDw8Yu2A,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-04-22 09:40,,
7,81310,120015,3211,Y,,,3938,,,,1598,,1598,13.31666667,0,13.31666667,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2012-11-30 08:00,2012-12-14 17:00,2012-11-30 08:00,2012-12-14 17:00,2013-02-09 08:00,2013-02-23 17:00,Y,,,,N,pZULub9l0UG9PfJJYsBc7Q,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-04-22 09:40,,
8,81311,120016,3211,Y,,,3933,,,,420.05,,420.05,2.6253125,0,2.6253125,0,0,0,,,0.00,0.00,0.00,0.00,,,2012-07-23 08:00,2012-08-11 17:00,2012-07-23 08:00,2012-08-11 17:00,2012-07-24 08:00,2012-08-12 17:00,Y,,,,N,8M03h7dKS0et2vBtTfX/yw,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-04-22 09:40,,
9,81312,120021,3211,Y,,,3933,,,,420.05,,420.05,2.6253125,0,2.6253125,0,0,0,,,0.00,0.00,0.00,0.00,,,2012-09-21 08:00,2012-10-10 17:00,2012-09-21 08:00,2012-10-10 17:00,2012-09-22 08:00,2012-10-11 17:00,Y,,,,N,xyU4EEwFu0OQFgHsUSmv/A,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-04-22 09:40,,
10,81313,120022,3211,Y,,,3936,,,,47192,,47192,196.63333333,0,196.63333333,0,0,0,,,0.00,0.00,0.00,0.00,,,2012-05-24 08:00,2012-06-22 17:00,2012-05-24 08:00,2012-06-22 17:00,2012-05-25 08:00,2012-06-23 17:00,Y,,,,N,B/tk27inyki6nM4I5x7g0Q,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-04-22 09:40,,
11,81314,120024,3211,Y,,,3935,,,,4588.35,,4588.35,28.6771875,0,28.6771875,0,0,0,,,0.00,0.00,0.00,0.00,,,2012-08-02 08:00,2012-08-21 17:00,2012-08-02 08:00,2012-08-21 17:00,2012-08-28 08:00,2012-09-16 17:00,Y,,,,N,h1goax5tBUaZq1ur5Oj9lQ,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-04-22 09:40,,
12,81315,120025,3211,Y,,,3933,,,,954.7,,954.7,5.966875,0,5.966875,0,0,0,,,0.00,0.00,0.00,0.00,,,2012-08-12 08:00,2012-08-31 17:00,2012-08-12 08:00,2012-08-31 17:00,2012-09-07 08:00,2012-09-26 17:00,Y,,,,N,nQkvUV1On0y/shtA72NJ3Q,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-04-22 09:40,,
13,81316,120030,3211,Y,,,3934,,,,21173,,21173,264.6625,0,264.6625,0,0,0,,,0.00,0.00,0.00,0.00,,,2012-10-21 08:00,2012-10-30 17:00,2012-10-21 08:00,2012-10-30 17:00,2012-10-22 08:00,2012-10-31 17:00,Y,,,,N,lgkAHujwpEmPC1pBIkYi2A,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-04-22 09:40,,
14,81317,120027,3211,Y,,,3938,,,,1270,,1270,10.58333333,0,10.58333333,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2012-12-10 08:00,2012-12-24 17:00,2012-12-10 08:00,2012-12-24 17:00,2013-02-07 08:00,2013-02-21 17:00,Y,,,,N,QrNMaCxD30SB4bns2GPF5Q,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-04-22 09:40,,
15,81318,120028,3211,Y,,,3933,,,,325.2,,325.2,2.71,0,2.71,0,0,0,,,0.00,0.00,0.00,0.00,,,2012-09-01 08:00,2012-09-15 17:00,2012-09-01 08:00,2012-09-15 17:00,2012-09-27 08:00,2012-10-11 17:00,Y,,,,N,z/AFsjFm3kmJqvxsI6vD9A,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-04-22 09:40,,
16,81319,120031,3211,Y,,,3933,,,,325.2,,325.2,1.626,0,1.626,0,0,0,,,0.00,0.00,0.00,0.00,,,2012-11-25 08:00,2012-12-19 17:00,2012-11-25 08:00,2012-12-19 17:00,2012-11-26 08:00,2012-12-20 17:00,Y,,,,N,sI/2F+ihYUOaPBQweelwSw,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-04-22 09:40,,
17,81320,120032,3211,Y,,,3933,,,,325.2,,325.2,2.71,0,2.71,0,0,0,,,0.00,0.00,0.00,0.00,,,2013-01-24 08:00,2013-02-07 17:00,2013-01-24 08:00,2013-02-07 17:00,2013-01-25 08:00,2013-02-08 17:00,Y,,,,N,II61RdKVOUi/mo50HQieaQ,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-04-22 09:40,,
18,81321,120029,3211,Y,,,3933,,,,752.4,,752.4,6.27,0,6.27,0,0,0,,,0.00,0.00,0.00,0.00,,,2012-11-10 08:00,2012-11-24 17:00,2012-11-10 08:00,2012-11-24 17:00,2012-11-11 08:00,2012-11-25 17:00,Y,,,,N,pe7utYIJ+USGg1RwxtSf4Q,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-04-22 09:40,,
