task_name,category,subcategory,,
PROJECT START,Preliminary,Approval,,
SITE TAKING OVER,Preliminary,Approval,,
END PROJECT,Preliminary,Approval,,
EXCAVATION,Site Preparation,Clearing and Excavation,,
SOIL REPLACEMENT,Site Preparation,Clearing and Excavation,,
PLAIN CONCRETE FOUNDATION,Foundation Construction,Foundation,,
REINFORCED CONCRETE FOUNDATION,Foundation Construction,Foundation,,
UNDER GROUND  BRICK WORKS,Foundation Construction,Foundation,,
UNDER GROUND INSULATION FOR RC & BRICK WORK,Foundation Construction,Foundation,,
BACKFILLING FOR UNDER GROUND,Site Preparation,Clearing and Excavation,,
P.C SLAB ON GRADE 10CM,Structural,Slab,,
MOISTURE INSULATION WITH MEMBRANE SHEETS,Structural,Slab,,
R.C SLAB ON GRADE,Structural,Slab,,
COLUMNS FOR GROUND FLOOR,Structural,Columns,,
SLAB FOR GROUND FLOOR,Structural,Slab,,
COLUMNS FOR 1ST FLOOR,Structural,Columns,,
SLAB FOR 1ST FLOOR,Structural,Slab,,
COLUMNS FOR ROOF FLOOR,Structural,Columns,,
SLAB FOR ROOF FLOOR,Structural,Slab,,
BRICK WORKS FOR GROUND FLOOR,Structural,Walls,,
ELECTRICAL CONDUITS FOR GROUND FLOOR'S SLAB,MEP Installation,Electrical,,
ELECTRICAL CONDUITS FOR 1ST FLOOR SLAB,MEP Installation,Electrical,,
ELECTRICAL CONDUITS FOR ROOF SLAB,MEP Installation,Electrical,,
INTERNAL PLASTERING FOR GROUND FLOOR,Interior Finishing,Plaster,,
EXTERNAL PLASTERING,Interior Finishing,Plaster,,
PLUMBING CONNECTIONS UNDER SLAB ON GRADE,MEP Installation,Plumbing ,,
START VILLA CONSTRUCTION,Other,Other,,
FINISH VILLA CONSTRUCTION,Other,Other,,
IFC DRAWINGS,Preliminary,Approval,,
POURING FOR GROUND FLOOR'S SLAB,Structural,Slab,,
POURING FOR 1ST FLOOR'S SLAB,Structural,Slab,,
POURING FOR ROOF FLOOR'S SLAB,Structural,Slab,,
FENCE WORK,Preliminary,Approval,,
FENCE DRAWINGS IFC,Preliminary,Approval,,
BACKFILLING BETWEEN P.C FOUNDATION,Foundation Construction,Foundation,,
P.C UNDER SMELLS,Preliminary,Approval,,
BRICK WORKS FOR 1ST FLOOR,Structural,Walls,,
BRICK WORKS FOR ROOF FLOOR,Structural,Walls,,
INTERNAL PLASTERING FOR 1ST FLOOR,Interior Finishing,Plaster,,
INTERNAL PLASTERING FOR ROOF FLOOR,Interior Finishing,Plaster,,
ELECTRICAL CONDUITS FOR GROUND FLOOR WALLS,Structural,Walls,,
