,wbs_id,proj_id,obs_id,seq_num,est_wt,proj_node_flag,sum_data_flag,status_code,wbs_short_name,wbs_name,phase_id,parent_wbs_id,ev_user_pct,ev_etc_user_value,orig_cost,indep_remain_total_cost,ann_dscnt_rate_pct,dscnt_period_type,indep_remain_work_qty,anticip_start_date,anticip_end_date,ev_compute_type,ev_etc_compute_type,guid,tmpl_guid,plan_open_state
0,11904,794,648,100,1,Y,N,WS_Open,M.D_final,Medor Adminstration Building,,10170,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,t/JdUHr8mUGQ9OqHYpDs9Q,,
1,11905,794,648,0,1,N,N,WS_Open,1,General,,11904,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,gCO7ZjDoBkmuz+iSyjyATQ,,
2,11906,794,648,2,1,N,N,WS_Open,2,Skeleton,,11904,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,/lZFUaZ36kyb9WPeXtedaw,,
3,11907,794,648,1,1,N,N,WS_Open,3,Engineering,,11904,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,CuK/j1b9vkGISZdpIbLyQQ,,
4,11908,794,648,3,1,N,N,WS_Open,1,Ground Floor,,11906,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,S+Np6vhj2E+mGOd6sQuPqQ,,
5,11909,794,648,3,1,N,N,WS_Open,2,1st Floor,,11906,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,penKGfc7iUmUfYV7ITC7WQ,,
6,11910,794,648,3,1,N,N,WS_Open,3,2nd Floor,,11906,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,2ZVZ8iNz0kKaPiUsGyfJhw,,
7,11911,794,648,3,1,N,N,WS_Open,4,3rd Floor,,11906,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,viuGYjRZo0as8O4VjMujQw,,
8,11912,794,648,3,1,N,N,WS_Open,5,4th Floor,,11906,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,IHAo3/obcEm/8P7NHmryUA,,
9,11913,794,648,3,1,N,N,WS_Open,6,5th Floor,,11906,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,ZIT6oL5210yv+EDr/7ZKWg,,
10,11914,794,648,3,1,N,N,WS_Open,7,6th Floor,,11906,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,z/D+QTMHkUGJ/pjcxuatcA,,
11,11915,794,648,102,1,N,N,WS_Open,8,Roof Floor,,11906,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,TPRWmgKD/kSFNYk6dP/Xzw,,
