,task_id,proj_id,wbs_id,clndr_id,est_wt,phys_complete_pct,rev_fdbk_flag,lock_plan_flag,auto_compute_act_flag,complete_pct_type,task_type,duration_type,review_type,status_code,task_code,task_name,rsrc_id,total_float_hr_cnt,free_float_hr_cnt,remain_drtn_hr_cnt,act_work_qty,remain_work_qty,target_work_qty,target_drtn_hr_cnt,target_equip_qty,act_equip_qty,remain_equip_qty,cstr_date,act_start_date,act_end_date,late_start_date,late_end_date,expect_end_date,early_start_date,early_end_date,restart_date,reend_date,target_start_date,target_end_date,review_end_date,rem_late_start_date,rem_late_end_date,cstr_type,priority_type,suspend_date,resume_date,float_path,float_path_order,guid,tmpl_guid,cstr_date2,cstr_type2,driving_path_flag,act_this_per_work_qty,act_this_per_equip_qty,external_early_start_date,external_late_end_date,create_date,update_date,create_user,update_user,old_restart_date,old_reend_date,old_remain_drtn_hr_cnt
0,90588,794,11905,841,0,100,N,N,N,CP_Drtn,TT_Mile,DT_FixedDrtn,RV_OK,TK_Complete,A1000,Receiving IFC drawings,,,,0,0,0,0,0,0,0,0,,2010-07-07 08:00,2010-07-07 08:00,2010-09-01 08:00,2010-09-01 08:00,,2010-09-01 00:00,2010-09-01 00:00,,,2010-07-07 08:00,2010-07-07 08:00,,,,,PT_Normal,,,,,Fb0HMrjf7EqAOPGj7IdSOQ,,,,Y,0,0,,,2010-09-01 11:41,2010-09-04 11:48,admin,admin,,,
1,90589,794,11905,841,0,100,N,N,N,CP_Drtn,TT_Mile,DT_FixedDrtn,RV_OK,TK_Complete,A1010,Receiving advance payement,,,,0,0,0,0,0,0,0,0,,2010-07-07 08:00,2010-07-07 08:00,2010-09-01 08:00,2010-09-01 08:00,,2010-09-01 00:00,2010-09-01 00:00,,,2010-07-07 08:00,2010-07-07 08:00,,,,,PT_Normal,,,,,0F2c4KhMVkegRt3CzV94MQ,,,,Y,0,0,,,2010-09-01 11:41,2010-09-04 11:48,admin,admin,,,
2,90590,794,11905,841,0,100,N,N,N,CP_Drtn,TT_Mile,DT_FixedDrtn,RV_OK,TK_Complete,A1020,start construction phase,,,,0,0,0,0,0,0,0,0,,2010-07-10 00:00,2010-07-10 00:00,2010-09-01 08:00,2010-09-01 08:00,,2010-09-01 00:00,2010-09-01 00:00,,,2010-07-17 08:00,2010-07-17 08:00,,,,,PT_Normal,,,,,7Zas1x7J1kOh+iIggvBLug,,,,Y,0,0,,,2010-09-01 11:41,2010-09-04 11:48,admin,admin,,,
3,90591,794,11905,841,0,0,N,N,N,CP_Drtn,TT_FinMile,DT_FixedDrtn,RV_OK,TK_NotStart,A1030,finish construction,,0,0,0,0,0,0,0,0,0,0,,,,2011-03-31 16:00,2011-03-31 16:00,,2011-03-31 16:00,2011-03-31 16:00,2011-03-31 16:00,2011-03-31 16:00,2011-03-31 16:00,2011-03-31 16:00,,2011-03-31 16:00,2011-03-31 16:00,,PT_Normal,,,,,1mzvvCoxM0ar5of0FMYwpw,,,,Y,0,0,,,2010-09-01 11:41,2010-09-04 11:48,admin,admin,,,
4,90592,794,11908,841,1,100,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_Complete,A1330,columns Formwork & Rft. Part 2,,,,0,0,0,0,64,0,0,0,,2010-07-17 08:00,2010-07-27 00:00,2010-09-01 08:00,2010-09-01 08:00,,2010-09-01 00:00,2010-09-01 00:00,,,2010-07-17 08:00,2010-07-25 16:00,,,,,PT_Normal,,,,,V/Yn2i2680eNJCp4yjH0JQ,,,,Y,0,0,,,2010-09-01 11:41,2010-09-04 11:48,admin,admin,,,
5,90593,794,11908,841,1,100,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_Complete,A1340,Columns Pouring Part2,,,,0,0,0,0,8,0,0,0,,2010-07-28 00:00,2010-07-28 16:00,2010-09-01 08:00,2010-09-01 08:00,,2010-09-01 00:00,2010-09-01 00:00,,,2010-07-26 08:00,2010-07-26 16:00,,,,,PT_Normal,,,,,icE9moEslkK7ClRxF2booQ,,,,Y,0,0,,,2010-09-01 11:41,2010-09-04 11:48,admin,admin,,,
6,90594,794,11908,841,1,100,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_Complete,A1350,Slab Formwork & Rft. Part1,,,,0,0,0,0,80,0,0,0,,2010-07-10 00:00,2010-07-16 00:00,2010-09-01 08:00,2010-09-01 08:00,,2010-09-01 00:00,2010-09-01 00:00,,,2010-07-17 08:00,2010-07-27 16:00,,,,,PT_Normal,,,,,FQLKm23P/UKumhe/g06e7g,,,,Y,0,0,,,2010-09-01 11:41,2010-09-04 11:48,admin,admin,,,
7,90595,794,11908,841,1,100,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_Complete,A1370,Slab Formwork & Rft. Part2,,,,0,0,0,0,80,0,0,0,,2010-07-29 08:00,2010-08-05 00:00,2010-09-01 08:00,2010-09-01 08:00,,2010-09-01 00:00,2010-09-01 00:00,,,2010-07-29 08:00,2010-08-09 16:00,,,,,PT_Normal,,,,,aO7APNO6rEKzf2H7/Hb1Jg,,,,Y,0,0,,,2010-09-01 11:41,2010-09-04 11:48,admin,admin,,,
8,90596,794,11908,841,1,100,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_Complete,A1380,Slab Pouring,,,,0,0,0,0,8,0,0,0,,2010-08-07 00:00,2010-08-07 00:00,2010-09-01 08:00,2010-09-01 08:00,,2010-09-01 00:00,2010-09-01 00:00,,,2010-08-10 08:00,2010-08-10 16:00,,,,,PT_Normal,,,,,VeHX4oN6nkCrBAvBuUJC7g,,,,Y,0,0,,,2010-09-01 11:41,2010-09-04 11:48,admin,admin,,,
9,90597,794,11909,841,1,100,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_Complete,A1390,columns Formwork & Rft. Part1,,,,0,0,0,0,64,0,0,0,,2010-08-08 00:00,2010-08-24 00:00,2010-09-01 08:00,2010-09-01 08:00,,2010-09-01 00:00,2010-09-01 00:00,,,2010-08-12 08:00,2010-08-21 16:00,,,,,PT_Normal,,,,,ioUT9FRzWE+Ct1OZHbj72Q,aoAXnv9EYkKsSuO3clPmlw,,,Y,0,0,,,2010-09-01 11:41,2010-09-04 11:48,admin,admin,,,
