,task_pred_id,task_id,pred_task_id,proj_id,pred_proj_id,pred_type,lag_hr_cnt,float_path,aref,arls
0,80750,90593,90592,794,794,PR_FS,0,,2010-09-01 00:00,2010-09-01 08:00
1,80751,90595,90593,794,794,PR_FS,16,,2010-09-01 00:00,2010-09-01 08:00
2,80752,90596,90595,794,794,PR_FS,0,,2010-09-01 00:00,2010-09-01 08:00
3,80753,90598,90597,794,794,PR_FS,0,,2010-09-01 00:00,2010-09-01 08:00
4,80754,90601,90598,794,794,PR_FS,8,,2010-09-01 00:00,2010-09-01 08:00
5,80755,90600,90599,794,794,PR_FS,0,,2010-09-01 00:00,2010-09-04 08:00
6,80756,90602,90600,794,794,PR_FS,16,,2010-09-01 00:00,2010-09-04 08:00
7,80757,90603,90602,794,794,PR_FS,0,,2010-09-11 16:00,2010-09-14 08:00
8,80758,90599,90596,794,794,PR_FS,8,,2010-09-01 00:00,2010-09-04 08:00
9,80759,90605,90604,794,794,PR_FS,0,,2010-09-25 16:00,2010-09-26 08:00
10,80760,90608,90605,794,794,PR_FS,8,,2010-09-27 16:00,2010-10-07 08:00
11,80761,90607,90606,794,794,PR_FS,0,,2010-10-04 16:00,2010-10-05 08:00
12,80762,90609,90607,794,794,PR_FS,16,,2010-10-07 16:00,2010-10-06 08:00
13,80763,90610,90609,794,794,PR_FS,0,,2010-10-19 16:00,2010-10-20 08:00
14,80764,90606,90603,794,794,PR_FS,8,,2010-09-15 16:00,2010-09-25 08:00
15,80765,90612,90611,794,794,PR_FS,0,,2010-10-31 16:00,2010-11-01 08:00
16,80766,90615,90612,794,794,PR_FS,8,,2010-11-02 16:00,2010-11-11 08:00
17,80767,90614,90613,794,794,PR_FS,0,,2010-11-08 16:00,2010-11-09 08:00
18,80768,90616,90614,794,794,PR_FS,16,,2010-11-11 16:00,2010-11-10 08:00
19,80769,90617,90616,794,794,PR_FS,0,,2010-11-27 16:00,2010-11-28 08:00
20,80770,90613,90610,794,794,PR_FS,8,,2010-10-21 16:00,2010-10-30 08:00
21,80771,90619,90618,794,794,PR_FS,0,,2010-12-08 16:00,2010-12-09 08:00
22,80772,90622,90619,794,794,PR_FS,8,,2010-12-11 16:00,2010-12-20 08:00
23,80773,90621,90620,794,794,PR_FS,0,,2010-12-16 16:00,2010-12-18 08:00
24,80774,90623,90621,794,794,PR_FS,16,,2010-12-20 16:00,2010-12-19 08:00
25,80775,90624,90623,794,794,PR_FS,0,,2011-01-01 16:00,2011-01-02 08:00
26,80776,90620,90617,794,794,PR_FS,8,,2010-11-29 16:00,2010-12-07 08:00
27,80777,90626,90625,794,794,PR_FS,0,,2011-01-12 16:00,2011-01-13 08:00
28,80778,90629,90626,794,794,PR_FS,8,,2011-01-15 16:00,2011-01-24 08:00
29,80779,90628,90627,794,794,PR_FS,0,,2011-01-20 16:00,2011-01-22 08:00
30,80780,90630,90628,794,794,PR_FS,16,,2011-01-24 16:00,2011-01-23 08:00
31,80781,90631,90630,794,794,PR_FS,0,,2011-02-05 16:00,2011-02-06 08:00
32,80782,90627,90624,794,794,PR_FS,8,,2011-01-03 16:00,2011-01-11 08:00
33,80783,90633,90632,794,794,PR_FS,0,,2011-02-16 16:00,2011-02-17 08:00
34,80784,90636,90633,794,794,PR_FS,8,,2011-02-19 16:00,2011-02-28 08:00
35,80785,90635,90634,794,794,PR_FS,0,,2011-02-24 16:00,2011-02-26 08:00
36,80786,90637,90635,794,794,PR_FS,16,,2011-02-28 16:00,2011-02-27 08:00
37,80787,90638,90637,794,794,PR_FS,0,,2011-03-12 16:00,2011-03-13 08:00
