,actv_code_id,parent_actv_code_id,actv_code_type_id,actv_code_name,short_name,seq_num
0,13660,,7353,Phase 1,A0,10
1,13661,,7406,T   ,T,0
2,13662,,7406,U   ,U,100
3,13663,,7406,U1   ,U1,200
4,13664,,7406,V   ,V,300
5,13665,,7406,V1   ,V1,400
6,13666,,7406,W   ,W,500
7,13667,,7406,W1   ,W1,600
8,13668,,7406,X   ,X,700
9,13669,,7406,X1   ,X1,800
10,13670,,7406,X2   ,X2,900
11,13671,,7406,Y1   ,Y1,1000
12,13672,,7406,Z   ,Z,1100
13,13673,,7403,   1,01,1
14,13674,,7403,   2,02,100
15,13675,,7403,   3,03,200
16,13676,,7403,   4,04,300
17,13677,,7403,   5,05,400
18,13678,,7403,   6,06,500
19,13679,,7403,   7,07,600
20,13680,,7403,   8,08,700
21,13681,,7403,   9,09,800
22,13682,,7403,   10,10,900
23,13683,,7403,   11,11,1000
24,13684,,7403,   12,12,1100
25,13685,,7403,   13,13,1200
26,13686,,7403,   14,14,1300
27,13687,,7403,   15,15,1400
28,13688,,7403,   16,16,1500
29,13689,,7403,   17,17,1600
30,13690,,7403,   18,18,1700
31,13691,,7403,   19,19,1800
32,13692,,7403,   20,20,1900
33,13693,,7403,   21,21,2000
34,13694,,7403,   22,22,2100
35,13695,,7403,   23,23,2200
36,13696,,7403,   24,24,2300
37,13697,,7403,   25,25,2400
38,13698,,7403,   26,26,2500
39,13699,,7403,   27,27,2600
40,13700,,7403,   28,28,2700
41,13701,,7403,   29,29,2800
42,13702,,7403,   30,30,2900
43,13703,,7403,   31,31,3000
44,13704,,7403,   32,32,3100
45,13705,,7403,   33,33,3200
46,13706,,7403,   34,34,3300
47,13707,,7403,   35,35,3400
48,13708,,7403,   36,36,3500
49,13709,,7403,   37,37,3600
50,13710,,7403,   38,38,3700
51,13711,,7403,   39,39,3800
52,13712,,7403,   40,40,3900
53,13713,,7403,   41,41,4000
54,13714,,7403,   42,42,4100
55,13715,,7403,   43,43,4200
56,13716,,7403,   44,44,4300
57,13717,,7403,   45,45,4400
58,13718,,7403,   46,46,4500
59,13719,,7403,   47,47,4600
60,13720,,7403,   48,48,4700
61,13721,,7403,   49,49,4800
62,13722,,7403,   50,50,4900
63,13723,,7403,   51,51,5000
64,13724,,7403,   52,52,5100
65,13725,,7403,   53,53,5200
66,13726,,7403,   54,54,5300
67,13727,,7403,   55,55,5400
68,13728,,7403,   56,56,5500
69,13729,,7403,   57,57,5600
70,13730,,7403,   58,58,5700
71,13731,,7403,   59,59,5800
72,13732,,7403,   60,60,5900
73,13733,,7403,   61,61,6000
74,13734,,7403,   62,62,6100
75,13735,,7403,   63,63,6200
76,13736,,7403,   64,64,6300
77,13737,,7403,   65,65,6400
78,13738,,7403,   66,66,6500
79,13739,,7403,   67,67,6600
80,13740,,7403,   68,68,6700
81,13741,,7403,   69,69,6800
82,13742,,7403,   70,70,6900
83,13743,,7403,   71,71,7000
84,13744,,7403,   72,72,7100
85,13745,,7405, ,SW,0
86,13746,,7405,  ,CW,100
87,13747,,7405, ,MW,200
88,13748,,7405,  ,IF,300
89,13749,,7405,  ,OF,400
90,13750,,7404, ,01,0
91,13751,,7404, ,02,100
92,13752,,7403,Mile Stones,00,0
93,13753,,7409,  1,01,0
94,13754,,7409,  2,02,100
95,13755,,7409,  3,03,200
96,13756,,7409,  4,04,300
97,13757,,7409,  5,05,400
98,13758,,7409,  6,06,500
99,13759,,7409,  7,07,600
100,13760,,7409,  8,08,700
101,13761,,7409,  9,09,800
102,13762,,7409,  10,10,900
103,13763,,7409,  11,11,1000
104,13764,,7409,  12,12,1100
105,13765,,7409,  13,13,1200
106,13766,,7409,  14,14,1300
107,13767,,7409,  15,15,1400
108,13768,,7409,  16,16,1500
109,13769,,7409,  17,17,1600
110,13770,,7409,  18,18,1700
111,13771,,7409,  19,19,1800
112,13772,,7409,  20,20,1900
