,rsrc_rate_id,rsrc_id,max_qty_per_hr,cost_per_qty,start_date,shift_period_id,cost_per_qty2,cost_per_qty3,cost_per_qty4,cost_per_qty5
0,2221,1890,1,0.00,2005-01-01 00:00,,,,,
1,2224,1888,1,0.00,2005-01-01 00:00,,,,,
2,2227,1885,1,0.00,2004-01-01 00:00,,,,,
3,2240,1882,1,0.00,2004-01-01 00:00,,,,,
4,2502,2465,1,15.00,2008-01-01 00:00,,0.00,0.00,0.00,0.00
5,2503,2440,1,154.00,2008-01-01 00:00,,0.00,0.00,0.00,0.00
6,2504,2425,125,22.00,2008-01-01 00:00,,0.00,0.00,0.00,0.00
7,2505,2424,125,18.00,2008-01-01 00:00,,0.00,0.00,0.00,0.00
8,2506,2423,625,110.00,2008-01-01 00:00,,0.00,0.00,0.00,0.00
9,2507,2449,2.5,0.00,2008-01-01 00:00,,0.00,0.00,0.00,0.00
10,2508,2460,0,284.00,2008-01-01 00:00,,0.00,0.00,0.00,0.00
11,2509,2464,0,42.00,2008-01-01 00:00,,0.00,0.00,0.00,0.00
12,2510,2458,0,5.00,2008-01-01 00:00,,0.00,0.00,0.00,0.00
13,2511,2383,0,1.00,2008-01-01 00:00,,0.00,0.00,0.00,0.00
14,2512,2430,,1.00,2006-01-01 08:00,,,,,
15,2513,2426,,160.00,2006-01-01 08:00,,,,,
16,2514,2413,,1.00,2006-01-01 08:00,,,,,
17,2515,2433,,25.00,2006-01-01 08:00,,,,,
18,2516,2434,,21.00,2006-01-01 08:00,,,,,
19,2517,2435,,22.00,2006-01-01 08:00,,,,,
20,2518,2445,,1352.00,2006-01-01 08:00,,,,,
21,2519,2456,,68.00,2006-01-01 08:00,,,,,
22,2520,2457,,1346.00,2006-01-01 08:00,,,,,
23,2521,2444,,25.00,2006-01-01 08:00,,,,,
24,2522,2446,,1108.00,2006-01-01 08:00,,,,,
25,2523,2404,,133.00,2006-01-01 08:00,,,,,
26,2524,2461,,41.00,2006-01-01 08:00,,,,,
27,2525,2406,,20.00,2006-01-01 08:00,,,,,
28,2526,2421,,15.00,2006-01-01 08:00,,,,,
29,2527,2422,,80.00,2006-01-01 08:00,,,,,
30,2528,2428,,61.00,2006-01-01 08:00,,,,,
31,2529,2429,,61.00,2006-01-01 08:00,,,,,
32,2530,2439,,1.00,2006-01-01 08:00,,,,,
33,2531,2451,,11.00,2006-01-01 08:00,,,,,
34,2532,2452,,5.00,2006-01-01 08:00,,,,,
35,2533,2432,,1.00,2006-01-01 08:00,,,,,
36,2534,2454,,23.00,2006-01-01 08:00,,,,,
37,2535,2459,,33.00,2006-01-01 08:00,,,,,
38,2536,2455,,32.00,2006-01-01 08:00,,,,,
39,2537,2418,,1.00,2006-01-01 08:00,,,,,
40,2538,2419,,142.00,2006-01-01 08:00,,,,,
41,2539,2437,,1.00,2006-01-01 08:00,,,,,
42,2540,2447,,45.00,2006-01-01 08:00,,,,,
43,2541,2448,,366.00,2006-01-01 08:00,,,,,
44,2542,2387,,1.00,2006-01-01 08:00,,,,,
45,2543,2462,,45.00,2006-01-01 08:00,,,,,
46,2544,2463,,366.00,2006-01-01 08:00,,,,,
47,2545,2438,,1.00,2006-01-01 08:00,,,,,
48,2546,2431,,27.00,2006-01-01 08:00,,,,,
49,2547,2427,,27.00,2006-01-01 08:00,,,,,
50,2548,2436,,38.00,2006-01-01 08:00,,,,,
51,2549,2398,,8.00,2006-01-01 08:00,,,,,
52,2550,2453,,349.00,2006-01-01 08:00,,,,,
53,2551,2450,,995.00,2006-01-01 08:00,,,,,
54,2552,2396,,13.00,2006-01-01 08:00,,,,,
