,task_id,actv_code_type_id,actv_code_id,proj_id
0,108008,7403,13673,1000
1,108008,7404,13751,1000
2,108008,7405,13745,1000
3,108008,7406,13671,1000
4,108009,7403,13673,1000
5,108009,7404,13751,1000
6,108009,7405,13745,1000
7,108009,7406,13671,1000
8,108010,7403,13673,1000
9,108010,7404,13751,1000
10,108010,7405,13746,1000
11,108010,7406,13671,1000
12,108011,7403,13673,1000
13,108011,7405,13746,1000
14,108011,7406,13671,1000
15,108012,7403,13673,1000
16,108012,7405,13746,1000
17,108012,7406,13671,1000
18,108013,7403,13673,1000
19,108013,7405,13746,1000
20,108013,7406,13671,1000
21,108014,7403,13673,1000
22,108014,7405,13746,1000
23,108014,7406,13671,1000
24,108015,7403,13673,1000
25,108015,7405,13747,1000
26,108015,7406,13671,1000
27,108016,7403,13673,1000
28,108016,7405,13745,1000
29,108016,7406,13671,1000
30,108017,7403,13673,1000
31,108017,7405,13745,1000
32,108017,7406,13671,1000
33,108018,7403,13673,1000
34,108018,7405,13745,1000
35,108018,7406,13671,1000
36,108019,7403,13673,1000
37,108019,7405,13746,1000
38,108019,7406,13671,1000
39,108020,7403,13673,1000
40,108020,7405,13746,1000
41,108020,7406,13671,1000
42,108021,7353,13660,1000
43,108021,7403,13673,1000
44,108021,7405,13746,1000
45,108021,7406,13671,1000
46,108022,7403,13673,1000
47,108022,7405,13746,1000
48,108022,7406,13671,1000
49,108023,7403,13673,1000
50,108023,7405,13746,1000
51,108023,7406,13671,1000
52,108024,7403,13673,1000
53,108024,7405,13746,1000
54,108024,7406,13671,1000
55,108025,7403,13673,1000
56,108025,7405,13746,1000
57,108025,7406,13671,1000
58,108026,7403,13673,1000
59,108026,7405,13746,1000
60,108026,7406,13671,1000
61,108027,7403,13673,1000
62,108027,7405,13746,1000
63,108027,7406,13671,1000
64,108028,7403,13673,1000
65,108028,7405,13746,1000
66,108028,7406,13671,1000
67,108029,7403,13673,1000
68,108029,7405,13747,1000
69,108029,7406,13671,1000
70,108030,7403,13673,1000
71,108030,7405,13747,1000
72,108030,7406,13671,1000
73,108031,7403,13673,1000
74,108031,7405,13747,1000
75,108031,7406,13671,1000
76,108032,7403,13673,1000
77,108032,7405,13748,1000
78,108032,7406,13671,1000
79,108033,7403,13673,1000
80,108033,7405,13748,1000
81,108033,7406,13671,1000
82,108034,7403,13673,1000
83,108034,7405,13748,1000
84,108034,7406,13671,1000
85,108035,7403,13673,1000
86,108035,7405,13748,1000
87,108035,7406,13671,1000
88,108036,7403,13673,1000
89,108036,7405,13748,1000
90,108036,7406,13671,1000
91,108037,7403,13673,1000
92,108037,7405,13748,1000
93,108037,7406,13671,1000
94,108038,7403,13673,1000
95,108038,7405,13748,1000
96,108038,7406,13671,1000
97,108039,7403,13673,1000
98,108039,7405,13748,1000
99,108039,7406,13671,1000
100,108040,7403,13673,1000
101,108040,7405,13748,1000
102,108040,7406,13671,1000
103,108041,7403,13673,1000
