,task_pred_id,task_id,pred_task_id,proj_id,pred_proj_id,pred_type,lag_hr_cnt,float_path,aref,arls
0,208340,108009,108008,1000,1000,PR_FS,0,,2008-05-07 16:00,2008-06-14 08:00
1,208341,108010,108009,1000,1000,PR_FS,0,,2008-05-28 16:00,2008-07-05 08:00
2,208342,108011,108010,1000,1000,PR_FS,0,,2008-05-31 16:00,2008-07-07 08:00
3,208343,108012,108011,1000,1000,PR_FS,0,,2008-06-05 16:00,2008-07-13 08:00
4,208344,108013,108012,1000,1000,PR_FS,0,,2008-06-09 16:00,2008-07-16 08:00
5,208345,108014,108013,1000,1000,PR_FS,0,,2008-06-21 16:00,2008-07-28 08:00
6,208346,108015,108014,1000,1000,PR_FS,0,,2008-07-05 16:00,2008-08-11 08:00
7,208347,108016,108015,1000,1000,PR_FS,0,,2008-07-12 16:00,2008-08-18 08:00
8,208348,108017,108016,1000,1000,PR_FS,0,,2008-07-14 16:00,2008-08-20 08:00
9,208349,108018,108017,1000,1000,PR_FS,0,,2008-07-26 16:00,2008-09-01 08:00
10,208350,108020,108019,1000,1000,PR_FS,0,,2008-07-29 16:00,2008-09-06 08:00
11,208351,108021,108020,1000,1000,PR_FS,0,,2008-09-27 16:00,2008-10-08 08:00
12,208352,108022,108020,1000,1000,PR_FS,16,,2008-09-29 16:00,2008-09-27 08:00
13,208353,108023,108021,1000,1000,PR_FS,0,,2008-10-12 16:00,2008-10-23 08:00
14,208354,108023,108022,1000,1000,PR_FS,0,,2008-10-23 16:00,2008-10-23 08:00
15,208355,108058,108023,1000,1000,PR_FS,0,,2008-11-10 16:00,2008-11-10 08:00
16,208356,108025,108024,1000,1000,PR_FS,0,,2008-12-20 16:00,2008-12-19 08:00
17,208357,108026,108024,1000,1000,PR_SS,0,,2008-11-26 08:00,2008-12-03 08:00
18,208358,108027,108026,1000,1000,PR_FS,0,,2008-12-01 16:00,2009-01-03 08:00
19,208359,108030,108025,1000,1000,PR_FS,48,,2009-01-10 16:00,2009-01-14 08:00
20,208360,108027,108025,1000,1000,PR_FS,0,,2009-01-04 16:00,2009-01-03 08:00
21,208361,108030,108029,1000,1000,PR_FS,0,,2008-10-25 16:00,2009-01-20 08:00
22,208362,108031,108030,1000,1000,PR_FS,0,,2009-01-17 16:00,2009-01-27 08:00
23,208363,108019,108018,1000,1000,PR_FS,0,,2008-07-27 16:00,2008-09-02 08:00
24,208364,108031,108028,1000,1000,PR_FS,48,,2009-01-28 16:00,2009-01-21 08:00
25,208365,108029,108021,1000,1000,PR_FS,48,,2008-10-18 16:00,2009-01-07 08:00
26,208366,108024,108058,1000,1000,PR_FS,0,,2008-11-25 16:00,2008-11-25 08:00
27,208367,108026,108058,1000,1000,PR_FS,0,,2008-11-25 16:00,2008-12-28 08:00
28,208368,108028,108027,1000,1000,PR_FS,0,,2009-01-12 16:00,2009-01-11 08:00
29,208369,108031,108027,1000,1000,PR_FS,0,,2009-01-12 16:00,2009-01-27 08:00
30,208370,108032,108031,1000,1000,PR_FS,0,,2009-02-01 16:00,2009-01-31 08:00
31,208371,108033,108031,1000,1000,PR_FS,0,,2009-02-01 16:00,2009-04-11 08:00
32,208372,108037,108032,1000,1000,PR_FS,0,,2009-02-09 16:00,2009-02-08 08:00
33,208373,108036,108032,1000,1000,PR_FS,0,,2009-02-09 16:00,2009-02-08 08:00
34,208374,108039,108033,1000,1000,PR_FS,0,,2009-03-11 16:00,2009-04-16 08:00
35,208375,108043,108039,1000,1000,PR_FS,0,,2009-03-17 16:00,2009-04-22 08:00
36,208376,108048,108043,1000,1000,PR_FS,0,,2009-03-23 16:00,2009-04-28 08:00
37,208377,108049,108043,1000,1000,PR_FS,0,,2009-03-23 16:00,2009-04-30 08:00
38,208378,108042,108036,1000,1000,PR_FS,0,,2009-02-16 16:00,2009-02-15 08:00
39,208379,108042,108037,1000,1000,PR_FS,0,,2009-02-16 16:00,2009-02-15 08:00
40,208380,108033,108042,1000,1000,PR_FS,0,,2009-03-05 16:00,2009-04-11 08:00
41,208381,108034,108042,1000,1000,PR_FS,0,,2009-03-05 16:00,2009-03-04 08:00
42,208382,108045,108042,1000,1000,PR_FS,0,,2009-03-05 16:00,2009-04-02 08:00
43,208383,108046,108042,1000,1000,PR_FS,0,,2009-03-05 16:00,2009-04-06 08:00
44,208384,108038,108042,1000,1000,PR_FS,0,,2009-03-05 16:00,2009-04-29 08:00
45,208385,108044,108034,1000,1000,PR_FS,0,,2009-03-30 16:00,2009-03-29 08:00
46,208386,108047,108046,1000,1000,PR_FS,0,,2009-03-18 16:00,2009-04-15 08:00
47,208387,108048,108046,1000,1000,PR_FS,0,,2009-03-18 16:00,2009-04-28 08:00
48,208388,108049,108046,1000,1000,PR_FS,0,,2009-03-18 16:00,2009-04-30 08:00
49,208389,108050,108047,1000,1000,PR_FS,0,,2009-03-28 16:00,2009-04-25 08:00
50,208390,108052,108048,1000,1000,PR_FS,0,,2009-03-29 16:00,2009-05-04 08:00
51,208391,108052,108049,1000,1000,PR_FS,0,,2009-03-26 16:00,2009-05-04 08:00
52,208392,108052,108038,1000,1000,PR_FS,0,,2009-03-10 16:00,2009-05-04 08:00
53,208393,108051,108044,1000,1000,PR_FS,0,,2009-04-23 16:00,2009-04-22 08:00
54,208394,108055,108044,1000,1000,PR_FS,0,,2009-04-23 16:00,2009-04-30 08:00
55,208395,108035,108044,1000,1000,PR_FS,0,,2009-04-23 16:00,2009-05-11 08:00
56,208396,108040,108035,1000,1000,PR_FS,0,,2009-04-27 16:00,2009-05-14 08:00
57,208397,108041,108040,1000,1000,PR_FS,0,,2009-04-29 16:00,2009-05-17 08:00
58,208398,108057,108041,1000,1000,PR_FS,0,,2009-05-03 16:00,2009-05-20 08:00
59,208399,108057,108056,1000,1000,PR_FS,0,,2009-05-21 16:00,2009-05-20 08:00
60,208400,108056,108055,1000,1000,PR_FS,0,,2009-05-13 16:00,2009-05-12 08:00
61,208401,108056,108053,1000,1000,PR_FS,0,,2009-05-07 16:00,2009-05-12 08:00
62,208402,108055,108051,1000,1000,PR_FS,0,,2009-05-02 16:00,2009-04-30 08:00
63,208403,108053,108051,1000,1000,PR_FS,0,,2009-05-02 16:00,2009-05-06 08:00
64,208404,108052,108050,1000,1000,PR_FS,0,,2009-04-06 16:00,2009-05-04 08:00
65,208405,108054,108052,1000,1000,PR_FS,0,,2009-04-14 16:00,2009-05-12 08:00
66,208406,108057,108054,1000,1000,PR_FS,0,,2009-04-22 16:00,2009-05-20 08:00
67,208407,108046,108045,1000,1000,PR_FS,0,,2009-03-09 16:00,2009-04-06 08:00
68,208408,108060,108059,1000,1000,PR_FS,0,,2008-05-05 16:00,2008-07-09 08:00
69,208409,108061,108060,1000,1000,PR_FS,0,,2008-05-26 16:00,2008-07-30 08:00
70,208410,108062,108061,1000,1000,PR_FS,0,,2008-05-28 16:00,2008-08-02 08:00
71,208411,108063,108062,1000,1000,PR_FS,0,,2008-06-03 16:00,2008-08-07 08:00
72,208412,108064,108063,1000,1000,PR_FS,0,,2008-06-07 16:00,2008-08-11 08:00
73,208413,108065,108064,1000,1000,PR_FS,0,,2008-06-18 16:00,2008-08-23 08:00
74,208414,108066,108065,1000,1000,PR_FS,0,,2008-07-02 16:00,2008-09-07 08:00
75,208415,108067,108066,1000,1000,PR_FS,0,,2008-07-09 16:00,2008-09-15 08:00
76,208416,108068,108067,1000,1000,PR_FS,0,,2008-07-12 16:00,2008-09-17 08:00
77,208417,108069,108068,1000,1000,PR_FS,0,,2008-07-23 16:00,2008-10-12 08:00
78,208418,108071,108070,1000,1000,PR_FS,0,,2008-07-27 16:00,2008-10-15 08:00
79,208419,108072,108071,1000,1000,PR_FS,0,,2008-10-11 16:00,2008-11-03 08:00
80,208420,108073,108071,1000,1000,PR_FS,16,,2008-10-13 16:00,2008-11-02 08:00
81,208421,108074,108072,1000,1000,PR_FS,0,,2008-10-26 16:00,2008-11-18 08:00
82,208422,108074,108073,1000,1000,PR_FS,0,,2008-10-27 16:00,2008-11-18 08:00
83,208423,108075,108074,1000,1000,PR_FS,0,,2008-11-13 16:00,2008-12-13 08:00
84,208424,108077,108076,1000,1000,PR_FS,0,,2008-12-03 16:00,2009-01-03 08:00
85,208425,108080,108079,1000,1000,PR_FS,0,,2008-11-08 16:00,2009-01-20 08:00
86,208426,108081,108080,1000,1000,PR_FS,0,,2008-12-18 16:00,2009-01-27 08:00
87,208427,108070,108069,1000,1000,PR_FS,0,,2008-07-24 16:00,2008-10-13 08:00
88,208428,108081,108078,1000,1000,PR_FS,48,,2009-01-03 16:00,2009-01-21 08:00
89,208429,108079,108072,1000,1000,PR_FS,48,,2008-11-01 16:00,2009-01-07 08:00
90,208430,108076,108075,1000,1000,PR_FS,0,,2008-11-28 16:00,2008-12-28 08:00
91,208431,108078,108077,1000,1000,PR_FS,0,,2008-12-18 16:00,2009-01-11 08:00
92,208432,108081,108077,1000,1000,PR_FS,0,,2008-12-18 16:00,2009-01-27 08:00
93,208433,108082,108081,1000,1000,PR_FS,0,,2009-01-06 16:00,2009-01-31 08:00
94,208434,108083,108081,1000,1000,PR_FS,0,,2009-01-06 16:00,2009-04-11 08:00
95,208435,108087,108082,1000,1000,PR_FS,0,,2009-01-14 16:00,2009-02-10 08:00
96,208436,108086,108082,1000,1000,PR_FS,0,,2009-01-14 16:00,2009-02-08 08:00
97,208437,108089,108083,1000,1000,PR_FS,0,,2009-02-14 16:00,2009-04-16 08:00
98,208438,108093,108089,1000,1000,PR_FS,0,,2009-02-19 16:00,2009-04-22 08:00
99,208439,108098,108093,1000,1000,PR_FS,0,,2009-02-25 16:00,2009-04-28 08:00
100,208440,108099,108093,1000,1000,PR_FS,0,,2009-02-25 16:00,2009-04-30 08:00
101,208441,108092,108086,1000,1000,PR_FS,0,,2009-01-21 16:00,2009-02-15 08:00
102,208442,108092,108087,1000,1000,PR_FS,0,,2009-01-19 16:00,2009-02-15 08:00
103,208443,108083,108092,1000,1000,PR_FS,0,,2009-02-08 16:00,2009-04-11 08:00
104,208444,108084,108092,1000,1000,PR_FS,0,,2009-02-08 16:00,2009-03-04 08:00
105,208445,108095,108092,1000,1000,PR_FS,0,,2009-02-08 16:00,2009-04-02 08:00
106,208446,108096,108092,1000,1000,PR_FS,0,,2009-02-08 16:00,2009-04-06 08:00
107,208447,108088,108092,1000,1000,PR_FS,0,,2009-02-08 16:00,2009-04-27 08:00
108,208448,108094,108084,1000,1000,PR_FS,0,,2009-03-04 16:00,2009-03-29 08:00
109,208449,108097,108096,1000,1000,PR_FS,0,,2009-02-21 16:00,2009-04-15 08:00
110,208450,108098,108096,1000,1000,PR_FS,0,,2009-02-21 16:00,2009-04-28 08:00
111,208451,108099,108096,1000,1000,PR_FS,0,,2009-02-21 16:00,2009-04-30 08:00
112,208452,108100,108097,1000,1000,PR_FS,0,,2009-03-02 16:00,2009-04-25 08:00
113,208453,108102,108098,1000,1000,PR_FS,0,,2009-03-03 16:00,2009-05-04 08:00
114,208454,108102,108099,1000,1000,PR_FS,0,,2009-03-01 16:00,2009-05-04 08:00
