,taskrsrc_id,task_id,proj_id,cost_qty_link_flag,role_id,acct_id,rsrc_id,pobs_id,skill_level,pend_complete_pct,remain_qty,pend_remain_qty,target_qty,remain_qty_per_hr,target_lag_drtn_hr_cnt,target_qty_per_hr,act_ot_qty,act_reg_qty,relag_drtn_hr_cnt,ot_factor,cost_per_qty,target_cost,act_reg_cost,act_ot_cost,remain_cost,act_start_date,act_end_date,restart_date,reend_date,target_start_date,target_end_date,rem_late_start_date,rem_late_end_date,rollup_dates_flag,target_crv,remain_crv,actual_crv,ts_pend_act_end_flag,guid,rate_type,act_this_per_cost,act_this_per_qty,curv_id,rsrc_type,cost_per_qty_source_type,create_user,create_date,has_rsrchours,taskrsrc_sum_id
0,144288,108011,1000,Y,,,2453,,,,25.6,,25.6,0.64,0,0.64,0,0,0,,349.00,8934.40,0.00,0.00,8934.40,,,2008-06-01 08:00,2008-06-05 16:00,2008-06-01 08:00,2008-06-05 16:00,2008-07-07 08:00,2008-07-12 16:00,Y,,,,N,cv5j9Sf4FkywGPCRPp72CA,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2011-09-29 09:26,,
1,144289,108013,1000,Y,,,2450,,,,37.4,,37.4,0.4675,0,0.4675,0,0,0,,995.00,37213.00,0.00,0.00,37213.00,,,2008-06-10 08:00,2008-06-21 16:00,2008-06-10 08:00,2008-06-21 16:00,2008-07-16 08:00,2008-07-27 16:00,Y,,,,N,XNeNxxWdTUe5d7WTE/IShA,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2011-09-29 09:26,,
2,144290,108287,1000,Y,,,2398,,,,369,,369,5.765625,0,5.765625,0,0,0,,8.00,2952.00,0.00,0.00,2952.00,,,2008-05-18 08:00,2008-05-26 16:00,2008-05-18 08:00,2008-05-26 16:00,2008-05-19 08:00,2008-05-27 16:00,Y,,,,N,TSz68/Wzq0eAJOr9eI6b0A,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2011-09-29 09:26,,
3,144291,108290,1000,Y,,,2453,,,,18,,18,0.45,0,0.45,0,0,0,,349.00,6282.00,0.00,0.00,6282.00,,,2008-06-19 08:00,2008-06-24 16:00,2008-06-19 08:00,2008-06-24 16:00,2008-07-07 08:00,2008-07-12 16:00,Y,,,,N,h+FnELwRpEiHViGT25FXAQ,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2011-09-29 09:26,,
4,144292,108292,1000,Y,,,2450,,,,24.7,,24.7,0.30875,0,0.30875,0,0,0,,995.00,24576.50,0.00,0.00,24576.50,,,2008-06-29 08:00,2008-07-09 16:00,2008-06-29 08:00,2008-07-09 16:00,2008-07-16 08:00,2008-07-27 16:00,Y,,,,N,EH4VjgqdWECbQgjXlfvw4A,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2011-09-29 09:26,,
5,144293,108292,1000,Y,,,1882,,,,0.38,,0.38,0.00475,0,0.00475,0,0,0,0,,0.00,0.00,0.00,0.00,,,2008-06-29 08:00,2008-07-09 16:00,2008-06-29 08:00,2008-07-09 16:00,2008-07-16 08:00,2008-07-27 16:00,Y,,,,N,1LapkTF4q0iaNe9tqSUeIA,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2011-09-29 09:26,,
6,144294,108292,1000,Y,,,1888,,,,0.6,,0.6,0.0075,0,0.0075,0,0,0,0,,0.00,0.00,0.00,0.00,,,2008-06-29 08:00,2008-07-09 16:00,2008-06-29 08:00,2008-07-09 16:00,2008-07-16 08:00,2008-07-27 16:00,Y,,,,N,E00aQ/2QUUqlv7CjsrYIzQ,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2011-09-29 09:26,,
7,144295,108292,1000,Y,,,1890,,,,1.34,,1.34,0.01675,0,0.01675,0,0,0,0,,0.00,0.00,0.00,0.00,,,2008-06-29 08:00,2008-07-09 16:00,2008-06-29 08:00,2008-07-09 16:00,2008-07-16 08:00,2008-07-27 16:00,Y,,,,N,DUe5AK+iQk+qRk49Or/9BQ,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2011-09-29 09:26,,
8,144296,108293,1000,Y,,,1882,,,,0.2,,0.2,0.00208333,0,0.00208333,0,0,0,0,,0.00,0.00,0.00,0.00,,,2008-07-10 08:00,2008-07-23 16:00,2008-07-10 08:00,2008-07-23 16:00,2008-07-28 08:00,2008-08-10 16:00,Y,,,,N,7GnZcSXJ4EuWLruvEIDeBw,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2011-09-29 09:26,,
9,144297,108293,1000,Y,,,1890,,,,0.6,,0.6,0.00625,0,0.00625,0,0,0,0,,0.00,0.00,0.00,0.00,,,2008-07-10 08:00,2008-07-23 16:00,2008-07-10 08:00,2008-07-23 16:00,2008-07-28 08:00,2008-08-10 16:00,Y,,,,N,CP2Om3AU106gEKJ4FJODaA,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2011-09-29 09:26,,
10,144298,108294,1000,Y,,,2462,,,,23,,23,0.47916667,0,0.47916667,0,0,0,0,45.00,1035.00,0.00,0.00,1035.00,,,2008-07-24 08:00,2008-07-30 16:00,2008-07-24 08:00,2008-07-30 16:00,2008-08-11 08:00,2008-08-17 16:00,Y,,,,N,PP3XyiHskEm4EaCwFGmWLA,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2011-09-29 09:26,,
11,144299,108296,1000,Y,,,2396,,,,330,,330,4.125,0,4.125,0,0,0,,13.00,4290.00,0.00,0.00,4290.00,,,2008-08-03 08:00,2008-08-13 16:00,2008-08-03 08:00,2008-08-13 16:00,2008-08-20 08:00,2008-08-31 16:00,Y,,,,N,nkQlB5d0eE6AQlv+eqdM0g,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2011-09-29 09:26,,
12,144300,108299,1000,Y,,,1882,,,,0.38,,0.38,0.00316667,0,0.00316667,0,0,0,0,,0.00,0.00,0.00,0.00,,,2008-11-30 08:00,2008-12-23 16:00,2008-11-30 08:00,2008-12-23 16:00,2008-09-06 08:00,2008-09-24 16:00,Y,,,,N,2SCPlMX2QUeLGiWqqRyBDg,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2011-09-29 09:26,,
13,144301,108299,1000,Y,,,1888,,,,2,,2,0.01666667,0,0.01666667,0,0,0,0,,0.00,0.00,0.00,0.00,,,2008-11-30 08:00,2008-12-23 16:00,2008-11-30 08:00,2008-12-23 16:00,2008-09-06 08:00,2008-09-24 16:00,Y,,,,N,yxAFFUrXh0W8KvlN9W+TLA,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2011-09-29 09:26,,
14,144302,108299,1000,Y,,,1890,,,,1.16,,1.16,0.00966667,0,0.00966667,0,0,0,0,,0.00,0.00,0.00,0.00,,,2008-11-30 08:00,2008-12-23 16:00,2008-11-30 08:00,2008-12-23 16:00,2008-09-06 08:00,2008-09-24 16:00,Y,,,,N,3US6X8FIFE+zrHrGBc9N2w,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2011-09-29 09:26,,
15,144303,108299,1000,Y,,,2401,,,,0.02,,0.02,0.00016667,0,0.00016667,0,0,0,0,,0.00,0.00,0.00,0.00,,,2008-11-30 08:00,2008-12-23 16:00,2008-11-30 08:00,2008-12-23 16:00,2008-09-06 08:00,2008-09-24 16:00,Y,,,,N,fMt95FDLVEyiXgEcBZNJAw,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2011-09-29 09:26,,
16,144304,108299,1000,Y,,,2412,,,,0.08,,0.08,0.00066667,0,0.00066667,0,0,0,0,,0.00,0.00,0.00,0.00,,,2008-11-30 08:00,2008-12-23 16:00,2008-11-30 08:00,2008-12-23 16:00,2008-09-06 08:00,2008-09-24 16:00,Y,,,,N,qgqht+xTJUqGZpkKSrzV/w,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2011-09-29 09:26,,
17,144305,108299,1000,Y,,,2446,,,,30,,30,0.25,0,0.25,0,0,0,0,1108.00,33240.00,0.00,0.00,33240.00,,,2008-11-30 08:00,2008-12-23 16:00,2008-11-30 08:00,2008-12-23 16:00,2008-09-06 08:00,2008-09-24 16:00,Y,,,,N,0+XqnjksMEOwqU4ljIaWOA,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2011-09-29 09:26,,
18,144306,108299,1000,Y,,,2449,,,,15,,15,0.125,0,0.125,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,2008-11-30 08:00,2008-12-23 16:00,2008-11-30 08:00,2008-12-23 16:00,2008-09-06 08:00,2008-09-24 16:00,Y,,,,N,MizuRxeaJE+roi394uePmA,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2011-09-29 09:26,,
19,144307,108059,1000,Y,,,2398,,,,377.5,,377.5,5.8984375,0,5.8984375,0,0,0,,8.00,3020.00,0.00,0.00,3020.00,,,2008-04-27 08:00,2008-05-05 16:00,2008-04-27 08:00,2008-05-05 16:00,2008-04-28 08:00,2008-05-06 16:00,Y,,,,N,xdnrcexgU0u5Of/AS2GsNA,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2011-09-29 09:26,,
20,144308,108300,1000,Y,,,2449,,,,15,,15,0.125,0,0.125,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,2008-12-24 08:00,2009-01-07 16:00,2008-12-24 08:00,2009-01-07 16:00,2008-10-08 08:00,2008-10-22 16:00,Y,,,,N,ftGmOFm9M0S83nelJGTeQA,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2011-09-29 09:26,,
21,144309,108301,1000,Y,,,1882,,,,0.2,,0.2,0.00208333,0,0.00208333,0,0,0,0,,0.00,0.00,0.00,0.00,,,2008-12-27 08:00,2009-01-08 16:00,2008-12-27 08:00,2009-01-08 16:00,2008-09-29 08:00,2008-10-22 16:00,Y,,,,N,grmVeZiQlkmq103eC6mdQg,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2011-09-29 09:26,,
22,144310,108301,1000,Y,,,1890,,,,0.6,,0.6,0.00625,0,0.00625,0,0,0,0,,0.00,0.00,0.00,0.00,,,2008-12-27 08:00,2009-01-08 16:00,2008-12-27 08:00,2009-01-08 16:00,2008-09-29 08:00,2008-10-22 16:00,Y,,,,N,leDO+s/3EUyS4FR+bjeToQ,COST_PER_QTY,0.00,0,,RT_Equip,ST_Rsrc,admin,2011-09-29 09:26,,
