,wbs_id,proj_id,obs_id,seq_num,est_wt,proj_node_flag,sum_data_flag,status_code,wbs_short_name,wbs_name,phase_id,parent_wbs_id,ev_user_pct,ev_etc_user_value,orig_cost,indep_remain_total_cost,ann_dscnt_rate_pct,dscnt_period_type,indep_remain_work_qty,anticip_start_date,anticip_end_date,ev_compute_type,ev_etc_compute_type,guid,tmpl_guid,plan_open_state
0,12219,1685,565,708,1,Y,N,WS_Open,BADRA OILFIELD,FEED OF PRODUCTION INFRASTRUCTURE FOR BADRA OILFIELD,,10472,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,5EgzSKSHzkqKU/QIXjLtKg,,
1,12220,1685,565,5,1,N,N,WS_Open,CONSTRUCTION,CONSTRUCTION,,12219,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,JH3wyixpb0CvUl+5PY31IA,,
2,12221,1685,565,1,1,N,N,WS_Open,2,MOBILIZTION&DEMOBILIZATION,,14660,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,ukmUqyKa8keQBEepGxw30A,,
3,12222,1685,565,4,1,N,N,WS_Open,PROCUREMENT,PROCUREMENT,,12219,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,RFjqvLFAgUOaUt/8gE8QtQ,,
4,12225,1685,565,3,1,N,N,WS_Open,ENGINEERING,ENGINEERING,,12219,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,FO0bGjDj206w9oj2pGSvtg,,
5,12228,1685,565,0,1,N,N,WS_Open,1,MILESTONES,,14660,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,jxj8ID4gukOPILojipg+iQ,,
6,12229,1685,565,204,1,N,N,WS_Open,1,DOG HOUSE,,12220,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,7VSrWAYwOES6lzW58jQ0Xw,,
7,12230,1685,565,1,1,N,N,WS_Open,2,SECONDARY GATE HOUSE,,12220,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,UrLtrWVa/ke87ZUxJDt0+Q,,
8,12231,1685,565,404,1,N,N,WS_Open,3,ADMIN.BUILDING CANTEEN,,12220,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,NUw6VQR6v0mBGQxDOo81gg,,
9,12232,1685,565,604,1,N,N,WS_Open,4,SECURITY&SAFETY INDUCTION CENTER,,12220,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,OyKU78VAw0CLZgJnltA7Tg,,
10,12233,1685,565,704,1,N,N,WS_Open,5,SECURE COMMUNICATION BUILDING,,12220,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,vJz2nhuRR0adyv1VLNw5aQ,,
11,12234,1685,565,804,1,N,N,WS_Open,6,CHANGE HOUSE,,12220,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,iwQYMjeZikeDhphmGSeXOw,,
12,12235,1685,565,904,1,N,N,WS_Open,7,MAIN CONTROL BUILDING,,12220,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,ni8c/zTNYEyzuf9PCNmwlQ,,
13,12236,1685,565,1004,1,N,N,WS_Open,8,LABORATORY BUILDING,,12220,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,8OdqlXfuOk+xbKQbM7XMcA,,
14,12237,1685,565,1104,1,N,N,WS_Open,9,SAMPLE STORE,,12220,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,I6l1P9tA1kW6Pbsos7bQjg,,
15,12238,1685,565,1204,1,N,N,WS_Open,10,WORKSHOP&WAREHOUSE,,12220,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,f1LEdUm/IEuvLgCU0Sas4w,,
16,12239,1685,565,2,1,N,N,WS_Open,13,MAIN SECURITY GUARD HOUSE,,12220,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,X3DaHWeJ+0+vCyX9FSotEQ,,
17,12240,1685,565,1304,1,N,N,WS_Open,11,VEHICLE MAINTENANCE BUILDING&FUEL STATION,,12220,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,w35JilnJzkq8EC50VIcOFg,,
18,12241,1685,565,0,1,N,N,WS_Open,12,MAIN GATE HOUSE,,12220,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,if7fo4gbikmVfFJ8IiMh9A,,
19,12242,1685,565,1404,1,N,N,WS_Open,14,GARBAGE WASTE HANDLING,,12220,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,zXsAZBqNZ02NLILh2l01+Q,,
20,12243,1685,565,1504,1,N,N,WS_Open,15,FIRE FIGHTING,,12220,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,8HxkXBBbPUyC0pG45KxkxA,,
21,12244,1685,565,1604,1,N,N,WS_Open,16,MOSQUE,,12220,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,f/aFzciCVEeS+LpqvNSU5Q,,
22,12245,1685,565,1205,1,N,N,WS_Open,1,Concrete building,,12238,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,4XH+3E0SlU+AgKtRokXhwQ,,
23,12246,1685,565,1205,1,N,N,WS_Open,2,Steel building,,12238,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,fRph1ucn8kGAoL4HzCx5Lw,,
24,12247,1685,565,0,1,N,N,WS_Open,1,Concrete building,,12240,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,W5prPrUPOEmlS3X3QNKSMw,4XH+3E0SlU+AgKtRokXhwQ,
25,12248,1685,565,1,1,N,N,WS_Open,2,Steel building,,12240,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,yst3Pt/+KUiEno1Yn3I1Jw,fRph1ucn8kGAoL4HzCx5Lw,
26,12249,1685,565,0,1,N,N,WS_Open,1,Concrete building,,12242,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,yWyIp7hjAkGi4NiFayEXfQ,W5prPrUPOEmlS3X3QNKSMw,
27,12250,1685,565,1,1,N,N,WS_Open,2,Steel building,,12242,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,bQ5bqteBOkiAhnJQLQ8WWw,yst3Pt/+KUiEno1Yn3I1Jw,
28,12251,1685,565,0,1,N,N,WS_Open,1,Concrete building,,12243,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,Ky4q3Rs5HUC0M62Zy6q5pQ,4XH+3E0SlU+AgKtRokXhwQ,
29,12252,1685,565,1,1,N,N,WS_Open,2,Steel building,,12243,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,TNtWO3KDR0+wD0m+0FWSYA,fRph1ucn8kGAoL4HzCx5Lw,
30,12253,1685,565,1704,1,N,N,WS_Open,1,Minaret building,,12244,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,Ue2DNmzctUiUZe45kb8Pvg,,
31,12254,1685,565,1704,1,N,N,WS_Open,2,Prayer building,,12244,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,hX1PLN9zhk+RIkOPjrP48w,,
32,12255,1685,565,105,1,N,N,WS_Open,1,CIVIL SCOPE,,12241,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,A7p0qs4ObE6S1kYG32J7qA,,
