,task_pred_id,task_id,pred_task_id,proj_id,pred_proj_id,pred_type,lag_hr_cnt,float_path,aref,arls
0,96610,93427,93426,1685,1685,PR_FS,0,,2012-11-24 17:00,2013-02-21 08:00
1,96611,93428,93427,1685,1685,PR_FS,0,,2012-12-08 17:00,2013-03-07 08:00
2,96612,93429,93428,1685,1685,PR_FS,0,,2012-12-18 17:00,2013-03-17 08:00
3,96613,93430,93429,1685,1685,PR_FS,160,,2013-01-27 17:00,2013-04-06 08:00
4,96615,93439,93438,1685,1685,PR_FS,0,,2012-10-15 17:00,2012-12-13 08:00
5,96616,93440,93439,1685,1685,PR_FS,0,,2012-10-29 17:00,2012-12-27 08:00
6,96617,93441,93440,1685,1685,PR_FS,0,,2012-11-05 17:00,2013-01-03 08:00
7,96618,93442,93441,1685,1685,PR_FS,112,,2012-12-19 17:00,2013-02-02 08:00
8,96620,93445,93444,1685,1685,PR_FS,0,,2012-12-04 17:00,2013-02-25 08:00
9,96621,93446,93445,1685,1685,PR_FS,0,,2012-12-18 17:00,2013-03-11 08:00
10,96622,93447,93446,1685,1685,PR_FS,0,,2012-12-25 17:00,2013-03-18 08:00
11,96623,93448,93447,1685,1685,PR_FS,112,,2013-01-22 17:00,2013-04-01 08:00
12,96625,93451,93450,1685,1685,PR_FS,0,,2012-10-15 17:00,2012-12-29 08:00
13,96626,93452,93451,1685,1685,PR_FS,0,,2012-10-29 17:00,2013-01-12 08:00
14,96627,93453,93452,1685,1685,PR_FS,0,,2012-11-08 17:00,2013-01-22 08:00
15,96628,93454,93453,1685,1685,PR_FS,80,,2012-12-02 17:00,2013-02-05 08:00
16,96630,93457,93456,1685,1685,PR_FS,0,,2013-02-07 17:00,2013-04-18 08:00
17,96631,93458,93457,1685,1685,PR_FS,0,,2013-02-12 17:00,2013-04-23 08:00
18,96632,93459,93458,1685,1685,PR_FS,0,,2013-02-17 17:00,2013-04-28 08:00
19,96633,93460,93459,1685,1685,PR_FS,80,,2013-03-09 17:00,2013-05-08 08:00
20,96635,93463,93462,1685,1685,PR_FS,0,,2012-08-26 17:00,2012-10-19 08:00
21,96636,93464,93463,1685,1685,PR_FS,0,,2012-09-09 17:00,2012-11-02 08:00
22,96637,93465,93464,1685,1685,PR_FS,0,,2012-09-19 17:00,2012-11-12 08:00
23,96638,93466,93465,1685,1685,PR_FS,112,,2012-10-23 17:00,2012-12-02 08:00
24,96640,93469,93468,1685,1685,PR_FS,0,,2012-08-29 17:00,2012-10-15 08:00
25,96641,93470,93469,1685,1685,PR_FS,0,,2012-09-12 17:00,2012-10-29 08:00
26,96642,93471,93470,1685,1685,PR_FS,0,,2012-09-26 17:00,2012-11-12 08:00
27,96645,93475,93474,1685,1685,PR_FS,0,,2012-08-26 17:00,2012-12-06 08:00
28,96646,93476,93475,1685,1685,PR_FS,0,,2012-09-09 17:00,2012-12-20 08:00
29,96647,93477,93476,1685,1685,PR_FS,0,,2012-09-23 17:00,2013-01-03 08:00
30,96648,93478,93477,1685,1685,PR_FS,200,,2012-11-07 17:00,2013-01-23 08:00
31,96650,93481,93480,1685,1685,PR_FS,0,,2012-11-02 17:00,2013-01-29 08:00
32,96651,93482,93481,1685,1685,PR_FS,0,,2012-11-12 17:00,2013-02-08 08:00
33,96652,93483,93482,1685,1685,PR_FS,0,,2012-11-22 17:00,2013-02-18 08:00
34,96653,93484,93483,1685,1685,PR_FS,112,,2012-12-20 17:00,2013-03-04 08:00
35,96655,93487,93486,1685,1685,PR_FS,0,,2012-09-23 17:00,2013-01-18 08:00
36,96656,93488,93487,1685,1685,PR_FS,0,,2012-10-07 17:00,2013-02-01 08:00
37,96657,93489,93488,1685,1685,PR_FS,0,,2012-10-17 17:00,2013-02-11 08:00
38,96658,93490,93489,1685,1685,PR_FS,80,,2012-11-16 17:00,2013-03-03 08:00
39,96660,93493,93492,1685,1685,PR_FS,0,,2012-08-26 17:00,2012-12-14 08:00
40,96661,93494,93493,1685,1685,PR_FS,0,,2012-09-09 17:00,2012-12-28 08:00
41,96662,93495,93494,1685,1685,PR_FS,0,,2012-09-19 17:00,2013-01-07 08:00
42,96665,93499,93498,1685,1685,PR_FS,0,,2012-08-26 17:00,2012-12-14 08:00
43,96666,93500,93499,1685,1685,PR_FS,0,,2012-09-09 17:00,2012-12-28 08:00
44,96667,93501,93500,1685,1685,PR_FS,0,,2012-09-19 17:00,2013-01-07 08:00
45,96671,93505,93504,1685,1685,PR_FS,0,,2012-11-13 17:00,2013-02-06 08:00
46,96672,93504,93501,1685,1685,PR_FS,0,,2012-10-09 17:00,2013-01-27 08:00
